ID,Created At,Filter,Number of Likes,HashTags,url
1002616805015690705_176399870,2015-06-08 05:27:38,Normal,5,"[Tag: leftyadventures, Tag: summer]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313744_1588691118062198_685490197_n.jpg
1002608754216934752_176399870,2015-06-08 05:11:39,Lo-fi,4,"[Tag: beautifulworld, Tag: mrrogersneighbourhood]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11283301_1451281021853298_1500586966_n.jpg
1002607652152392076_214132157,2015-06-08 05:09:27,Normal,6,[Tag: arduino],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335548_1151477891544624_1356700479_n.jpg
1002604888922529065_176399870,2015-06-08 05:03:58,Toaster,3,"[Tag: lefties4lyfe, Tag: toaster, Tag: 837, Tag: leftybff, Tag: classic]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313216_1611250442483592_857057284_n.jpg
1002600379215256789_176399870,2015-06-08 04:55:00,Lo-fi,15,"[Tag: whpmonochromatic, Tag: lefties4lyfe, Tag: wereontopoftheworld, Tag: stepping, Tag: leftyclub, Tag: areweoutofthewoods]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358157_649156955185541_1654210373_n.jpg
1002586779897569220_176399870,2015-06-08 04:27:59,Hefe,15,"[Tag: whpmonochromatic, Tag: lefties4lyfe, Tag: leftyclub, Tag: ivelostcountonhowmanycremeesivealreadyhad]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11324249_1628535350726083_771337980_n.jpg
1002572022981036064_39315481,2015-06-08 03:58:40,Normal,33,"[Tag: btv, Tag: alsfrenchfrys]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378736_701662699979770_1427693422_n.jpg
1002547167161276349_1905633636,2015-06-08 03:09:17,Crema,5,"[Tag: ilovermont, Tag: vermont, Tag: noaddedsuggar, Tag: natural, Tag: glutenfree, Tag: cider, Tag: adultjuice, Tag: nosulfate, Tag: drinklocal, Tag: yum, Tag: citizencider, Tag: supportlocal, Tag: hardcider]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11288091_809947375779834_1923521696_n.jpg
1002536609272475844_229970171,2015-06-08 02:48:18,Walden,13,"[Tag: spartanpride, Tag: athleticbanquet]",https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/1723843_1673656612862235_1336043578_n.jpg
1002536389214280609_1178210325,2015-06-08 02:47:52,Normal,19,"[Tag: gay20, Tag: instahomo, Tag: gay, Tag: instagay, Tag: gayteen, Tag: gaylife, Tag: gaysfs, Tag: gaytan, Tag: gaystud, Tag: gaybum, Tag: gaypeace]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377901_821830371185667_351187716_n.jpg
1002534189153630088_40253052,2015-06-08 02:43:30,Normal,25,"[Tag: ilovermont, Tag: vermont, Tag: btv, Tag: bff, Tag: hiking, Tag: vt, Tag: homeland, Tag: vscocam, Tag: mtphilo]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11311412_1609636405983659_274761129_n.jpg
1002533239210555446_1426012733,2015-06-08 02:41:36,Normal,121,"[Tag: cute, Tag: weeklyfluff, Tag: dailypup, Tag: corgipuppy, Tag: dailypuppy, Tag: buzzfeedanimals, Tag: dog_features, Tag: pembrokewelshcorgi, Tag: happy_pet, Tag: corgicommunity, Tag: petboxpetoftheweek, Tag: corgination, Tag: corgilove, Tag: corgisinstagram, Tag: instadog, Tag: doglover, Tag: ilovemydog, Tag: instagramcorgis, Tag: showcasing_pets, Tag: corgisarelove, Tag: f4f, Tag: corgi, Tag: puppy, Tag: corgiaddict, Tag: pwc]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11350925_1648789825342173_673207246_n.jpg
1002529878852896713_1498973968,2015-06-08 02:34:56,Normal,1,[Tag: drinkcraftbeer],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11296796_1599887303625229_580905455_n.jpg
1002528395390878794_174140256,2015-06-08 02:31:59,Normal,28,"[Tag: breathe, Tag: acrovinyasa, Tag: namaste, Tag: yogachallenge, Tag: exhale]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385141_1592208051056155_1002430255_n.jpg
1002524960819881200_1585387152,2015-06-08 02:25:09,Normal,88,"[Tag: goldendoodle, Tag: cute, Tag: barkbox, Tag: dogsofinstagram, Tag: norfolkterrier, Tag: dogsofig, Tag: goldendoodlepuppy, Tag: goldendoodlesofinstagram, Tag: dog, Tag: dogs, Tag: minigoldendoodle, Tag: mydogiscutest, Tag: pupstagram, Tag: puppiesofinstagram, Tag: puppies, Tag: puppy, Tag: animalplanet, Tag: buzzfeedanimals]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11282288_439913019513829_24644424_n.jpg
1002518247242574541_204258945,2015-06-08 02:11:49,Normal,8,"[Tag: vermontmusicians, Tag: darkhorse, Tag: direstraits, Tag: sultans]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11280520_564231200384738_2081349643_n.jpg
1002515436788483813_2127337016,2015-06-08 02:06:14,Juno,23,"[Tag: regram, Tag: littlespoon, Tag: imstillhungryy, Tag: eeeeeats, Tag: weagree, Tag: bigspoon]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410272_491466391002926_1266804157_n.jpg
1002513177403617899_2204763,2015-06-08 02:01:45,Normal,11,[Tag: hellofreshpics],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356389_1616954341885530_1909694305_n.jpg
1002512989018569295_1426012733,2015-06-08 02:01:22,Normal,116,"[Tag: cute, Tag: weeklyfluff, Tag: dailypup, Tag: corgipuppy, Tag: dailypuppy, Tag: buzzfeedanimals, Tag: dog_features, Tag: pembrokewelshcorgi, Tag: happy_pet, Tag: corgicommunity, Tag: petboxpetoftheweek, Tag: corgination, Tag: corgilove, Tag: corgisinstagram, Tag: instadog, Tag: doglover, Tag: ilovemydog, Tag: instagramcorgis, Tag: showcasing_pets, Tag: corgisarelove, Tag: f4f, Tag: corgi, Tag: puppy, Tag: corgiaddict, Tag: pwc]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376045_368071343396390_1371155359_n.jpg
1002511747219912434_1453373260,2015-06-08 01:58:54,Normal,6,"[Tag: maine, Tag: newengland]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11334500_740432942746038_1514863592_n.jpg
1002509879446385180_1371878627,2015-06-08 01:55:12,Normal,16,"[Tag: crystallove, Tag: crystaljewelry, Tag: aventurine, Tag: handmadejewelry, Tag: crystalgrid, Tag: repost, Tag: bloodstone, Tag: amethyst]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378556_1598234003758554_1556723762_n.jpg
1002507214537349886_224839341,2015-06-08 01:49:54,Normal,5,"[Tag: fridakahlo, Tag: wcw, Tag: repost]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11428179_872804186124063_1282665558_n.jpg
1002506636587424488_224839341,2015-06-08 01:48:45,Normal,0,[Tag: repost],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420422_1621137684794509_1648338197_n.jpg
1002502806390884775_183944273,2015-06-08 01:41:08,Normal,16,"[Tag: nh, Tag: summer, Tag: scenery, Tag: sunset, Tag: mountains]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420817_1650094275211523_2099258487_n.jpg
