ID,Created At,Filter,Number of Likes,HashTags,url
992412776867545928_779079,2015-05-25 03:34:03,Lo-fi,0,"[Tag: clever, Tag: love, Tag: chicago, Tag: lush, Tag: storefront, Tag: best, Tag: chic, Tag: westtown, Tag: store, Tag: wine]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313748_394384094079496_1888180402_n.jpg
992412744939437968_462213038,2015-05-25 03:33:59,Normal,4,"[Tag: bae, Tag: are, Tag: jk, Tag: steroids]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380008_413999555450287_1597875517_n.jpg
992412283534143889_144794699,2015-05-25 03:33:04,Charmes,3,"[Tag: girl, Tag: chicago]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11259920_1125641540784292_1830525417_n.jpg
992412054263398271_462213038,2015-05-25 03:32:37,Normal,6,[Tag: thebest],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11371165_1583593148572517_254480900_n.jpg
992411704775083265_198230960,2015-05-25 03:31:55,Hefe,0,[Tag: familymatters],https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/11123953_516787995135842_853843483_n.jpg
992410821373082459_6753213,2015-05-25 03:30:10,Hudson,1,"[Tag: willie, Tag: america, Tag: duckdynatsy, Tag: chiapet, Tag: chia]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380792_1451474028500784_1616667997_n.jpg
992410512613737116_313418359,2015-05-25 03:29:33,Normal,1,"[Tag: powerlines, Tag: daymoon, Tag: colors, Tag: latergram]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282613_425355200980479_1399288273_n.jpg
992410465907348883_180164708,2015-05-25 03:29:28,Normal,4,"[Tag: gardening, Tag: colorful, Tag: chicago, Tag: scenic_route, Tag: city_streets, Tag: chicago_streets, Tag: flowers, Tag: plant_life, Tag: city_life]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11249052_1451178935195757_1003164211_n.jpg
992410403764087174_20859265,2015-05-25 03:29:20,Normal,2,"[Tag: uic, Tag: chicago, Tag: taylorst, Tag: soul, Tag: dayone, Tag: dominoes, Tag: blueline, Tag: richplanet, Tag: homies, Tag: mywoe, Tag: backintheday]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376361_1065359403493182_10249482_n.jpg
992409875324252360_394034779,2015-05-25 03:28:17,Mayfair,0,"[Tag: pals, Tag: pilsen, Tag: partyoftenplease]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377943_404479843072759_1918833919_n.jpg
992409866588103039_235821255,2015-05-25 03:28:16,Normal,0,"[Tag: thanksamericaforniceholiday, Tag: i, Tag: 😘🙋😘😉]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11371230_907775002601361_19982152_n.jpg
992409744534032670_12936427,2015-05-25 03:28:02,Ginza,0,[Tag: dadsbasement],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377895_1624130847831971_587258809_n.jpg
992409701398873789_448450512,2015-05-25 03:27:57,Valencia,3,[Tag: momotaro],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11273313_913211008738909_2124712494_n.jpg
992409549157534415_184688937,2015-05-25 03:27:39,Normal,10,"[Tag: artistsforartists, Tag: newfriendships]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377503_477062522463213_2067780706_n.jpg
992409434240425254_369217406,2015-05-25 03:27:25,Amaro,1,"[Tag: 100happydays, Tag: jeantal]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376670_374249039438631_1599900712_n.jpg
