ID,Created At,Filter,Number of Likes,HashTags,url
1002637014715813885_1454709818,2015-06-08 06:07:47,Normal,6,"[Tag: art, Tag: staystrong, Tag: bands, Tag: themedevider, Tag: followforfollow, Tag: theme, Tag: likeforlike, Tag: spamforspam]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417290_714268768698692_1370046525_n.jpg
1002636387142585903_247585242,2015-06-08 06:06:33,Lark,1,"[Tag: proudwife, Tag: besthusband, Tag: pogopalooza, Tag: breakingworldrecordsallday]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11330814_895547050488283_38316957_n.jpg
1002636047886057417_9634094,2015-06-08 06:05:52,Normal,1,"[Tag: thankful, Tag: coqauvinriesling]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326857_964585376927682_784939213_n.jpg
1002636002408966807_1452071705,2015-06-08 06:05:47,Normal,31,"[Tag: turquoise, Tag: fashion, Tag: instasmithy, Tag: nativeamerican, Tag: nature, Tag: instalike, Tag: statementring, Tag: sterlingsilver, Tag: gypsy, Tag: jewelrydesign, Tag: necklace, Tag: follow, Tag: ring, Tag: etsy, Tag: gem, Tag: metalsmith, Tag: jewelry, Tag: silversmith, Tag: shophandmade, Tag: handmade, Tag: riojeweler, Tag: boho, Tag: royston, Tag: cuff, Tag: jotd, Tag: pretty, Tag: macdesigns, Tag: picoftheday, Tag: pendant]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378345_385762734965620_842833798_n.jpg
1002635348595658712_1454709818,2015-06-08 06:04:29,Normal,10,"[Tag: art, Tag: staystrong, Tag: bands, Tag: themedevider, Tag: followforfollow, Tag: theme, Tag: likeforlike, Tag: spamforspam]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378757_1001714459884761_706309821_n.jpg
1002623466625877887_211553376,2015-06-08 05:40:52,Normal,2,"[Tag: crunk, Tag: moonshine, Tag: budheavy, Tag: tincture]",https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10011285_1598749063698793_1977895388_n.jpg
1002622554122964691_1454709818,2015-06-08 05:39:04,Normal,21,"[Tag: art, Tag: staystrong, Tag: bands, Tag: themedevider, Tag: leo, Tag: followforfollow, Tag: theme, Tag: likeforlike, Tag: spamforspam, Tag: zodiac, Tag: zodiacsign]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325399_408731989330866_1205943226_n.jpg
1002621429504233147_1454709818,2015-06-08 05:36:50,Normal,13,"[Tag: art, Tag: staystrong, Tag: bands, Tag: themedevider, Tag: followforfollow, Tag: theme, Tag: likeforlike, Tag: spamforspam]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327168_653459674787818_2142056280_n.jpg
1002585906557960042_626333278,2015-06-08 04:26:15,Normal,6,"[Tag: kingjamesversion, Tag: youversion, Tag: bibleinoneyear, Tag: follow4follow, Tag: bibleverse, Tag: bibleapp, Tag: verseaday2015, Tag: verseoftheday, Tag: goodnewsbible, Tag: basicinstructionbeforeleavingearth, Tag: browninkus, Tag: verseaday, Tag: followme, Tag: christianity, Tag: gnb, Tag: spiritualcoffee, Tag: wordoftheday, Tag: kjv, Tag: f4f, Tag: bibleplanning, Tag: bioy, Tag: scripture, Tag: piccollage]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378269_887024384699491_1101354325_n.jpg
1002584636284483503_1761975012,2015-06-08 04:23:43,Normal,1,"[Tag: favoriteplayerbelike, Tag: almosttothegold]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357457_466357240186012_1177264333_n.jpg
