ID,Created At,Filter,Number of Likes,HashTags,url
1002639109644407527_419509403,2015-06-08 06:11:57,Normal,5,"[Tag: summer, Tag: myself, Tag: usa, Tag: uofl, Tag: sunday, Tag: kentucky, Tag: louisville, Tag: cardinal, Tag: gocards, Tag: east, Tag: university]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357590_799021960218310_1418090438_n.jpg
1002608445716207042_286643620,2015-06-08 05:11:02,Lark,168,[Tag: baja500],https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/1737776_1664914630405628_1555560180_n.jpg
1002608360824307095_174969414,2015-06-08 05:10:52,Normal,35,[Tag: dt],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357812_1421078491549818_1521880535_n.jpg
1002607896537717964_182092166,2015-06-08 05:09:56,Normal,16,"[Tag: mcm, Tag: mce]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11352844_847935455276372_1358845263_n.jpg
1002605967689117148_24384858,2015-06-08 05:06:06,Juno,14,[Tag: vickyandern],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378105_1636135323288243_1701258774_n.jpg
1002601417335805391_300791700,2015-06-08 04:57:04,Normal,15,"[Tag: backing, Tag: sunday, Tag: bread, Tag: barbari, Tag: supper]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11330548_1014878195211684_650671605_n.jpg
1002597955159201774_1449344868,2015-06-08 04:50:11,Normal,19,[Tag: lbj23],https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10895015_608426099261147_1672345866_n.jpg
1002593682375437975_268240634,2015-06-08 04:41:42,Normal,10,[Tag: personal],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357962_886848838041566_209682269_n.jpg
1002588825742695262_1511502773,2015-06-08 04:32:03,Lark,9,"[Tag: newtriplecrown, Tag: twice, Tag: blessed, Tag: myhorseswon]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335172_1094841617210151_1537031549_n.jpg
1002587724478041342_218532962,2015-06-08 04:29:52,Amaro,4,[Tag: garyclarkjr],https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/10881859_1645649718997917_1971566275_n.jpg
