ID,Created At,Filter,Number of Likes,HashTags,url
992413367854199211_493109891,2015-05-25 03:35:14,Normal,0,[Tag: pooltime],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11375876_849844828433522_2133032428_n.jpg
992413174284816287_12362690,2015-05-25 03:34:51,Normal,0,"[Tag: selfie, Tag: sundayfunday, Tag: mdw]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11267600_785944264835788_81942836_n.jpg
992412955409452198_1420142882,2015-05-25 03:34:25,Normal,3,"[Tag: jetsky, Tag: gentedezona, Tag: flipagram, Tag: samuel, Tag: diasoleado, Tag: newamigo, Tag: beachtoday, Tag: you, Tag: friends, Tag: lissette, Tag: memorialday]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378355_692820824194676_1821244343_n.jpg
992412919027548098_230897382,2015-05-25 03:34:20,Lark,0,"[Tag: bridge, Tag: cocainecowboys, Tag: skyline]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11371009_1603626736555792_894196242_n.jpg
992412844311573476_1391138707,2015-05-25 03:34:11,Normal,0,[Tag: memorialdayweekend],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378000_815230398574890_1870595865_n.jpg
992412684656744635_1139925933,2015-05-25 03:33:52,Normal,2,[Tag: yquiennoesmarialola],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11359134_837140419668121_908222135_n.jpg
992412666739867128_2062917094,2015-05-25 03:33:50,Normal,0,"[Tag: goldrose, Tag: silver, Tag: gold]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282589_1449028305411478_1373100965_n.jpg
992412305535067675_2000077360,2015-05-25 03:33:07,Normal,2,"[Tag: lastdinnerwithmyfamily, Tag: theywillbemissed]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11381433_897865206937020_601202404_n.jpg
992412059506526110_178823280,2015-05-25 03:32:38,Normal,0,[Tag: bestofthebestconcert],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11280343_1136456583047202_1417101080_n.jpg
992411902334266259_415057,2015-05-25 03:32:19,Normal,3,[Tag: vouschurch],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376685_1455373958093771_126190740_n.jpg
992411893083289140_1469616676,2015-05-25 03:32:18,Lark,9,"[Tag: decor, Tag: homedecor, Tag: giftideas, Tag: scienceseries, Tag: barware, Tag: glassware, Tag: huntedluxury, Tag: shotglass, Tag: madeinmexico]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313634_1595191427416742_433242006_n.jpg
