ID,Created At,Filter,Number of Likes,HashTags,url
1002643210922899944_38285269,2015-06-08 06:20:06,Crema,0,"[Tag: gurlbah, Tag: tonyawards]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379841_360403494170965_1811209649_n.jpg
1002643206343910652_20796432,2015-06-08 06:20:06,Normal,0,"[Tag: tonyawards, Tag: kristinchenoweth]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355280_1626639894220470_201938117_n.jpg
1002643124580282182_31591562,2015-06-08 06:19:56,Aden,39,"[Tag: rp, Tag: chloe, Tag: drewbag]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376260_1610624595887512_1539324466_n.jpg
1002643058388058753_11928791,2015-06-08 06:19:48,Normal,0,[Tag: goodlifesundays],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374659_720233314765873_1036491967_n.jpg
1002643021753233243_43307058,2015-06-08 06:19:43,Juno,1,"[Tag: picture, Tag: highline, Tag: art, Tag: mexico, Tag: nycgay, Tag: street, Tag: nycstyle, Tag: nycstreets, Tag: friends, Tag: hipsters, Tag: nycsummer, Tag: lady, Tag: vacation, Tag: nycfashion, Tag: nyc, Tag: squaready, Tag: painting, Tag: manhattan, Tag: nycliving]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374013_1627702367477621_551626388_n.jpg
1002642965465974158_25082352,2015-06-08 06:19:37,Normal,1,"[Tag: skyline, Tag: concretejungle, Tag: nightlife, Tag: govball, Tag: nyc, Tag: lights✨, Tag: citythatneversleeps]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426454_886929598067330_603276877_n.jpg
1002642806872390628_178273757,2015-06-08 06:19:18,X-Pro II,0,"[Tag: tonyawards, Tag: suttonfoster]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327432_1456274458016985_567905476_n.jpg
1002642799918120741_220318646,2015-06-08 06:19:17,Normal,1,"[Tag: sushi, Tag: bros, Tag: gorgeous]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377462_710969935697923_1234043517_n.jpg
1002642775707360216_49592437,2015-06-08 06:19:14,Vesper,0,"[Tag: govball, Tag: tameimpala]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11373956_1593268930929873_417874674_n.jpg
1002642702782983896_33295282,2015-06-08 06:19:05,Normal,0,"[Tag: forecasting, Tag: forex, Tag: forextrading, Tag: nodejs, Tag: mongodb, Tag: forexsignals]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355945_365410010323559_51899719_n.jpg
