ID,Created At,Filter,Number of Likes,HashTags,url
1002641932231648093_30696287,2015-06-08 06:17:34,Hudson,0,[Tag: fieldtripp],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333308_1650552035175874_1431193922_n.jpg
1002640897902116802_2057623838,2015-06-08 06:15:30,Normal,4,"[Tag: oldiebutgoodie, Tag: skinnygirlsispoppintoo]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378278_1607471482865831_323239579_n.jpg
1002640390404302233_45085120,2015-06-08 06:14:30,Normal,0,[Tag: fieldtripp],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377525_1852607488297791_913032047_n.jpg
1002638997429560909_1417683976,2015-06-08 06:11:44,Juno,2,"[Tag: butterfly, Tag: photography, Tag: arizona, Tag: butterflygarden, Tag: phoenix]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11424596_912243872150049_27838070_n.jpg
1002638693774779777_45085120,2015-06-08 06:11:08,Normal,0,[Tag: fieldtripp],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11417252_1599016993707705_1394915422_n.jpg
1002638693507293761_10286047,2015-06-08 06:11:08,Crema,1,[Tag: lemleywedding],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311915_911581555549878_1334028503_n.jpg
1002638421786198921_1461663679,2015-06-08 06:10:35,Normal,15,"[Tag: pencils, Tag: thejoker, Tag: pens, Tag: fanart, Tag: batman, Tag: sketch, Tag: sketching, Tag: dccomics, Tag: brucetimm, Tag: micron, Tag: wip]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380807_473130966175127_1846562491_n.jpg
1002637872329679419_10286047,2015-06-08 06:09:30,Crema,1,[Tag: lemleywedding],https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/10665523_555077594630572_1626784264_n.jpg
1002637852324130974_36937299,2015-06-08 06:09:27,Normal,26,"[Tag: tattoos, Tag: girlswithtattoos, Tag: salonlife, Tag: hairstylist, Tag: hairordye, Tag: entrepreneur, Tag: phx, Tag: follow, Tag: tattooed, Tag: tattooedandemployed, Tag: sparkscolor, Tag: vividcolor, Tag: womenwithtattoos, Tag: girlboss, Tag: colorist, Tag: btcpics, Tag: modernsalon, Tag: bossbitch, Tag: dtphx, Tag: behindthechair, Tag: happy]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377899_860714813965060_129284237_n.jpg
1002637576010490423_10286047,2015-06-08 06:08:54,Crema,2,[Tag: lemleywedding],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410749_830719763677581_350799549_n.jpg
1002637331426450016_24638589,2015-06-08 06:08:25,Normal,7,"[Tag: iworkweekends, Tag: djlife]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11325965_1595058164109471_248930527_n.jpg
1002637264583418420_10286047,2015-06-08 06:08:17,Crema,3,[Tag: lemleywedding],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357548_817443181643786_773976588_n.jpg
1002636758423200297_10286047,2015-06-08 06:07:17,Crema,2,[Tag: lemleywedding],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312348_1605861759698370_44287767_n.jpg
1002636405213620795_233877169,2015-06-08 06:06:35,Juno,8,[Tag: bestfriends],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374487_907076166023502_378641552_n.jpg
1002634788099554574_1471147014,2015-06-08 06:03:22,Normal,10,"[Tag: visionphysiquefitness, Tag: hannys, Tag: yoga, Tag: fitfam, Tag: phoenix, Tag: bathroomselfie, Tag: bestie, Tag: az, Tag: friends]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11334600_481557488661624_1604303519_n.jpg
1002634459553214835_570368851,2015-06-08 06:02:43,Mayfair,0,[Tag: restofmylife],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325639_1592621141015835_1755215460_n.jpg
1002634334781163476_12063952,2015-06-08 06:02:28,Normal,0,"[Tag: ascetichouse, Tag: derbunker, Tag: downwardsrecords]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326383_376712562530721_301501210_n.jpg
1002634228689889522_407068417,2015-06-08 06:02:15,Mayfair,0,[Tag: justdoit],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312147_429889543855134_375089734_n.jpg
1002634142351593680_55080739,2015-06-08 06:02:05,Normal,7,"[Tag: arizona, Tag: cousintime, Tag: phoenix, Tag: layover]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11282768_865659060166396_499093833_n.jpg
1002634007439791300_372868,2015-06-08 06:01:49,Reyes,3,[Tag: sundaysupperclub],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379304_1411297009196863_102269061_n.jpg
1002632331960082479_320814951,2015-06-08 05:58:29,Normal,51,[Tag: shittyassselfie],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11334426_1645857488965745_602700929_n.jpg
1002632297143860013_417486533,2015-06-08 05:58:25,Normal,0,"[Tag: aznothiking, Tag: howaboutnot, Tag: okromeo]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379965_1486184101642312_519580319_n.jpg
1002631201921941163_690254590,2015-06-08 05:56:14,Normal,7,"[Tag: dog, Tag: rescuedog, Tag: derp]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11352046_104837286522253_750280557_n.jpg
1002631077324089368_3912777,2015-06-08 05:56:00,Inkwell,0,"[Tag: mertzkrew, Tag: splashpad]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358237_1597813333807470_1688706878_n.jpg
1002630793000141345_614157319,2015-06-08 05:55:26,Normal,16,"[Tag: takingit1day, Tag: gcu]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11255599_754810837951001_619738247_n.jpg
1002630735867273929_310879215,2015-06-08 05:55:19,Normal,0,[Tag: donnie],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420899_1438421846478888_1503899601_n.jpg
1002630371069086026_2516489,2015-06-08 05:54:35,Normal,60,"[Tag: matthewdellavedova, Tag: graphicdesign, Tag: delly, Tag: nbafinals, Tag: cavs, Tag: illustration]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358960_392602784276706_1608805496_n.jpg
1002629538141030164_947638440,2015-06-08 05:52:56,Normal,12,[Tag: dtphx],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355046_374842512721712_1998650673_n.jpg
1002627505966704176_1423407968,2015-06-08 05:48:54,Normal,6,[Tag: fandomplay],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11333339_112262965775392_610980802_n.jpg
1002626975680849451_1423407968,2015-06-08 05:47:51,Normal,6,[Tag: fandomplay],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11254473_1491724427714954_990726053_n.jpg
1002626209918863080_947638440,2015-06-08 05:46:19,Normal,23,[Tag: dtphx],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417487_847026945335207_1920870609_n.jpg
