ID,Created At,Filter,Number of Likes,HashTags,url
992412990885921067_361688903,2015-05-25 03:34:29,Normal,0,"[Tag: onsale, Tag: instasale, Tag: madeintheusa, Tag: instajewelry, Tag: shophandmade, Tag: sale, Tag: glamour, Tag: handmadejewelry, Tag: memorialdaysale, Tag: bracelets, Tag: pinup, Tag: laplumenoir, Tag: girly, Tag: gypsy, Tag: shabbychic, Tag: vintage, Tag: necklaces, Tag: rings, Tag: sparkly, Tag: buyhandmade, Tag: boho, Tag: retro, Tag: shopsmall, Tag: earrings, Tag: jewelrydesigner, Tag: laplumenoirdotcom, Tag: gemstonering, Tag: sfetsy]",https://scontent.cdninstagram.com/hphotos-xtp1/t51.2885-15/e15/11111503_1828126480746465_1234034238_n.jpg
992412983762865516_15392802,2015-05-25 03:34:28,Normal,0,"[Tag: brother, Tag: family, Tag: roadtrip]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375833_1452754491704322_402290893_n.jpg
992412960123754588_1100287789,2015-05-25 03:34:25,Ludwig,0,[Tag: darthvaderandfriends],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11312031_1401618340165758_120783593_n.jpg
992412957038373592_422059377,2015-05-25 03:34:25,Lo-fi,0,"[Tag: culture, Tag: themission, Tag: carnaval, Tag: sendoff, Tag: thebaytho, Tag: sf, Tag: summernights]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11351042_957334720977733_1571785398_n.jpg
992412891815545823_13993009,2015-05-25 03:34:17,Normal,0,[Tag: damahike],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358040_809662232452096_1764452169_n.jpg
992412755313460981_361585416,2015-05-25 03:34:01,Normal,1,[Tag: saucha],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11348152_1673862849501316_1184158993_n.jpg
992412708715873815_6406520,2015-05-25 03:33:55,Normal,1,"[Tag: socalbestcal, Tag: usf2015]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357611_288452681278863_2131565583_n.jpg
992412682477490089_206357674,2015-05-25 03:33:52,Normal,0,[Tag: carnavalsf],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374063_840487049338813_111214239_n.jpg
992412657344047705_7351529,2015-05-25 03:33:49,Reyes,0,"[Tag: santacruz, Tag: mdw]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372314_1128475200512012_724830322_n.jpg
992412645560594718_189004011,2015-05-25 03:33:48,Crema,0,"[Tag: tranceislife, Tag: tfsf5, Tag: trancefamilysf, Tag: tranceislove]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325448_1493760017539344_751737258_n.jpg
992412568359510478_10823303,2015-05-25 03:33:38,Lark,1,"[Tag: alamosquare, Tag: sanfrancisco]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358117_814452205306937_887043400_n.jpg
992412538789960578_233583589,2015-05-25 03:33:35,Normal,0,"[Tag: throwback, Tag: nofilter, Tag: palaceoffinearts, Tag: sunrise, Tag: tastetherainbow]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11352873_1453356388297134_1883394572_n.jpg
992412498247932472_51988701,2015-05-25 03:33:30,Earlybird,0,[Tag: converse],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11371259_725275964250173_1185316071_n.jpg
992412492778471770_202243615,2015-05-25 03:33:29,Normal,0,"[Tag: damnadorable, Tag: bitchesloveme, Tag: girlsday, Tag: wearehot]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11265762_796236643805592_850510103_n.jpg
992412484449750476_299554754,2015-05-25 03:33:28,Willow,0,"[Tag: castro, Tag: shelovesme, Tag: goodtimes, Tag: sf]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377949_943100789065217_1849454900_n.jpg
992412372566382880_35715357,2015-05-25 03:33:15,Normal,3,"[Tag: frisco, Tag: goldengatebridge, Tag: memorialweekend, Tag: sanfrancisco, Tag: byebye]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11272826_606271682847759_1246948880_n.jpg
992412340777293799_24089004,2015-05-25 03:33:11,Normal,1,[Tag: castro],https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10632512_400527293465865_808891304_n.jpg
992412304998675927_604872828,2015-05-25 03:33:07,Slumber,0,"[Tag: tmousatrip, Tag: museemechanique]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325210_759503907504487_2131906333_n.jpg
992412289628925599_173716050,2015-05-25 03:33:05,Normal,3,"[Tag: cute, Tag: neff, Tag: columbia, Tag: iphone6, Tag: adventuretime, Tag: rain, Tag: roadtrip, Tag: goldengatebridge, Tag: california, Tag: northface]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313202_852116404875780_684314563_n.jpg
992412256018993283_1820849195,2015-05-25 03:33:01,Normal,0,"[Tag: 2015, Tag: missiondistrict, Tag: carnavalsf]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379333_1639388082940163_899796436_n.jpg
992412218670847902_362547180,2015-05-25 03:32:57,Lark,2,"[Tag: honeymooning, Tag: chocolate, Tag: thankyou, Tag: iloveyou, Tag: opsalfamily, Tag: sanfransisco, Tag: argonauthotel, Tag: champagne, Tag: jeffopsal]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11288209_556620444492742_907201044_n.jpg
