ID,Created At,Filter,Number of Likes,HashTags,url
992411480115396640_192289879,2015-05-25 03:31:29,Normal,8,"[Tag: catholic, Tag: art, Tag: italy, Tag: passport, Tag: travelandlife, Tag: church, Tag: firenze, Tag: bernardodaddi, Tag: architecture, Tag: nextdestination, Tag: italia, Tag: madonna, Tag: traveladdicted, Tag: florence]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377923_1578896999028381_342977498_n.jpg
992411081069134843_1077379703,2015-05-25 03:30:41,Normal,3,"[Tag: italy, Tag: vscoitaly, Tag: vscorussia, Tag: cinqueterre, Tag: instadaily, Tag: italian, Tag: travel, Tag: vernazza]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11371972_484162968401158_1471151071_n.jpg
992410708201507416_180337369,2015-05-25 03:29:57,Normal,24,"[Tag: eurotrip, Tag: toscana, Tag: firenze, Tag: simplybsac, Tag: explore, Tag: adventure, Tag: duomodifirenze, Tag: cathedral, Tag: vsco, Tag: florence, Tag: italy, Tag: duomo, Tag: travel, Tag: florenceitaly, Tag: italia, Tag: architecture, Tag: vscocam, Tag: history]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327051_1631701360409926_194005313_n.jpg
992409924888718149_265851049,2015-05-25 03:28:23,Juno,28,"[Tag: beautiful, Tag: art, Tag: florence, Tag: instagood, Tag: instafun, Tag: italy, Tag: instadaily, Tag: weekend, Tag: picoftheday, Tag: photooftheday]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355966_922242247817089_2026993937_n.jpg
992409612689613670_197900775,2015-05-25 03:27:46,Reyes,2,"[Tag: italy, Tag: pisa]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11265984_458188361017263_660483919_n.jpg
992408552465724917_13439572,2015-05-25 03:25:40,Normal,4,"[Tag: italia, Tag: florence, Tag: piazza]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282589_1624953077719217_1679727977_n.jpg
992407543743773567_798419349,2015-05-25 03:23:39,Hudson,1,"[Tag: italy, Tag: loveitaly, Tag: perfectlife, Tag: firenze, Tag: happydays, Tag: fun, Tag: love, Tag: florence, Tag: happy]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11348345_773988859381171_612318315_n.jpg
992407299270310506_51460189,2015-05-25 03:23:10,Normal,4,"[Tag: firenze, Tag: uffizi]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357719_1450098978618873_1073299001_n.jpg
992404980745165313_21932357,2015-05-25 03:18:34,Normal,3,"[Tag: firenzeitalia, Tag: mangia]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11326163_1630024570548062_39896783_n.jpg
992398696723874554_1077379703,2015-05-25 03:06:05,Normal,10,"[Tag: urban, Tag: italy, Tag: vscoitaly, Tag: vscorussia, Tag: monterosso, Tag: cinqueterre, Tag: architecture, Tag: streetphoto, Tag: travel]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378438_1611894302387806_1978205825_n.jpg
992397579022027595_242266073,2015-05-25 03:03:51,Reyes,5,"[Tag: newyork, Tag: florence, Tag: taiwan, Tag: friends, Tag: sanfrancisco]",https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/1390067_480270605455879_107046158_n.jpg
992397495844396553_2384790,2015-05-25 03:03:42,Valencia,5,"[Tag: picture, Tag: life, Tag: love, Tag: may, Tag: instapic, Tag: florence, Tag: friends, Tag: italy, Tag: fitenze, Tag: top, Tag: club, Tag: sunday, Tag: nightlife, Tag: fun, Tag: party, Tag: friendship]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11269593_448019005373053_1259201866_n.jpg
992397495707715218_565577384,2015-05-25 03:03:42,Mayfair,9,[Tag: 피렌체],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11375255_107974806203926_1974110088_n.jpg
992397332062449649_190147090,2015-05-25 03:03:22,Normal,11,"[Tag: dine, Tag: expresso, Tag: eating, Tag: eaten, Tag: piazzadelduomo, Tag: mussels, Tag: florenceduomo, Tag: silverware, Tag: shell, Tag: coffee, Tag: firenze, Tag: piazzaduomo, Tag: table, Tag: florence, Tag: florencecathedral, Tag: bread, Tag: italy, Tag: piazza, Tag: eat, Tag: shells, Tag: duomo, Tag: seafood, Tag: bowl, Tag: silver, Tag: food, Tag: dinner, Tag: mussel, Tag: firenzeduomo, Tag: italian]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357270_109023316098589_1351920153_n.jpg
992393073029868725_253755058,2015-05-25 02:54:54,Normal,235,"[Tag: like4follow, Tag: gay, Tag: instalike, Tag: likeforfollow, Tag: iphonesia, Tag: likeforspam, Tag: instacool, Tag: likeforlike, Tag: igers, Tag: jj, Tag: gayboys, Tag: gayguy, Tag: portrait, Tag: like4like, Tag: picoftheday]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380850_376457439224920_689446406_n.jpg
992388035227073236_305610941,2015-05-25 02:44:54,Normal,49,"[Tag: leaningtower, Tag: italy, Tag: vscocam, Tag: exploreeverything, Tag: explore, Tag: travel, Tag: pisa, Tag: vsco, Tag: vscophotos, Tag: italia, Tag: architecture, Tag: tower, Tag: leaningtowerofpisa, Tag: m3cphotography]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378193_1619485044958889_1313329257_n.jpg
992380307620027697_287389662,2015-05-25 02:29:33,Normal,7,"[Tag: breathtaking, Tag: sunset, Tag: citytrip, Tag: italia, Tag: florence, Tag: stunning, Tag: firenze]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282646_751051045021381_1859790708_n.jpg
992374138956471478_287389662,2015-05-25 02:17:17,Normal,7,"[Tag: londonreunion, Tag: blackandwhite, Tag: florence, Tag: andagain, Tag: amazing, Tag: london, Tag: italia, Tag: friendship]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326320_1758952437664607_1097002348_n.jpg
992370388744937895_982139231,2015-05-25 02:09:50,Normal,14,"[Tag: beautiful, Tag: cute, Tag: fashion, Tag: love, Tag: summer, Tag: food, Tag: instalike, Tag: tbt, Tag: tagsforlikesapp, Tag: igers, Tag: follow, Tag: instadaily, Tag: instamood, Tag: friends, Tag: girl, Tag: me, Tag: swag, Tag: like4like, Tag: tflers, Tag: followme, Tag: instagood, Tag: tagsforlikes, Tag: amazing, Tag: bestoftheday, Tag: fun, Tag: smile, Tag: photooftheday, Tag: picoftheday, Tag: happy]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11269910_1597047493911139_474290_n.jpg
992369669990339851_1157807388,2015-05-25 02:08:25,Normal,22,"[Tag: art, Tag: nature, Tag: firenze, Tag: tuscany, Tag: florence, Tag: adayinflorence, Tag: igerstuscany, Tag: italy, Tag: ig_tuscany, Tag: igersitalia, Tag: travel, Tag: culinarytours, Tag: travelphotography, Tag: sunrise, Tag: pontevecchio, Tag: italia, Tag: mygourmetjourney, Tag: arno]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379284_447266035433298_78569447_n.jpg
992367692014822200_193276927,2015-05-25 02:04:29,Amaro,3,"[Tag: afternoons, Tag: homemade]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11372453_673678722736828_989394904_n.jpg
992367436005136134_628179116,2015-05-25 02:03:58,Normal,20,"[Tag: cane, Tag: italy, Tag: mybodyguard, Tag: dog, Tag: firenze, Tag: amazing, Tag: goodnight, Tag: husky]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11326196_1589892254615203_1960204377_n.jpg
