filter_name,score,avg_like,img1,img2,img3,img4
Normal,161,66,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11287792_246014968902196_1071255339_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410614_920579164646837_1418594536_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380084_373737102820390_1425083416_n.jpg,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/11190254_1630817387131870_276020891_n.jpg
Lark,16,23,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11248220_1619426441675348_145692797_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11327216_904765652898416_1391778147_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330663_1600395770232352_1724472947_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11337168_460387964124170_610576092_n.jpg
Ludwig,11,10,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374654_1586712488271487_906312282_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11383297_466710363496499_1355090270_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11382935_365756470284244_1934665557_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11330605_1619113178333572_1706723535_n.jpg
Juno,10,27,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379121_1441132596191176_865385049_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379879_906943079391372_900468705_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379738_1608061829432105_1791234150_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313384_546981672107980_893257610_n.jpg
Nashville,7,24,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377637_760557647404721_66474171_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375998_1435974506724113_633353198_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326572_1638306159721862_13319919_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376213_103983143274699_1025036070_n.jpg
Amaro,6,53,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374701_118298061836295_1674111651_n.jpg,https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/924718_875592999174267_1640903010_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11352191_736046123171128_1645649257_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11296780_1622677328009959_720230207_n.jpg
X-Pro II,6,22,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379240_785920424839051_821914230_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373544_1458278417816804_587784558_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377783_1439942259644035_1049691358_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357951_1616621811926103_1033183209_n.jpg
Lo-fi,6,16,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11324363_777975982315943_1195736540_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11283315_937759612912893_962692600_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357886_1591084121174474_79882803_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379061_781097128675294_423118651_n.jpg
Perpetua,5,14,https://scontent.cdninstagram.com/hphotos-xpa1/t51.2885-15/e15/10919741_869273576454477_1513392678_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351043_1605984519618705_104724804_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374754_841947179222942_1563183416_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351022_897677713612048_307721052_n.jpg
Reyes,5,31,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11355050_1754286108131501_1440809812_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355069_1436774306626151_1389663872_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11386407_1033907576621144_24234146_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357675_836858816402059_1008016978_n.jpg
