filter_name,score,avg_like,img1,img2,img3,img4
Normal,131,47,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313444_1067568386605108_705841435_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378862_1449999711962046_853875941_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325733_1646550698910292_741712486_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11283295_701131200014544_371957885_n.jpg
Juno,16,17,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313541_1444246189227368_1856581269_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357607_1586265601634943_1097883636_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333644_398770140309515_1796528528_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378249_614554168646961_746723192_n.jpg
Lark,14,22,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376523_1439396809699188_1005341654_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378473_397522637101042_1734620799_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377828_1140574345969831_1195637684_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357541_957213840997995_747651796_n.jpg
Valencia,12,19,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11428104_627408547395014_1331872548_n.jpg,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/e15/11191275_1586910508238926_1558163278_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11313488_845004682203279_1543035012_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410527_739834539466912_2123431164_n.jpg
Ludwig,9,14,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11422002_118658921800062_716755421_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379171_1602547460001019_1252246026_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282031_1454733891505855_825566610_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11350977_1607704379477047_1606516460_n.jpg
Hefe,7,36,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376467_843020339080880_1757235276_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11427457_693615797432418_2078397405_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376537_794681437306564_1301312815_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11355898_430326017149219_1551767264_n.jpg
Nashville,6,37,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376516_459476690892239_1189138501_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11358284_996183583734956_144676835_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11428187_1780724015487195_1948900630_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11428669_1455404484757291_807717409_n.jpg
X-Pro II,6,17,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376647_1595424387396044_643817444_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417424_1059605210734428_1503018395_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11280320_1602800846647361_1298222547_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11381429_1605860223022633_1277478460_n.jpg
Rise,5,50,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410392_1603799256534821_1474007314_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11421995_866798300075534_2097930241_n.jpg,https://scontent.cdninstagram.com/hphotos-xfp1/t51.2885-15/e15/10467747_909917669071060_66735187_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11334653_1617120365224505_856203817_n.jpg
Lo-fi,5,18,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282295_829960760427412_815222027_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11418992_381311455399529_70266050_n.jpg,https://scontent.cdninstagram.com/hphotos-xap1/t51.2885-15/e15/10843774_1659565317589905_983562419_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378538_772229142894135_257412480_n.jpg
Crema,4,29,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377937_1643248479232556_270021272_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377915_688329887979367_1136679922_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327101_815034118587893_1580269537_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11324291_834498106628735_775173090_n.jpg
