filter_name,score,avg_like,img1,img2,img3,img4
Normal,138,36,https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e15/11283289_863917920350123_47669381_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11311649_671677496309969_1407257173_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11417270_887909501280232_777046350_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11380305_1448219658828019_1311996805_n.jpg
Juno,16,18,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373747_1017965088216359_901052061_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11359005_431276047033724_1562075748_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326578_506245976195820_499127413_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11350974_401138213404184_235380660_n.jpg
Lark,15,23,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313208_395846993940903_2107519829_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419296_1663692163865257_1567128183_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379251_903102469732667_365638447_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11420765_762013050586646_1051005151_n.jpg
Ludwig,8,74,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11333474_560161900791339_395636997_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410410_1608640966061492_1499913883_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11418998_840258309402544_1227838775_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374799_378676155590312_623679991_n.jpg
X-Pro II,7,35,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11280251_1027228477289021_1101767188_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376636_1644891385747335_1920515569_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11355914_312967462206899_857032545_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379736_103579223315218_974425706_n.jpg
Perpetua,6,16,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11372483_1170800669615219_1497950963_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375976_847819235309646_2729046_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356804_932122140191272_1339694511_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327149_1635955413308481_72845659_n.jpg
Sierra,6,6,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11281988_988022237898489_707195255_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378278_817922051617721_863087448_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325130_451772411614711_895385614_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11283363_455760984584532_1156455566_n.jpg
Rise,6,15,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11296658_1599227010354552_1946950744_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378845_120822554916315_65920617_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426227_1450031328625610_1432690178_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11428159_802561366506434_716165528_n.jpg
Reyes,5,15,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374648_400841313437303_341477844_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357319_368578070010829_255586773_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374689_1444170272551889_2026313374_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11419123_1617775131831928_86029782_n.jpg
Vesper,5,13,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351623_695371873925911_1978911640_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11386524_1439318686372499_1591018150_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11325825_966528196725666_944403557_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11333765_1010475512319230_1997993357_n.jpg
Hefe,5,20,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11377490_992785890766199_1171005149_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11327167_618481958288206_1541880243_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356533_395835880624183_2112035111_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11355239_1658064597745912_1832326242_n.jpg
