filter_name,score,avg_like,img1,img2,img3,img4
Normal,147,53,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385586_334918489965113_2038436808_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11246294_785422754888675_1396601008_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410333_907165216011861_2128627354_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378730_447433582097317_1505083519_n.jpg
Ludwig,14,45,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11356703_1444774472508717_274248430_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11423657_1470586699899231_1264374388_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380868_994285357283301_1769250257_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11287508_829879533774283_417785944_n.jpg
Juno,13,22,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335845_1481136752178212_534720360_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374606_417243411789817_1442811250_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11324230_990723884305951_1485020671_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335554_408301256045097_1724254487_n.jpg
Lark,8,70,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326465_1604007553209277_266773590_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11424583_748378641946547_510727233_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282211_1102939663055892_559655127_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11264821_104536886552098_1673609020_n.jpg
Inkwell,7,6,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335844_1603070796625782_399279607_n.jpg,https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/10013302_623352021133535_1429354069_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11357772_564609147010256_1405376765_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11311652_717750725002759_286368641_n.jpg
Mayfair,7,42,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333694_1401083680221217_148782761_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372113_277743032395952_566924184_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374582_475406019283096_582507422_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378933_814586611965541_546411144_n.jpg
Rise,6,30,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378531_477084035801961_1401930486_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372535_1602932873329314_462985068_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379298_409922289191079_1469836324_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376408_388555598000463_736666280_n.jpg
X-Pro II,5,21,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11123940_722398877868470_947653479_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11423013_1449132888716054_13610414_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380301_1426868504303359_699419956_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11282228_1447743492209067_1266563401_n.jpg
Lo-fi,4,23,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333307_960439033987072_1574605090_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11326706_720230358087157_709400233_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374681_1438934143074982_258474104_n.jpg,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11326334_355881737949778_467743375_n.jpg
Sierra,4,11,https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378636_824774797617272_714228150_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373631_826609037424858_1663727376_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11374468_743466225763751_1327062157_n.jpg,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11351925_1446026262380884_1694767768_n.jpg
