ID,Created At,Filter,Number of Likes,HashTags,url
1002633384852124593_1236245955,2015-06-08 06:00:35,Normal,2,"[Tag: gratitude, Tag: serenity, Tag: natureischurch]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11282298_1454495091517027_1298489815_n.jpg
1002632299869859209_12791242,2015-06-08 05:58:25,Juno,5,"[Tag: abqisatrip, Tag: itsnotsunday, Tag: guywithhalfshirt, Tag: boyfriends, Tag: oddcouple, Tag: gladwerenotallthesame, Tag: dungeonsanddragons]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11330611_475477532610178_6308698_n.jpg
1002616526738136127_227437662,2015-06-08 05:27:05,Normal,1,"[Tag: cuddlebug, Tag: americanpitbull]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11376674_1436821656627586_1615425897_n.jpg
1002606894326727240_41683311,2015-06-08 05:07:57,Normal,17,"[Tag: coloradoriver, Tag: floatopia2k15]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11352190_673931846070388_1911881308_n.jpg
1002599430309132734_362156389,2015-06-08 04:53:07,Lark,41,"[Tag: yoga, Tag: chinstand, Tag: yogi, Tag: bottomsup365, Tag: trees, Tag: yogaeverydamnday, Tag: sunset, Tag: yogaaddict, Tag: yogaprogress]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333697_643239745775706_1522280701_n.jpg
1002599223574082705_636818532,2015-06-08 04:52:42,Sierra,15,"[Tag: summer, Tag: sundayfunday, Tag: abq, Tag: dukecity, Tag: 505, Tag: cliffs]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11419199_713911712073779_1602136338_n.jpg
1002598785585887670_362156389,2015-06-08 04:51:50,Lark,35,"[Tag: yogaeverydamnday, Tag: yoga, Tag: fitgirls, Tag: yogaaddict, Tag: yogi, Tag: bottomsup365, Tag: handstand]",https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e15/11330694_851946598175516_1871062706_n.jpg
1002589883503890958_1834067451,2015-06-08 04:34:09,Normal,8,"[Tag: 2k16, Tag: studioplayhaus, Tag: newplay, Tag: script]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11427333_1590178211263463_1482774222_n.jpg
1002587047299747482_1419923426,2015-06-08 04:28:31,Normal,19,"[Tag: gaming, Tag: ninetailed, Tag: ahri, Tag: leagueoflegends]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335172_351465898396434_1402669606_n.jpg
1002586724916902493_713181,2015-06-08 04:27:52,Ludwig,11,"[Tag: wash, Tag: cat]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417337_674923862642202_235624534_n.jpg
1002586339451366827_278637586,2015-06-08 04:27:06,Juno,30,"[Tag: tbird, Tag: route66, Tag: odeon, Tag: rockabillyontheroute, Tag: thunderbird, Tag: tucumcari]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11252363_1588446108073907_102833412_n.jpg
1002585237792037606_649402373,2015-06-08 04:24:55,Normal,16,"[Tag: unmsouth, Tag: golfing]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373595_854162081320396_436775113_n.jpg
1002582073146074854_19940760,2015-06-08 04:18:38,Clarendon,36,[Tag: championsdomore],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11374592_579870468783283_1993325453_n.jpg
1002581036827983626_175952862,2015-06-08 04:16:34,Hefe,2,"[Tag: maplove, Tag: planningnerd]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376357_953387314705282_37728898_n.jpg
1002568040207610065_182208835,2015-06-08 03:50:45,Brannan,7,"[Tag: sewing, Tag: diy, Tag: bellydance]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11357774_1442748732711084_1506172674_n.jpg
1002563241159984142_4713360,2015-06-08 03:41:13,Dogpatch,7,"[Tag: monsoon, Tag: tropical, Tag: newmexico, Tag: albuquerque]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11417492_782133655234980_101058513_n.jpg
1002562321345826262_1412490146,2015-06-08 03:39:23,Normal,9,"[Tag: beer, Tag: alcohol, Tag: true, Tag: fuckyou, Tag: truedat, Tag: fuckoff]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385628_788357524611104_1658954026_n.jpg
1002561494928289215_146273034,2015-06-08 03:37:45,Lo-fi,34,"[Tag: radiotower, Tag: evening, Tag: sunset, Tag: fadein, Tag: running, Tag: contact]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11385608_1453804041598787_2026294216_n.jpg
1002561142306775111_40334999,2015-06-08 03:37:03,Normal,8,"[Tag: nailart, Tag: nails, Tag: gelnails, Tag: love]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410551_1602419646665818_426568150_n.jpg
