ID,Created At,Filter,Number of Likes,HashTags,url
1002640559855964487_303756859,2015-06-08 06:14:50,Normal,4,"[Tag: chachaslide, Tag: challenge, Tag: bboy]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11330624_1596219040654224_324726458_n.jpg
1002638005820465652_30893847,2015-06-08 06:09:46,Normal,1,"[Tag: azariahjamesbeazer, Tag: churchclothes]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11420799_1591689684425729_29092836_n.jpg
1002633924854212435_10263128,2015-06-08 06:01:39,Normal,1,[Tag: dayofthedead],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11252181_942441075776901_358835366_n.jpg
1002633829054606074_3746465,2015-06-08 06:01:28,Mayfair,6,"[Tag: 알래스카, Tag: anchorage, Tag: sunset]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372340_1654677844766585_928056915_n.jpg
1002628347386483548_3648411,2015-06-08 05:50:34,Normal,5,[Tag: anyexcuseforabiketour],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11373956_372001969666116_1325203588_n.jpg
1002628267518841082_1606803699,2015-06-08 05:50:25,Normal,21,[Tag: cali],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11386468_244592209044313_1189225230_n.jpg
1002624544601370814_50235859,2015-06-08 05:43:01,Reyes,4,"[Tag: normallyheavymeals, Tag: dinner, Tag: cheatdiet]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11373494_421591951353925_1731659919_n.jpg
1002624319687899865_573347701,2015-06-08 05:42:34,Normal,5,[Tag: confessions],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11424598_1611136812486374_344769861_n.jpg
1002619579695455007_1506966621,2015-06-08 05:33:09,Juno,13,"[Tag: trust, Tag: contour]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11428178_480761428753528_576338687_n.jpg
1002618864611205144_223374199,2015-06-08 05:31:44,Inkwell,35,"[Tag: karate, Tag: hats, Tag: madhatter, Tag: mma, Tag: alaska]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11386461_1598457360423445_951452111_n.jpg
1002617414267340933_356680417,2015-06-08 05:28:51,Normal,14,"[Tag: newportpier, Tag: balboapier, Tag: oc, Tag: socal, Tag: newport, Tag: california, Tag: newportbeach, Tag: pacificocean, Tag: beachlife, Tag: 15thstreetbeach, Tag: worldoceanday]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11254230_675516819245721_1462933665_n.jpg
1002617342219830367_3222608,2015-06-08 05:28:42,Normal,24,"[Tag: anchorage, Tag: peopleofanchorage, Tag: alaska]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11356834_785540508228843_871133819_n.jpg
1002617036898116943_2086001096,2015-06-08 05:28:06,Mayfair,3,"[Tag: petflys, Tag: love, Tag: anchorage, Tag: peace, Tag: dog, Tag: doggytank, Tag: hmbark, Tag: bone, Tag: hotelcaptcook]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11372127_1438558443117882_2049929014_n.jpg
