ID,Created At,Filter,Number of Likes,HashTags,url
1002626190148216473_1905749712,2015-06-08 05:46:17,Juno,10,[Tag: tb],https://scontent.cdninstagram.com/hphotos-xta1/t51.2885-15/e15/10809559_1112473775434728_723703791_n.jpg
1002622882820159039_26422844,2015-06-08 05:39:43,Valencia,3,"[Tag: dawes, Tag: sexysaxman]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11267905_1630784577168440_1145196761_n.jpg
1002609715421686702_307081065,2015-06-08 05:13:33,Normal,6,[Tag: mcm],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11312111_781538995296224_1860650898_n.jpg
1002605199206578925_1361837749,2015-06-08 05:04:35,Normal,1,"[Tag: redyucca, Tag: notreallyayucca, Tag: capitol, Tag: flowerpower, Tag: austin, Tag: texas]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11382921_574702786003516_1687656681_n.jpg
1002605073972138703_1096421859,2015-06-08 05:04:20,Normal,8,"[Tag: me, Tag: caramel, Tag: all, Tag: frappuccino, Tag: double, Tag: sundayfunday, Tag: travellovers, Tag: moi, Tag: westva, Tag: starbucks, Tag: lui, Tag: him, Tag: latergram]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379150_1588924691356147_1797626703_n.jpg
1002595266592240284_257473579,2015-06-08 04:44:51,Lark,63,"[Tag: coal, Tag: moonshine]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11351021_687686311363484_2006363893_n.jpg
1002593993393633836_1361837749,2015-06-08 04:42:19,Normal,3,"[Tag: lonestar, Tag: thestarismightierthanthesword, Tag: goddessofliberty, Tag: capitol, Tag: austin, Tag: texas]",https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e15/11327370_653269464772757_1828346882_n.jpg
1002593218095360264_1516299745,2015-06-08 04:40:46,Normal,3,[Tag: princess],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379752_830308730392116_979636423_n.jpg
1002592672412143835_1440800579,2015-06-08 04:39:41,Normal,21,"[Tag: symphonysunday, Tag: westvirginiasymphony, Tag: cwv, Tag: charlestonwv, Tag: wv, Tag: westvirginia, Tag: symphonysunday2015, Tag: wvsymphony]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11381426_644332739034935_1667410534_n.jpg
1002589579365264599_1585431226,2015-06-08 04:33:33,Normal,6,[Tag: symphonysunday],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11429618_849900231752296_1019433680_n.jpg
1002588912244436174_1585431226,2015-06-08 04:32:13,Normal,5,[Tag: symphonysunday],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335628_1600019553589182_913739369_n.jpg
1002584704950052489_1905749712,2015-06-08 04:23:52,Normal,7,[Tag: tb],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379298_849110255168422_254865125_n.jpg
1002579258953829197_55201921,2015-06-08 04:13:02,Perpetua,0,[Tag: mountainstage],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11313333_1007876225892269_2021478529_n.jpg
1002566512961883920_215529834,2015-06-08 03:47:43,Normal,11,"[Tag: geocachenation, Tag: cropic, Tag: liveoutside, Tag: adventure, Tag: geocache]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378467_437390743098778_62627555_n.jpg
1002563587901331460_236806637,2015-06-08 03:41:54,Normal,3,"[Tag: gabissugarlump, Tag: thepenningtonway]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378860_561348810670261_830129166_n.jpg
1002541617877941130_174377621,2015-06-08 02:58:15,Sierra,6,"[Tag: wv, Tag: symphonysundayselfies, Tag: friends, Tag: goodtimes]",https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e15/11420832_109274446075752_2109472531_n.jpg
1002541511256252224_20205198,2015-06-08 02:58:03,Normal,20,"[Tag: ot, Tag: nbafinals, Tag: game2]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11424611_119449335054332_2015019928_n.jpg
1002539705719913302_174377621,2015-06-08 02:54:27,Juno,6,"[Tag: wv, Tag: symphonysunday2015]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11426395_1607447286207956_1154681471_n.jpg
1002536595385110995_308144243,2015-06-08 02:48:16,Normal,39,"[Tag: astros, Tag: carloscorrea, Tag: theunderdog]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333548_1488295608127621_150865464_n.jpg
