ID,Created At,Filter,Number of Likes,HashTags,url
1002642561477302035_1523445692,2015-06-08 06:18:49,Normal,0,[Tag: 808allday],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11334512_895718920466376_1367560366_n.jpg
1002642520633604225_7211117,2015-06-08 06:18:44,Normal,0,"[Tag: got, Tag: pennydreadful, Tag: siliconevalley, Tag: happyish, Tag: sundaynightritual]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11376474_947301715321864_1254121613_n.jpg
1002642192883150539_1474116946,2015-06-08 06:18:05,Normal,0,"[Tag: noobentertainment, Tag: wadeandlee]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11311239_423220461185003_847536502_n.jpg
1002641893703446213_1474116946,2015-06-08 06:17:29,Normal,0,"[Tag: noobentertainment, Tag: wadeandlee]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385586_1444092415894204_2031045489_n.jpg
1002641843927832778_1621424277,2015-06-08 06:17:23,Normal,0,"[Tag: nba2k15, Tag: madden, Tag: nba, Tag: snipe, Tag: madden15, Tag: sellingmt, Tag: mut, Tag: snipecity, Tag: snipeking, Tag: mm, Tag: nfl, Tag: 2ksports, Tag: maddenmobile, Tag: maddenmobileguy, Tag: mt, Tag: snipes]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11352391_486699798148950_1605075029_n.jpg
1002641789433229439_182287123,2015-06-08 06:17:17,Normal,1,[Tag: kobenakahashi],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11358963_842659669153920_1615390677_n.jpg
1002641688032667283_1636213032,2015-06-08 06:17:05,Normal,2,"[Tag: knunites, Tag: kathniel, Tag: kathrynbernardo, Tag: danielpadilla]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11324361_779196078867715_733769560_n.jpg
1002641685836155668_1821769305,2015-06-08 06:17:04,Normal,8,"[Tag: swim, Tag: life, Tag: sunburn, Tag: fitgirl, Tag: sweet, Tag: sundayfunday, Tag: sunny, Tag: water, Tag: warm, Tag: beachday, Tag: sea, Tag: sand, Tag: mermaidlife, Tag: beachlife, Tag: ocean, Tag: tanlines, Tag: vacay, Tag: sunnysunday, Tag: fit, Tag: sun, Tag: girls, Tag: vacation, Tag: hot, Tag: closetpsycho, Tag: bikini, Tag: beachbunny, Tag: jetsetter, Tag: beach, Tag: mermaid, Tag: happy]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11417461_1589710864617688_227486150_n.jpg
1002641681731962415_289907192,2015-06-08 06:17:04,Normal,6,"[Tag: stayoutcheea, Tag: kahanalunokaoi]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378511_853160074767672_130217461_n.jpg
1002641607952484945_2280561,2015-06-08 06:16:55,Normal,0,[Tag: thedistricthi],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11380076_1636152083265526_942603296_n.jpg
1002641495842992745_14784715,2015-06-08 06:16:42,Normal,2,"[Tag: shesfeelin22, Tag: birthdayadventure]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11334613_498826726934334_410958955_n.jpg
1002641296828821177_1474116946,2015-06-08 06:16:18,Normal,0,"[Tag: noobentertainment, Tag: wadeandlee]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11350951_1599390477010884_130507468_n.jpg
1002641143704282760_1636213032,2015-06-08 06:16:00,Normal,7,"[Tag: knunites, Tag: kathniel, Tag: kathrynbernardo, Tag: danielpadilla]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333337_988127641231380_1849799411_n.jpg
1002640697860023560_923824856,2015-06-08 06:15:06,Normal,25,[Tag: ss],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11350688_1668577050027831_675781655_n.jpg
1002640649263210151_243013286,2015-06-08 06:15:01,Normal,2,[Tag: mamiya],https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11352965_1635807476635810_1512993703_n.jpg
1002640581641121980_1549701803,2015-06-08 06:14:53,Normal,2,"[Tag: wahoo, Tag: ono, Tag: catchwhatyoueat, Tag: hawaiian, Tag: spearfishing]",https://scontent.cdninstagram.com/hphotos-xfa1/l/t51.2885-15/e15/11380940_1599192796999787_599785383_n.jpg
1002640560543255596_601401298,2015-06-08 06:14:50,Normal,18,[Tag: nationalbestfriendday],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335131_1145325932159952_8692595_n.jpg
1002640434918801712_9624559,2015-06-08 06:14:35,Normal,2,"[Tag: summer, Tag: summerishere, Tag: skyporn, Tag: windward, Tag: hawaii, Tag: bestbeach, Tag: bluehawaii, Tag: lanikai, Tag: kailua, Tag: lanikaibeach, Tag: luckywelivehawaii, Tag: hawaiisunset]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11326761_868528729888500_253873538_n.jpg
1002640374108358723_1338053169,2015-06-08 06:14:28,Normal,5,"[Tag: waikiki, Tag: hawaii, Tag: aloha, Tag: ocean, Tag: luckywelivehi, Tag: 808, Tag: fullsail, Tag: boat, Tag: honolulu, Tag: sunday, Tag: dolphins]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11266475_432970880215982_1856488733_n.jpg
