ID,Created At,Filter,Number of Likes,HashTags,url
1002642423209357362_21532139,2015-06-08 06:18:32,Valencia,0,"[Tag: russianspring, Tag: bar, Tag: sffoodie, Tag: dtla, Tag: sffoodieinla, Tag: goodtimes, Tag: sftola, Tag: redbirdla]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11335844_1603070796625782_399279607_n.jpg
1002642382934165471_1274570688,2015-06-08 06:18:27,Inkwell,0,"[Tag: sharpiecar, Tag: darelc, Tag: art, Tag: blackandwhite, Tag: la, Tag: lihai, Tag: dtla, Tag: sharpiecivic, Tag: darelcarey, Tag: sharpie, Tag: sharpieart, Tag: drawing, Tag: lihairide]",https://scontent.cdninstagram.com/hphotos-xaf1/l/t51.2885-15/e15/11351922_668398326623787_384641478_n.jpg
1002642357410139400_284638138,2015-06-08 06:18:24,Toaster,1,"[Tag: fun, Tag: gonzalez, Tag: dodgers, Tag: family]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11385586_334918489965113_2038436808_n.jpg
1002642317455635126_360288563,2015-06-08 06:18:20,Normal,0,[Tag: honeyscummy],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333341_647676938666524_1173087562_n.jpg
1002642297498124559_225392575,2015-06-08 06:18:17,Reyes,0,"[Tag: jimmymonroe, Tag: handsomestprez]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11335845_1481136752178212_534720360_n.jpg
1002642253978680616_868743214,2015-06-08 06:18:12,Normal,0,"[Tag: thesisfilmfestival, Tag: ucla]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11246294_785422754888675_1396601008_n.jpg
1002642202900940801_144348697,2015-06-08 06:18:06,Inkwell,1,"[Tag: love, Tag: birthday, Tag: friends]",https://scontent.cdninstagram.com/hphotos-xpf1/t51.2885-15/e15/10013302_623352021133535_1429354069_n.jpg
1002642165462410870_1601933528,2015-06-08 06:18:01,Normal,2,"[Tag: regram, Tag: foundation, Tag: motd, Tag: beauty, Tag: instamakeup, Tag: bornthisway, Tag: makeup, Tag: bblog, Tag: bblogger, Tag: toofaced, Tag: igbeauty]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11410333_907165216011861_2128627354_n.jpg
1002642156106676558_466136149,2015-06-08 06:18:00,Normal,1,[Tag: womensrewise_la],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378730_447433582097317_1505083519_n.jpg
1002642146016865658_343522794,2015-06-08 06:17:59,Juno,0,[Tag: goodnight],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333307_960439033987072_1574605090_n.jpg
