ID,Created At,Filter,Number of Likes,HashTags,url
1002638149194635317_43390021,2015-06-08 06:10:03,Earlybird,31,"[Tag: fashion, Tag: editorial, Tag: beauty, Tag: redeye, Tag: losangeles, Tag: madeineighty, Tag: rockabilly, Tag: pinup, Tag: spirit, Tag: la, Tag: vintage, Tag: freelance, Tag: kommienezuspadt, Tag: nikond750, Tag: lv, Tag: lovemyjob, Tag: professional, Tag: lasvegas, Tag: followme, Tag: travel]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11423963_441182632719796_1620469105_n.jpg
1002610590084264318_1405755283,2015-06-08 05:15:17,Mayfair,4,"[Tag: fish, Tag: mn, Tag: mississippi]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11328561_1602476523360166_1627738740_n.jpg
1002610198028313559_1657937647,2015-06-08 05:14:31,Normal,0,"[Tag: ugh, Tag: itsgoingtoanallnighter, Tag: withsissy, Tag: er]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11379821_2053931304745774_1659139675_n.jpg
1002605754320636432_9800721,2015-06-08 05:05:41,Lark,6,"[Tag: firstbirthday, Tag: juan😂, Tag: cakeallday, Tag: cake, Tag: friendswithkids, Tag: sugarhigh, Tag: nomnom]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11333649_378096019065824_990975046_n.jpg
1002605702018309627_30741350,2015-06-08 05:05:35,Normal,6,"[Tag: photography, Tag: arizona, Tag: phoenix, Tag: photooftheday]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11281955_791501244303763_677119374_n.jpg
1002605034721320424_30741350,2015-06-08 05:04:15,Normal,3,"[Tag: photography, Tag: flight, Tag: photooftheday]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11373687_1580228438919075_2054052547_n.jpg
1002601076020426104_177626996,2015-06-08 04:56:23,Normal,32,"[Tag: twinzing, Tag: vsco, Tag: highschoolmusicalpose, Tag: vscocam]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11379100_361958924002035_699513726_n.jpg
1002600273031752271_193909377,2015-06-08 04:54:47,Normal,5,"[Tag: arrojoexpose, Tag: arrojonyc, Tag: minneapolis, Tag: bts, Tag: before]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11377621_683990368411597_704558459_n.jpg
1002600172306474282_1727516192,2015-06-08 04:54:35,Reyes,12,"[Tag: chacos, Tag: grandtrunk, Tag: eno]",https://scontent.cdninstagram.com/hphotos-xfa1/t51.2885-15/e15/11378876_908090019254070_551678309_n.jpg
1002598736806588061_298991834,2015-06-08 04:51:44,Lark,1,"[Tag: braggs, Tag: tonic, Tag: acv]",https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11254513_113490568985473_386165322_n.jpg
1002590152719724619_1276212683,2015-06-08 04:34:41,Normal,1,[Tag: ☺️❤️],https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11375913_997938540230602_1155308330_n.jpg
