wordlist,countlist,maxlike,totallike,avelike
meow,1,405,405,405
catdaddy,2,405,756,378
womenlovepussiestoo,2,405,756,378
catsandmen,2,405,756,378
kitty,2,405,756,378
menlovecats,2,405,756,378
pussywhipped,2,405,756,378
menandcats,2,405,756,378
menwithcats,2,405,756,378
catdad,2,405,756,378
catman,2,405,756,378
menlovepussies,2,405,756,378
kittycat,2,405,756,378
realmenlovepussy,2,405,756,378
welovepussies,2,405,756,378
notacliche,2,405,756,378
crazycatman,2,405,756,378
catlove,2,405,756,378
catsofinstagram,3,405,777,259
cat,3,405,767,255
allred,1,235,235,235
squaddd,1,235,235,235
fctucson,1,235,235,235
fam,1,235,235,235
togetherwestand,1,235,235,235
grimmymotel6,1,235,235,235
cats,4,405,789,197
motivation,2,203,364,182
fitfam,2,203,364,182
fitgirl,2,203,364,182
