wordlist,countlist,maxlike,totallike,avelike
warpedalaska,1,426,426,426
rtwt,1,426,426,426
warpedtour,1,426,426,426
journeys,1,426,426,426
roadtovanswarpedtour2015,1,426,426,426
vans,1,426,426,426
offthewall,1,426,426,426
journeysshoes,1,426,426,426
roadtovanswarpedtour,1,426,426,426
5000,1,268,268,268
trickswithjoel,1,265,265,265
smart,1,265,265,265
yorkshireterrier,3,268,786,262
yorkie,3,268,786,262
funny,1,253,253,253
alaskawilderness,1,196,196,196
hunting,1,196,196,196
legolas,1,196,196,196
bow,1,196,196,196
championship2k15,1,160,160,160
letseat,1,160,160,160
campinca,1,156,156,156
gorving,1,156,156,156
getoutandcamp,1,156,156,156
camp4pix,1,156,156,156
downieville,1,156,156,156
campgrounded,1,156,156,156
travelstoke,1,156,156,156
rvfta,1,156,156,156
campground,1,156,156,156
