wordlist,countlist,maxlike,totallike,avelike
keisha,1,3317,3317,3317
iwasbornbydarivah,1,3317,3317,3317
ririri,1,3317,3317,3317
baebae,1,3317,3317,3317
phreezefiles,1,3317,3317,3317
dukk,1,3317,3317,3317
dime,1,2427,2427,2427
perfection😘😘😘,1,2427,2427,2427
shethick,1,2427,2427,2427
a⭐️,1,2427,2427,2427
followher💃💃💃,1,2427,2427,2427
sheadime,1,2427,2427,2427
thick,1,2427,2427,2427
donk,1,2427,2427,2427
must,1,2427,2427,2427
perfect,1,2427,2427,2427
cake🍰🍰🍰,1,2427,2427,2427
tagafriend,1,2427,2427,2427
twerkin,1,2427,2427,2427
twerkvideo,1,2427,2427,2427
followhernow👣👣👣,1,2427,2427,2427
tagforlikes,2,2427,4293,2146
is,2,2427,4293,2146
tag,2,2427,4293,2146
wow😳😳😳,2,2427,4293,2146
wcw😘😘😘,1,1866,1866,1866
followhernow💃💃💃,1,1866,1866,1866
tagher,1,1866,1866,1866
perfection🔥🔥🔥,1,1866,1866,1866
my,1,1866,1866,1866
