wordlist,countlist,maxlike,totallike,avelike
soundcloud,1,272,272,272
cozz,1,272,272,272
ilovemydal,1,264,264,264
bowtieondog,1,264,264,264
delight_pets,1,264,264,264
dalmationsofinstagram,1,264,264,264
bowtie,1,264,264,264
dalsofinstagram,1,264,264,264
dalmatian_central,1,264,264,264
dalmatianspotlight,1,264,264,264
my_lil_buddy,1,264,264,264
dalmatian,1,264,264,264
dogsandpals,1,264,264,264
followforfollow,1,264,264,264
petsofinstagram,1,264,264,264
vtpets,1,264,264,264
spots,1,264,264,264
doggydaycare,1,264,264,264
dogsofinstaworld,1,264,264,264
redbowtie,1,264,264,264
dogmemeofinsta,1,264,264,264
keepcalmandlovedalmatian,1,264,264,264
albus,1,264,264,264
locstripping,1,247,247,247
nycl,1,247,247,247
boltstour,1,247,247,247
poem,2,272,492,246
joeybadass,2,272,492,246
planes,2,272,492,246
hiphop,2,272,470,235
