wordlist,countlist,maxlike,totallike,avelike
weareagenius,1,472,472,472
shotaward,1,472,472,472
ig_sharepoint,1,472,472,472
chicity_shots,1,472,472,472
igglobalclub,1,472,472,472
igworldclub,1,472,472,472
vscoauthentic,1,472,472,472
byfolk,1,472,472,472
igrecommend,1,472,472,472
mobilemag,1,472,472,472
visualsgang,1,472,472,472
artpure,1,472,472,472
instacrew,1,472,472,472
featuremeinstagood,1,472,472,472
chicagogram,1,472,472,472
artofvisuals,1,472,472,472
ig_masterpiece,1,472,472,472
visualsoflife,1,472,472,472
phenomenalshot,1,472,472,472
peoplescreative,1,472,472,472
freedomthinkers,1,472,472,472
agameoftones,2,472,741,370
liveauthentic,2,472,741,370
vscogood_,2,472,741,370
wu_chicago,2,472,741,370
justgoshoot,2,472,741,370
nutrition,1,316,316,316
leankit,1,316,316,316
propernurition,1,316,316,316
boostenergyandfocus,1,316,316,316
