wordlist,countlist,maxlike,totallike,avelike
firstwednesday,1,153,153,153
powerlife2015,1,153,153,153
stayhigh,1,146,146,146
weed,1,146,146,146
stoned,1,146,146,146
seizedesmoines,1,117,117,117
catchdsm,1,117,117,117
nationalrunningday,1,103,103,103
🏃,1,103,103,103
landscaping,1,102,102,102
reno,1,102,102,102
landscape,1,102,102,102
fifthharmony,1,99,99,99
allybrooke,1,99,99,99
twinning,1,81,81,81
poolparty,1,81,81,81
515,3,117,232,77
canon,1,72,72,72
explore,1,72,72,72
girl,1,72,72,72
girlgang,2,72,139,69
carbs,1,67,67,67
motorcycles,1,67,67,67
learn,1,67,67,67
vintagemoto,1,67,67,67
honda,1,67,67,67
theburnoutbabes,1,67,67,67
cx500,1,67,67,67
womenwhoride,1,67,67,67
calumhood,1,64,64,64
