wordlist,countlist,maxlike,totallike,avelike
christinlee,1,639,639,639
chongleedidit,1,639,639,639
funnytumblr,2,158,222,111
oktweet,2,158,222,111
hoeposts,2,158,222,111
tumblr,2,158,222,111
sexualising,2,158,222,111
funnytextpost,2,158,222,111
perfectsayings,2,158,222,111
hoesnt,2,158,222,111
ughly,2,158,222,111
textpost,2,158,222,111
cohmedy,2,158,222,111
twurkology,2,158,222,111
summer,1,47,47,47
bffs,1,47,47,47
friends,1,47,47,47
steak,1,30,30,30
foodporn,1,30,30,30
potato,1,30,30,30
scampi,1,30,30,30
shrimp,1,30,30,30
tbt,2,47,57,28
indigoblack,2,28,56,28
puremichigan,1,28,28,28
734,1,28,28,28
313,1,28,28,28
269,1,28,28,28
westside,1,28,28,28
culture,1,28,28,28
