wordlist,countlist,maxlike,totallike,avelike
helpsavealife,1,312,312,312
foster,1,312,312,312
rescue,1,312,312,312
adoptdontshop,1,312,312,312
5,1,271,271,271
fosteringsaveslives,1,271,271,271
aesthetics,1,141,141,141
runninthruthe6withmywoes,1,141,141,141
rinke,1,141,141,141
goldenaesthetics,1,141,141,141
twedt,1,141,141,141
tacojohns,1,141,141,141
physique,1,141,141,141
1,1,141,141,141
offseason,1,141,141,141
snickers,1,141,141,141
trapjorge,1,141,141,141
cooperpatch,1,141,141,141
rio2016,1,111,111,111
trinidad,1,111,111,111
npc,2,141,161,80
bodybuilding,2,141,155,77
precious,1,77,77,77
lily,1,77,77,77
cousintime,1,77,77,77
morebikeadventures,1,64,64,64
takethatthursday,1,64,64,64
braaksmakitchen,1,59,59,59
adioskeenakitchen,1,59,59,59
berryscones,1,59,59,59
