wordlist,countlist,maxlike,totallike,avelike
missingyou,1,919,919,919
seeyousoonbaby,1,919,919,919
firstclassathletics,1,904,904,904
theyaretheish,1,904,904,904
tbtjax,1,641,641,641
jax2025,1,641,641,641
instagram_florida,1,641,641,641
904latenightposts,1,641,641,641
igers_staugustine,1,641,641,641
standunited,1,641,641,641
downtownisonfire,1,641,641,641
artwalkjax,2,641,969,484
sitcjax,2,641,678,339
igersusa,2,641,678,339
mysouthernexposure,1,328,328,328
cantsitwithus,1,249,249,249
styledbyzell,1,249,249,249
onlyinjax,4,641,682,170
cousin,1,151,151,151
двоюроднаясестра,1,151,151,151
home,1,111,111,111
mainstreetbridge,1,111,111,111
highjump,1,100,100,100
worldrecord,1,100,100,100
guinnessworldrecord,1,100,100,100
vurtego,2,100,189,94
blessedlife,2,100,189,94
firsttry,2,100,188,94
xpogo,3,100,277,92
wacomcintiq,1,91,91,91
