wordlist,countlist,maxlike,totallike,avelike
slot,1,251,251,251
ringsbench,1,251,251,251
tatuados,3,191,426,142
instattoo,3,191,426,142
inkedlife,3,191,426,142
tattoodlifestyle,3,191,426,142
bodymod,3,191,426,142
inkeup,3,191,426,142
tattoist,3,191,426,142
lovetattoos,3,191,426,142
tattoofamily,3,191,426,142
amotatuajes,3,191,426,142
inkfamily,3,191,426,142
ink,3,191,426,142
inkedandproud,3,191,426,142
vanityhype,3,191,426,142
skinart,3,191,426,142
inkandfit,3,191,426,142
boywithtatts,3,191,426,142
tatuajesdecolores,3,191,426,142
tattooedandsexi,3,191,426,142
inked,3,191,426,142
tattlife,3,191,426,142
bodyart,3,191,426,142
inkedd,3,191,426,142
hotinkedboy,3,191,426,142
tatuajes,3,191,426,142
inkcolors,3,191,426,142
inkselfie,3,191,426,142
tattooedcolor,3,191,426,142
