wordlist,countlist,maxlike,totallike,avelike
canelocotto,1,696,696,696
cottocanelo,1,696,696,696
tattoos,1,478,478,478
porn,1,478,478,478
hotgay,1,478,478,478
gaylove,1,478,478,478
gayfollow,1,478,478,478
bareback,1,478,478,478
weho,1,478,478,478
tatted,1,478,478,478
gaycute,1,478,478,478
follow,1,478,478,478
guyswithstyle,1,478,478,478
prettyboy,1,478,478,478
model,1,478,478,478
jock,1,478,478,478
tattoo,1,478,478,478
underwear,1,478,478,478
scruff,1,478,478,478
gayswithink,1,478,478,478
nightlife,1,478,478,478
randyblue,1,478,478,478
guyswithtattoos,1,478,478,478
pride,1,478,478,478
underwearmodel,1,478,478,478
maryblairdress,1,435,435,435
famouscat,1,435,435,435
acehotel,1,435,435,435
lilbub,1,435,435,435
imetlilbub,1,435,435,435
