wordlist,countlist,maxlike,totallike,avelike
tbt,1,6460,6460,6460
repost,3,6460,6501,2167
latepost,1,1477,1477,1477
hellokitty,1,787,787,787
funcity,1,787,787,787
kidbyheart,1,787,787,787
chillingonthekitty,1,787,787,787
malu,1,787,787,787
zzzz,1,787,787,787
gianthellokitty,1,787,787,787
hellokittystatue,1,787,787,787
statue,1,787,787,787
haha,1,787,787,787
goodnight,2,1477,1569,784
xamos,1,602,602,602
lavonyc,1,602,602,602
ginei,1,602,602,602
tha,1,602,602,602
amayzinedoesnewyork,1,543,543,543
enzowisselenwededagenaf,1,543,543,543
bigday,1,492,492,492
2,1,492,492,492
needsleep,1,492,492,492
hometime,1,492,492,492
prettycity,1,492,492,492
tourist,2,787,789,394
oui,1,335,335,335
bbhm,1,335,335,335
blur,1,335,335,335
hammond,1,334,334,334
