wordlist,countlist,maxlike,totallike,avelike
fibreart,1,252,252,252
weaving,1,252,252,252
handwoven,1,252,252,252
weavingworkshop,1,252,252,252
combedthunder,1,252,252,252
tapestryweaving,1,252,252,252
fiberart,1,252,252,252
weaveweird,1,252,252,252
prom2k15,1,178,178,178
bridge,1,175,175,175
building,1,175,175,175
rosecityspy,1,175,175,175
collage,1,175,175,175
creatives,1,175,175,175
street,1,175,175,175
pacificnorthwest,1,175,175,175
traveloregon,1,175,175,175
northwestisbest,1,175,175,175
jj_oregon,1,175,175,175
streetphotography,1,175,175,175
artofvisuals,1,175,175,175
viewsofpnw,1,175,175,175
rei1440project,1,175,175,175
thatpnwlife,1,175,175,175
outdoors,1,175,175,175
discoveroregon,1,175,175,175
portlandnw,1,175,175,175
fruit,1,157,157,157
mealprep,1,157,157,157
masonjars,1,157,157,157
