wordlist,countlist,maxlike,totallike,avelike
gobison,1,156,156,156
denggeuwiththeshotboii,1,156,156,156
breakinankles,1,156,156,156
emohairswoosh,1,148,148,148
stupidhashtags,1,148,148,148
hammocklife,1,148,148,148
goodlife,1,148,148,148
imback,1,148,148,148
brotank,1,148,148,148
instagood,1,148,148,148
nerd,1,148,148,148
swag,1,148,148,148
douchebagpic,1,148,148,148
nationalgeographic,1,148,148,148
selfi,1,148,148,148
itsbeenacoonsagesinceivepostedapic,1,148,148,148
emo,1,148,148,148
eno,1,148,148,148
justinbieber,1,148,148,148
cats,1,148,148,148
truth,1,148,148,148
godblessamerica,1,148,148,148
beargrylls,1,148,148,148
seoulbuddies,3,131,372,124
seoululzzangs,3,131,372,124
seoulnation,3,131,372,124
seoulperfect,3,131,372,124
seoulove_,3,131,372,124
seoulfamily,3,131,372,124
k_seouls,3,131,372,124
