wordlist,countlist,maxlike,totallike,avelike
brunette,1,216,216,216
lyrics,1,216,216,216
daisyshirt,1,216,216,216
mirrorpic,1,216,216,216
messyhair,1,216,216,216
longhairdontcare,1,216,216,216
guys,1,216,216,216
kik,1,216,216,216
girls,1,216,216,216
iknow,1,216,216,216
cannabis,1,216,216,216
thickgirls,1,216,216,216
teenager,1,216,216,216
highwaistedshorts,1,216,216,216
bigsean,1,216,216,216
snapchat,2,216,250,125
lifted,6,161,714,119
lightbar,6,161,714,119
ledlights,6,161,714,119
truckporn,6,161,714,119
offroad,6,161,714,119
ford,6,161,714,119
mwcustoms,6,161,714,119
midwestcustoms,6,161,714,119
ledlightbars,6,161,714,119
trucks,6,161,714,119
gmc,6,161,714,119
diesel,6,161,714,119
chevy,6,161,714,119
alltrucksdaily,6,161,714,119
