wordlist,countlist,maxlike,totallike,avelike
catholic,5,36,109,21
art,122,337,4159,34
italy,138,543,4958,35
passport,1,8,8,8
travelandlife,2,24,32,16
church,5,70,145,29
firenze,65,918,2895,44
bernardodaddi,1,8,8,8
architecture,62,227,2405,38
nextdestination,1,8,8,8
italia,61,335,2123,34
madonna,6,229,659,109
traveladdicted,1,8,8,8
florence,73,136,1763,24
vscoitaly,2,10,13,6
vscorussia,7,99,277,39
cinqueterre,3,25,38,12
instadaily,101,620,4713,46
italian,12,100,408,34
travel,133,335,5442,40
vernazza,1,3,3,3
eurotrip,15,321,823,54
toscana,6,38,155,25
simplybsac,1,24,24,24
explore,12,321,811,67
adventure,22,177,716,32
duomodifirenze,1,24,24,24
cathedral,3,37,87,29
vsco,87,1197,6656,76
duomo,13,294,646,49
florenceitaly,2,24,46,23
vscocam,105,1197,6721,64
history,13,47,251,19
beautiful,104,105,3322,31
instagood,174,373,7001,40
instafun,4,30,80,20
weekend,30,242,911,30
picoftheday,130,842,6968,53
photooftheday,125,355,5401,43
pisa,2,49,51,25
piazza,4,26,62,15
loveitaly,1,1,1,1
perfectlife,1,1,1,1
happydays,1,1,1,1
fun,100,242,2848,28
love,269,1197,10638,39
happy,118,255,3810,32
uffizi,2,9,13,6
firenzeitalia,1,3,3,3
mangia,1,3,3,3
urban,11,1197,2421,220
monterosso,1,10,10,10
streetphoto,7,22,93,13
newyork,34,305,1499,44
taiwan,3,13,23,7
friends,134,263,4028,30
sanfrancisco,65,177,1334,20
picture,9,229,862,95
life,50,602,2087,41
may,9,92,316,35
instapic,23,250,1136,49
fitenze,1,5,5,5
top,13,255,497,38
club,29,308,1335,46
sunday,18,41,169,9
nightlife,14,162,443,31
party,68,242,2241,32
friendship,8,149,206,25
dine,1,11,11,11
expresso,1,11,11,11
eating,6,28,84,14
eaten,1,11,11,11
piazzadelduomo,1,11,11,11
mussels,2,19,30,15
florenceduomo,1,11,11,11
silverware,1,11,11,11
shell,1,11,11,11
coffee,16,92,392,24
piazzaduomo,1,11,11,11
table,1,11,11,11
florencecathedral,1,11,11,11
bread,3,14,32,10
eat,10,55,160,16
shells,1,11,11,11
seafood,4,16,35,8
bowl,1,11,11,11
silver,5,55,128,25
food,112,373,3215,28
dinner,37,64,655,17
mussel,1,11,11,11
firenzeduomo,1,11,11,11
like4follow,2,235,261,130
gay,32,235,1287,40
instalike,77,305,3256,42
likeforfollow,5,235,440,88
iphonesia,17,543,1608,94
likeforspam,1,235,235,235
instacool,29,238,1135,39
likeforlike,29,267,1648,56
igers,84,305,3158,37
jj,12,1197,2874,239
gayboys,3,235,285,95
