wordlist,countlist,maxlike,totallike,avelike
gratitude,1,2,2,2
serenity,1,2,2,2
natureischurch,1,2,2,2
abqisatrip,1,5,5,5
itsnotsunday,1,5,5,5
guywithhalfshirt,1,5,5,5
boyfriends,1,5,5,5
oddcouple,1,5,5,5
gladwerenotallthesame,1,5,5,5
dungeonsanddragons,1,5,5,5
cuddlebug,1,1,1,1
americanpitbull,1,1,1,1
coloradoriver,1,17,17,17
floatopia2k15,1,17,17,17
yoga,3,60,136,45
chinstand,1,41,41,41
yogi,2,41,76,38
bottomsup365,2,41,76,38
trees,1,41,41,41
yogaeverydamnday,2,41,76,38
sunset,6,73,230,38
yogaaddict,2,41,76,38
yogaprogress,1,41,41,41
summer,7,55,141,20
sundayfunday,1,15,15,15
abq,20,73,456,22
dukecity,3,37,70,23
505,4,37,96,24
cliffs,1,15,15,15
fitgirls,2,93,128,64
handstand,1,35,35,35
2k16,1,8,8,8
studioplayhaus,1,8,8,8
newplay,1,8,8,8
script,1,8,8,8
gaming,2,36,55,27
ninetailed,1,19,19,19
ahri,1,19,19,19
leagueoflegends,2,36,55,27
wash,1,11,11,11
cat,3,405,767,255
tbird,1,30,30,30
route66,1,30,30,30
odeon,1,30,30,30
rockabillyontheroute,1,30,30,30
thunderbird,1,30,30,30
tucumcari,1,30,30,30
unmsouth,1,16,16,16
golfing,1,16,16,16
maplove,1,2,2,2
planningnerd,1,2,2,2
sewing,1,7,7,7
diy,1,7,7,7
bellydance,1,7,7,7
monsoon,1,7,7,7
tropical,1,7,7,7
newmexico,19,180,865,45
albuquerque,13,180,750,57
beer,4,37,93,23
alcohol,1,9,9,9
true,1,9,9,9
fuckyou,1,9,9,9
truedat,1,9,9,9
fuckoff,1,9,9,9
radiotower,1,34,34,34
evening,1,34,34,34
fadein,1,34,34,34
running,1,34,34,34
contact,1,34,34,34
nailart,1,8,8,8
nails,1,8,8,8
gelnails,1,8,8,8
love,7,30,138,19
clovers,1,27,27,27
pause,1,27,27,27
park,2,27,39,19
nmtrue,3,71,130,43
calm,1,27,27,27
randomadventures,1,27,27,27
inspiration,1,27,27,27
birthday,2,21,30,15
homecooking,1,9,9,9
howithrowaparty,1,9,9,9
family,5,47,112,22
party,2,22,31,15
homebaking,1,9,9,9
blessed,1,9,9,9
abqpride,1,4,4,4
hispanicexcellence,1,30,30,30
newmexicotrue,3,47,85,28
cute,3,47,82,27
nightnight,1,13,13,13
puppy,3,32,57,19
sleeptight,1,13,13,13
applewatch,1,13,13,13
trunkmuzik,1,4,4,4
slumerican,1,4,4,4
lovestory,1,4,4,4
yelawolf,1,4,4,4
jimmazytec,1,2,2,2
mountain_tops_edc,1,2,2,2
jamesgriego,1,2,2,2
skyporn,1,25,25,25
purenewmexico,6,25,68,11
alloutcallout,2,25,45,22
abqdragway,1,25,25,25
downtown,2,47,73,36
etsyseller,2,25,35,17
handmadejewelry,2,25,35,17
etsyjeweler,2,25,35,17
etsyhandmade,2,25,35,17
hechoennuevomexico,1,25,25,25
motivation,2,203,364,182
fitfam,2,203,364,182
fitgirl,2,203,364,182
healthyoption,2,203,364,182
workout,2,203,364,182
cleaneating,2,203,364,182
healthychoices,2,203,364,182
vegan,2,203,364,182
detox,2,203,364,182
portioncontrol,2,203,364,182
fitlifestyle,2,203,364,182
tourlife,2,203,364,182
whatveganseat,2,203,364,182
lifestyle,2,203,364,182
21dayfixapproved,2,203,364,182
vegansofig,2,203,364,182
actorlife,2,203,364,182
travel,2,203,364,182
glutenfree,2,203,364,182
noexcuses,2,203,364,182
actor,2,203,364,182
weightloss,2,203,364,182
21dayfix,2,203,364,182
tour,2,203,364,182
healthyfoodporn,2,203,364,182
eatclean,2,203,364,182
transformation,2,203,364,182
goals,2,203,364,182
chelagurneejewelry,1,10,10,10
projectclimbtv,1,15,15,15
theclimb,1,15,15,15
sistas,1,15,15,15
chevy,1,10,10,10
americanmuscle,1,10,10,10
dragstrip,1,10,10,10
bigblock,1,10,10,10
urban,1,18,18,18
fotodeldia,1,18,18,18
citydweller,1,18,18,18
burque,6,47,169,28
igersnm,3,71,154,51
landofenchantment,1,18,18,18
greatshots,1,18,18,18
nobhillnm,1,18,18,18
americanglass,1,32,32,32
glassforsale,1,32,32,32
honeycombs,1,32,32,32
glassartist,1,32,32,32
thelandofenchantment,1,32,32,32
theburque,1,32,32,32
birdlandthehippiestore,1,32,32,32
nobhillabq,1,32,32,32
glowstick,1,6,6,6
awesome,3,29,57,19
galacticbowling,2,6,10,5
holidaybowl,2,6,10,5
cosmicbowling,1,6,6,6
drschollsworksmiracles,1,13,13,13
slaving,1,13,13,13
tiredeveryday,1,13,13,13
thestruggleisreal,1,13,13,13
matchinghaircolor,1,36,36,36
dogsofinstagram,3,36,92,30
muttsofinstagram,1,36,36,36
somuchlove,1,36,36,36
pull,1,12,12,12
flavorfitness,1,12,12,12
morning,1,12,12,12
sunday,1,12,12,12
knee,1,12,12,12
hidden,1,12,12,12
piyo,1,12,12,12
greatsouthwestclassic,1,75,75,75
tracknation,1,75,75,75
camaro,1,26,26,26
dragracing,1,26,26,26
doingwhatheloves,1,26,26,26
hispassion,1,26,26,26
alloutcallout2015,1,26,26,26
girltime,1,8,8,8
oloyogurtstudio,1,8,8,8
girltalk,1,8,8,8
ilovemysister,1,8,8,8
theresnoplacelikehome,1,8,8,8
delish,1,8,8,8
frozenyogurt,1,8,8,8
olo,1,8,8,8
bejello,1,8,8,8
catchingup,1,8,8,8
sisters,1,8,8,8
beautifulnight,1,8,8,8
bestie,1,8,8,8
onlyhalf,1,37,37,37
cats,4,405,789,197
funnycats,1,21,21,21
catsofinstagram,3,405,777,259
blackcats,1,21,21,21
project,2,12,20,10
canvas,2,12,20,10
art,4,24,60,15
archetype,2,12,20,10
archetypalpsychology,2,12,20,10
arttherapy,2,12,20,10
expressyourself,1,12,12,12
mandala,2,12,20,10
painting,2,12,20,10
final,1,12,12,12
allred,1,235,235,235
squaddd,1,235,235,235
fctucson,1,235,235,235
fam,1,235,235,235
togetherwestand,1,235,235,235
grimmymotel6,1,235,235,235
sportscar,1,29,29,29
hair,1,29,29,29
staytrue,1,29,29,29
reddress,1,29,29,29
car,1,29,29,29
eastindian,1,29,29,29
hot,1,29,29,29
indian,1,29,29,29
modeling,1,29,29,29
model,1,29,29,29
mustangcobra,1,29,29,29
dream,1,29,29,29
happiness,1,29,29,29
hiphop,1,21,21,21
underground,1,21,21,21
realhiphop,1,21,21,21
supportlocal,1,21,21,21
thegrainstation,1,21,21,21
therapy,1,8,8,8
watercolor,4,16,58,14
illustration,4,16,58,14
ink,6,30,116,19
nosepiercing,1,30,30,30
lookinfab,1,30,30,30
flowers,4,16,39,9
cosmic,1,4,4,4
ilovesaturdays,1,4,4,4
bowling,1,4,4,4
genocide,1,12,12,12
book49of2015,1,12,12,12
jamespatterson,1,12,12,12
toys,1,12,12,12
june6,1,12,12,12
elites,1,12,12,12
cousins,2,10,19,9
purenm,10,71,281,28
hiking,2,35,44,22
hikingwithdogs,3,16,34,11
hikenm,4,16,38,9
igsouthwest,4,16,34,8
travelnewmexico,3,16,34,11
travelnm,2,16,25,12
saturdaynight,1,5,5,5
welcometomynight,1,5,5,5
jacknicholson,1,5,5,5
nationaltrailsday,2,16,25,12
iearnedit,1,5,5,5
mixedberries,1,5,5,5
smoothie,1,5,5,5
chocolate,1,5,5,5
lowcalorie,1,5,5,5
banana,1,5,5,5
pomagranate,1,5,5,5
healthieralternative,1,5,5,5
beautiful,2,93,123,61
ladies,1,93,93,93
pageant,1,93,93,93
empower,1,93,93,93
motivate,1,93,93,93
brainsandbeauty,1,93,93,93
smile,2,93,115,57
friends,4,93,195,48
dresses,1,93,93,93
bmw,1,20,20,20
e30,1,20,20,20
dragonfly,1,12,12,12
vscocam,2,12,20,10
vsco,2,12,20,10
stowaway,1,12,12,12
wearesocute,1,20,20,20
kissyface,1,20,20,20
picoftheday,1,20,20,20
ducklips,1,20,20,20
goodtimes,2,22,42,21
bejealous,1,20,20,20
sillyfaces,2,47,67,33
makingmemories,1,20,20,20
instadaily,7,30,86,12
instagood,7,22,78,11
friendship,2,22,42,21
instamood,1,20,20,20
sadanime,1,24,24,24
animemovie,1,24,24,24
movie,1,24,24,24
wolfchilderenthemovie,1,24,24,24
wolfchildren,1,24,24,24
feelz,1,24,24,24
thrashmetal,1,16,16,16
riffs,1,16,16,16
goatwhore,1,16,16,16
blackmetal,1,16,16,16
deathmetal,2,16,26,13
metal,2,16,26,13
reunited,1,9,9,9
westmesa,1,9,9,9
gotopes,3,27,49,16
photoofthegame,1,27,27,27
scruffy,1,16,16,16
gay,1,16,16,16
gayboy,1,16,16,16
hottie,1,16,16,16
scruff,1,16,16,16
gaylife,1,16,16,16
gayboi,1,16,16,16
gayguy,1,16,16,16
cutie,1,16,16,16
regram,1,39,39,39
someplanet,1,39,39,39
handstandjourney,2,60,112,56
365daysofhandstands,2,60,112,56
practice,1,52,52,52
movingforward🙏🏼💪🏼🙌🏼💞,2,60,112,56
notsominicooper,1,52,52,52
igyoga,1,52,52,52
yogajourney,2,60,112,56
illusion,1,52,52,52
day308,1,52,52,52
snapthatpic,1,6,6,6
number4hair,1,6,6,6
stylingfoam,1,6,6,6
diffuse,1,6,6,6
kimkardashian,1,6,6,6
supportsolution,1,6,6,6
abandonedplaces,1,9,9,9
edo,3,9,19,6
heart,1,9,9,9
loveher,1,47,47,47
hotel,1,47,47,47
roadtrip,1,47,47,47
happy,4,47,125,31
chillin,1,47,47,47
pjs,2,47,74,37
newmexicolivin,1,47,47,47
nofilter,2,30,38,19
window,1,5,5,5
numberoneuncle,1,21,21,21
polaroid,1,21,21,21
photography,1,21,21,21
hipster,1,21,21,21
retro,1,21,21,21
1320video,1,127,127,127
gtr,1,127,127,127
nissan,1,127,127,127
godzilla,1,127,127,127
whatisthis,1,5,5,5
10,1,0,0,0
topeswin,1,0,0,0
abqweekend,1,8,8,8
imagoodluckcharm,1,8,8,8
abqtopes,4,18,47,11
d🍩nutday,1,8,8,8
projectlife,1,8,8,8
building,1,19,19,19
carvings,1,19,19,19
granada,1,19,19,19
windows,1,19,19,19
light,1,19,19,19
andalucia,1,19,19,19
alhambra,1,19,19,19
arches,1,19,19,19
celestial,1,19,19,19
architecture,2,71,90,45
espana,1,19,19,19
spain,1,19,19,19
miojitos,1,3,3,3
yadiralexander,1,3,3,3
r8,1,14,14,14
audi,1,14,14,14
thecrew,1,47,47,47
polercampstuff,1,47,47,47
stussy,1,47,47,47
adventuresinparenting,1,47,47,47
familynight,1,47,47,47
indio,1,12,12,12
frenchcuisine,1,13,13,13
bleufromage,1,13,13,13
filetmignon,1,13,13,13
bleucheese,1,13,13,13
mashedpotatoes,1,13,13,13
france,1,13,13,13
isotopes,3,37,86,28
win,1,19,19,19
dt,1,19,19,19
topes,1,19,19,19
forthewin,1,19,19,19
jdm,1,21,21,21
acura,1,21,21,21
boostcity,1,21,21,21
imallaboutthatboost,1,21,21,21
nsx,1,21,21,21
nmdessertfest,1,21,21,21
boosterrooster,1,21,21,21
turbbin,1,21,21,21
catdaddy,2,405,756,378
womenlovepussiestoo,2,405,756,378
catsandmen,2,405,756,378
kitty,2,405,756,378
meow,1,405,405,405
menlovecats,2,405,756,378
pussywhipped,2,405,756,378
menandcats,2,405,756,378
menwithcats,2,405,756,378
catdad,2,405,756,378
catman,2,405,756,378
menlovepussies,2,405,756,378
kittycat,2,405,756,378
realmenlovepussy,2,405,756,378
welovepussies,2,405,756,378
notacliche,2,405,756,378
crazycatman,2,405,756,378
catlove,2,405,756,378
cookies,1,2,2,2
noonecares,1,2,2,2
allmine,1,2,2,2
mdqontour,1,161,161,161
nobhill,3,36,83,27
unm,3,35,81,27
beerislife,1,35,35,35
firstplace,1,51,51,51
teamutah,1,51,51,51
santafe,1,51,51,51
sandia,1,37,37,37
igersabq,3,71,173,57
vip,1,37,37,37
baseball,3,37,51,17
expensive,1,37,37,37
nm,2,73,110,55
eleven,1,37,37,37
sports,1,37,37,37
dolllars,1,37,37,37
victory,1,37,37,37
suite,1,37,37,37
weareactuallywinning,1,14,14,14
mountains,2,73,108,54
photograph,1,35,35,35
mansbestfriend,2,35,67,33
pitbullsofinstagram,1,35,35,35
life,1,35,35,35
pitbull,1,35,35,35
australiancattledog,1,35,35,35
wineporn,1,26,26,26
moscato,1,26,26,26
scalos,1,26,26,26
dinner,1,26,26,26
happypeople,1,26,26,26
internationallove,1,26,26,26
delicious,1,26,26,26
2years,1,26,26,26
wine,1,26,26,26
respect,1,10,10,10
fairydress,1,10,10,10
roses,1,10,10,10
foamroller,1,54,54,54
tendinitis,1,54,54,54
ifbb,1,54,54,54
ufc,4,180,550,137
mma,4,180,550,137
muscleandhealth,1,54,54,54
lifting,1,54,54,54
pb,1,27,27,27
lifeinabq,1,27,27,27
treats,1,27,27,27
gradschool,1,27,27,27
cupcake,1,27,27,27
pictureabq,1,22,22,22
smokeweedeveryday,1,12,12,12
girlsgonekush,1,12,12,12
smokingeveryday,1,12,12,12
joints,1,12,12,12
stonerkitty,1,12,12,12
weed,1,12,12,12
high,1,12,12,12
girlswhosmokeweed,1,12,12,12
yeahh,1,12,12,12
hashtag,1,12,12,12
blunts,1,12,12,12
happycamper,1,18,18,18
nighttoremember,1,18,18,18
foralotofpictures,1,18,18,18
beprepared,2,18,35,17
andhashtags,1,18,18,18
newyork,1,19,19,19
tbt,2,35,54,27
beardy,1,36,36,36
andyscute,1,36,36,36
shopping,1,36,36,36
mancrush,1,36,36,36
aqua,1,36,36,36
bringstearstomyeyes,1,6,6,6
ga,1,6,6,6
missing,2,35,41,20
atlanta,1,6,6,6
relieftomyheart,1,6,6,6
darkhair,1,29,29,29
itsthursday,1,29,29,29
goodgenes,1,29,29,29
browneyes,1,29,29,29
workflow,1,29,29,29
tattoo,2,30,56,28
hippie,2,30,56,28
tattoos,2,30,56,28
inked,2,30,56,28
inks,2,30,56,28
ififall,1,26,26,26
tatted,2,30,56,28
1st,2,30,56,28
myfirsttime,2,30,56,28
isletaamphitheater,1,10,10,10
lukebryan,1,10,10,10
kickthedustuptour,1,10,10,10
lovemygirls,1,25,25,25
mommamoves,1,25,25,25
singing,1,25,25,25
jamout,1,25,25,25
idancelikeyourmomdances,1,25,25,25
drive,1,25,25,25
carefree,1,25,25,25
laugh,1,25,25,25
roadtrippin,1,25,25,25
