wordlist,countlist,maxlike,totallike,avelike
building,1,2,2,2
skybridge,1,2,2,2
georgia,3,144,158,52
concrete,1,2,2,2
light,1,2,2,2
brutalist,1,2,2,2
midtown,3,35,41,13
at,1,2,2,2
shadow,1,2,2,2
atlanta,22,157,753,34
contrast,1,2,2,2
architecture,2,9,11,5
turnerfield,1,0,0,0
pirates,1,0,0,0
braves,1,0,0,0
pittsburgh,1,0,0,0
junghokang,1,0,0,0
강정호,1,0,0,0
78east,1,22,22,22
nationalbestfriendsday,1,22,22,22
yngkillers,2,14,24,12
photography,4,27,76,19
visualarchitects,2,14,24,12
aov,2,14,24,12
visualsgang,3,101,125,41
vsco,3,101,125,41
vscocam,3,101,125,41
acreativevisual,2,14,24,12
exploreeverything,2,14,24,12
illgrammers,2,14,24,12
iphoneonly,3,14,31,10
streetdreamsmag,2,14,24,12
instagood,4,101,129,32
mkexplore,2,14,24,12
uncalculated,2,14,24,12
tunestogram,2,14,24,12
exklusive_shot,2,14,24,12
justgoshoot,2,14,24,12
agameoftones,2,14,24,12
vintique,2,14,24,12
got,1,4,4,4
fuckstannis,1,4,4,4
cats,1,4,4,4
dj,7,34,158,22
shawnytaughtu,2,32,54,27
shezthedj,2,32,54,27
turnupden,2,32,54,27
doitfortheville,2,32,54,27
shawnyspinz,2,32,54,27
radio,2,32,54,27
gmathis4u,2,32,54,27
mamawewinnin,2,32,54,27
femaledj,2,32,54,27
theemixxkween,2,32,54,27
mediapersonality,2,32,54,27
djproblems,1,22,22,22
whotaughtudat,2,32,54,27
thecampaignatl,1,22,22,22
shawnysthedj,2,32,54,27
shoneville,2,32,54,27
alwayswinning,2,32,54,27
atl,15,327,906,60
djlife,2,35,57,28
personality,2,32,54,27
myhighisepik,3,3,6,2
epikatlanta,3,3,6,2
yasss,3,3,6,2
에픽하이,3,3,6,2
thenorthamericantour,3,3,6,2
centerstage,3,3,6,2
epikhightour,3,3,6,2
epikhighatl,3,3,6,2
yeezus,2,4,6,3
yeezyseason,2,4,6,3
mari,2,4,6,3
muse,1,2,2,2
lateregistration,2,4,6,3
nas,1,2,2,2
kanyewest,1,2,2,2
mrwest,2,4,6,3
chitown,1,2,2,2
crunk,1,1,1,1
trapqueen,2,25,26,13
flyaf,1,1,1,1
whitegirlwasted,1,1,1,1
mainevent,4,4,7,1
besthubbyever,1,4,4,4
bestbirthdaypresent,1,4,4,4
nkotb,1,4,4,4
bestanniverssrypresent,1,4,4,4
finally,3,4,6,2
music,6,34,64,10
newkidsontheblock,1,4,4,4
philipsarena,4,4,7,1
maineventtour,2,4,6,3
themainevent,4,4,7,1
parceros,1,1,1,1
cerveza,1,1,1,1
yare,1,1,1,1
domingosocial,1,1,1,1
collegedropout,1,4,4,4
allday,1,4,4,4
hbd,1,4,4,4
goodlife,2,29,33,16
mydarktwistedfantasy,1,4,4,4
808sandheartbreaks,1,4,4,4
ainttooproudtobeg,2,2,2,1
gonebutnotforgotten,1,2,2,2
riplefteye,1,2,2,2
noscrubs,2,2,2,1
tlc,2,2,2,1
waterfalls,2,2,2,1
amazingshow,2,2,2,1
after15yearstheyrebackinatlanta,2,2,2,1
flexohohoh,1,4,4,4
bulldogsbar,4,11,27,6
bar,2,11,15,7
gay,5,25,52,10
gaybar,2,11,15,7
dancing,1,4,4,4
bisexual,4,11,27,6
lgbtq,4,11,27,6
lgbt,5,25,52,10
richhomiequan,1,4,4,4
bulldogs,4,11,27,6
queer,4,11,27,6
transgender,3,8,16,5
lesbian,4,11,27,6
marriott,1,9,9,9
ingress,1,0,0,0
atlantabeltline,1,0,0,0
honeybubble,1,0,0,0
parisonponce,1,0,0,0
myworld,1,0,0,0
greenthumb,1,1,1,1
shishitos,1,1,1,1
giveme2pair,1,1,1,1
omg,1,1,1,1
eiei,1,1,1,1
nellyville,1,1,1,1
grillz,1,1,1,1
nelly,1,1,1,1
amazing,2,7,8,4
countrygrammar,1,1,1,1
yoshbenjamin,1,2,2,2
theredpaintings,1,2,2,2
pencil,1,7,7,7
art,3,60,78,26
lyrics,1,7,7,7
appbreeze,1,7,7,7
igers,2,10,17,8
20likes,1,7,7,7
paper,1,7,7,7
toher,1,7,7,7
words,1,7,7,7
follow4follow,1,7,7,7
love,5,144,211,42
message,2,115,122,61
open,1,7,7,7
instadaily,2,19,26,13
itsmyq,1,7,7,7
look,1,7,7,7
quote,1,7,7,7
instafollow,1,7,7,7
instaquote,1,7,7,7
pen,1,7,7,7
instalike,1,7,7,7
smile,1,7,7,7
followme,1,7,7,7
like4like,1,7,7,7
tweegram,1,7,7,7
picoftheday,1,7,7,7
realshit,1,7,7,7
photooftheday,1,7,7,7
beyoncethighgap,1,12,12,12
70lbsdown,1,12,12,12
richbrothers,1,12,12,12
drsorders,1,12,12,12
bathroomselfie,1,12,12,12
premier,1,12,12,12
feelinggreat,1,12,12,12
summer,5,157,357,71
lookinggood,1,4,4,4
beachday,1,4,4,4
mondaymotivation,1,4,4,4
chic,1,4,4,4
boutiques,1,4,4,4
nightynight,1,4,4,4
hometeam,1,4,4,4
makeprettythings,1,4,4,4
homemade,1,4,4,4
keepingmefresh,1,4,4,4
jewelrydesigner,1,4,4,4
nightsky,1,4,4,4
buckhead,1,4,4,4
antwanpatton,1,4,4,4
brookvalentine,1,4,4,4
girlfight,1,4,4,4
bigboi,1,4,4,4
raesremmurd,1,8,8,8
throwsomemo,1,8,8,8
twerking,1,8,8,8
twerk,2,2427,2435,1217
nickiminaj,2,157,165,82
assphatyeahiknow,1,8,8,8
weloveatl,1,35,35,35
sundays,1,35,35,35
vibes,1,35,35,35
bham,1,1,1,1
frombhamtoatl,1,1,1,1
jezzy,1,1,1,1
midtownatlanta,2,101,112,56
trangender,1,11,11,11
pink,1,1,1,1
pastel,1,1,1,1
win,1,1,1,1
emiunicornwdb,1,1,1,1
competition,1,1,1,1
emiunicorn,1,1,1,1
wheelsanddollbaby,1,1,1,1
giveaway,1,1,1,1
instacomp,1,1,1,1
pinup,1,1,1,1
repost,8,28,85,10
lightitup,1,3,3,3
hitthatheartsignho3,1,32,32,32
miami,4,157,241,60
bestfriends,1,2,2,2
sproglove,1,2,2,2
womensupportingwomen,1,28,28,28
style,2,157,185,92
fashion,2,157,185,92
allwhite,1,28,28,28
highlow,1,28,28,28
ilove,2,28,33,16
lifestylemonday,1,28,28,28
septum,1,24,24,24
vegastakemeback,1,24,24,24
atlnights,2,74,98,49
thatsmile,1,24,24,24
beatbyme,1,24,24,24
nofilter,2,24,35,17
macgirl,1,24,24,24
kravelounge,1,24,24,24
shawtyinkk,1,14,14,14
turnup,3,23,54,18
grind,4,23,70,17
atlnightlife,5,35,105,21
workin,4,23,70,17
salute,3,23,54,18
hustle,4,23,70,17
officialagpevent,1,153,153,153
agp2015,5,153,410,82
novelties,1,17,17,17
vividnovelty,1,17,17,17
pvnrule,1,17,17,17
adulttoys,1,17,17,17
sexshop,1,17,17,17
adultnovelties,1,17,17,17
masturbate,1,17,17,17
sextoys,1,17,17,17
sexy,1,17,17,17
bestofatlanta,1,17,17,17
felixs,1,17,17,17
platinum,1,17,17,17
platinumvividnovelties,1,17,17,17
bussinessowerofatlanta,1,17,17,17
adultsextoys,1,17,17,17
vivid,1,17,17,17
bussinessowers,1,17,17,17
novelty,1,17,17,17
adultnovlty,1,17,17,17
adultsex,1,17,17,17
bussinessowersofatlanta,1,17,17,17
smokeshop,1,17,17,17
vividnovelties,1,17,17,17
ikea,1,5,5,5
ikeakids,1,5,5,5
bikelifeatl,1,50,50,50
hoglife,1,50,50,50
harleydavidson,1,50,50,50
mph,1,50,50,50
edgewoodoriginal,1,50,50,50
supportmyhustles,1,9,9,9
smoothie,1,9,9,9
sweetthickness,1,9,9,9
teamfit,1,9,9,9
eatlean,1,9,9,9
positiveenergysmoothie,1,9,9,9
chrisbaileyisdotcom,1,9,9,9
eatingright,1,9,9,9
spirittriplets,1,74,74,74
itsbeenaday,1,74,74,74
stillgoingtochurchinthemorning,1,74,74,74
pullup,2,26,49,24
welit,2,26,49,24
saturdaynightlive,2,26,49,24
gramfam,1,16,16,16
dst,1,16,16,16
omegapsiphi,1,16,16,16
tauchapter,1,16,16,16
downtownatl,1,22,22,22
shes21,1,22,22,22
latinas,1,22,22,22
localuna,1,22,22,22
sneakerque,1,153,153,153
acedawg,1,153,153,153
psiddmade,1,153,153,153
everybluemoon,1,153,153,153
whatyaknow,1,153,153,153
agp2k15,1,153,153,153
mediabruhz,1,153,153,153
greatreminders,1,12,12,12
godusesordinarypeopletodoextraordinarythings,1,12,12,12
focusonthefundamentals,1,12,12,12
wordsfrompeoplethatloveyou,1,12,12,12
godwillmaximizeoursimplicity,1,12,12,12
becontentinchrist,1,12,12,12
simplesketch,1,1,1,1
figure,1,1,1,1
teammarleblu,1,23,23,23
xsquaddjs,2,23,40,20
atlantacomedy,1,14,14,14
1amsecretshow,1,14,14,14
instagram,1,10,10,10
dontactlikeyouforgot,1,10,10,10
missing,1,10,10,10
sleepy,2,25,35,17
bedtimestory,1,10,10,10
myeyes,1,10,10,10
like,1,10,10,10
goodnight,2,61,71,35
rockmetosleep,1,10,10,10
bedtime,1,10,10,10
baeday,1,876,876,876
basicessentials,1,876,876,876
homeboys,1,29,29,29
bachelorparty,1,29,29,29
peacetothefresh,1,29,29,29
newyork,4,157,363,90
money,1,29,29,29
peace,1,29,29,29
goodtimes,2,29,52,26
useyourpretty,1,29,29,29
vip,1,29,29,29
freshlife,1,29,29,29
buybottles,1,29,29,29
fresh,2,45,74,37
itsmagic,1,29,29,29
business,2,34,55,27
marketing,1,34,34,34
worldwidemusic,1,34,34,34
bookings,1,34,34,34
records,1,34,34,34
studiobuzz,1,34,34,34
london,1,34,34,34
rap,1,34,34,34
artists,1,34,34,34
follow,2,2427,2461,1230
unique,1,34,34,34
promotions,1,34,34,34
producers,1,34,34,34
genres,1,34,34,34
talent,1,34,34,34
showcase,1,34,34,34
support,1,34,34,34
uk,1,34,34,34
events,1,34,34,34
epicwedding,1,15,15,15
bobbyvalentino,1,15,15,15
minttobeamurray,1,15,15,15
bobbyv,1,15,15,15
indylove,1,41,41,41
birthdaygirl,1,29,29,29
rickersongirls,1,29,29,29
bigsis,1,29,29,29
heart,1,12,12,12
familyandfriends,1,12,12,12
ilovebaseball,1,12,12,12
ga,2,21,33,16
family,1,12,12,12
3weeks,1,12,12,12
lifeisgood,1,12,12,12
atlantabond,1,12,12,12
timetosaygoodbye,1,12,12,12
450instagramphotos,1,12,12,12
home,1,12,12,12
friends,4,144,190,47
laststop,1,12,12,12
usa,2,144,156,78
friendship,1,12,12,12
roadtrip,1,12,12,12
bravescountry,1,12,12,12
timeflies,1,12,12,12
shedsometears,1,12,12,12
iglove,1,19,19,19
instapic,1,19,19,19
hilife,1,19,19,19
falife,1,19,19,19
downtown,4,27,92,23
layover,1,19,19,19
instagramhub,1,19,19,19
hotlanta,2,144,163,81
crewlife,1,19,19,19
ilovemyjob,1,19,19,19
instalayover,1,19,19,19
igdaily,1,19,19,19
instaview,1,19,19,19
instawork,1,19,19,19
diner,1,5,5,5
latenightfood,1,5,5,5
ishouldbesleeping,1,5,5,5
majesticdiner,1,5,5,5
noturnup2nite,1,327,327,327
roomservice,1,327,327,327
6hrdrive,1,327,327,327
imadeit,1,327,327,327
whorundayard,1,21,21,21
atlgreekpicnic,1,21,21,21
hbcu,1,21,21,21
divinenine,1,21,21,21
d9,1,21,21,21
edgewood,1,5,5,5
partyhard,1,5,5,5
midtownatl,1,12,12,12
anime,1,12,12,12
howlsmovingcastle,1,12,12,12
soundengineer,1,112,112,112
working,1,112,112,112
bigblock,1,21,21,21
ss,1,21,21,21
572,1,21,21,21
grinding,1,21,21,21
black,1,21,21,21
chevelle,1,21,21,21
workinghard,1,21,21,21
chevy,1,21,21,21
theseladies,1,12,12,12
eav,1,12,12,12
mbiaka,1,23,23,23
futa,1,23,23,23
