wordlist,countlist,maxlike,totallike,avelike
shop,1,189,189,189
style,1,189,189,189
fashion,1,189,189,189
newarrival,1,189,189,189
twochicksonaclothesline,1,189,189,189
mint,1,189,189,189
coleswindell,1,124,124,124
repost,1,124,124,124
beautiful,2,189,203,101
jaws,1,96,96,96
holdfastvapors,1,96,96,96
ipuffnplay,1,96,96,96
cloudporn,1,96,96,96
vapesirens,2,96,156,78
vapevixens,2,96,156,78
dripper,2,96,156,78
betheadventure,1,69,69,69
cloudchaser,2,96,130,65
vapegirls,3,96,190,63
dripgirls,3,96,190,63
vapelyfe,3,96,190,63
driplyfe,3,96,190,63
cloudandcoilgirl,3,96,190,63
ejuice,3,96,184,61
girlswithmods,4,96,244,61
subohm,4,96,244,61
girlswhobuild,4,96,244,61
vapeordie,4,96,244,61
chickswhovape,4,96,244,61
girlswhodrip,4,96,244,61
