wordlist,countlist,maxlike,totallike,avelike
swim,1,538,538,538
redhead,1,538,538,538
befree,1,538,538,538
highwaisted,1,538,538,538
swimwear,1,538,538,538
redfish,1,538,538,538
freespirit,1,538,538,538
weloveredhair,2,538,1058,529
redheadsmagazine,2,538,1058,529
redfishlake,2,538,688,344
imagiantpansy,1,291,291,291
trainharderthanme,1,291,291,291
stillinit,1,291,291,291
bloodsweattears,1,291,291,291
optimumnutrition,1,291,291,291
imnotabodybuilder,1,291,291,291
comeatmebro,1,291,291,291
imadeit,1,291,291,291
bikini,2,538,575,287
teamnutrex,1,250,250,250
nutrexteam,1,250,250,250
nutrex,1,250,250,250
nutrexresearch,1,250,250,250
iwantfood,1,248,248,248
bikincomp,1,248,248,248
flexfriday,1,222,222,222
throwback,3,538,624,208
ftk,1,195,195,195
progress,1,190,190,190
backtothedrawingboard,1,190,190,190
