wordlist,countlist,maxlike,totallike,avelike
thatpoolkickedmyass,1,800,800,800
imgoingtosleepgoodtonight,1,800,800,800
goodnight,1,800,800,800
lifeontheline,1,514,514,514
teamtownsman,1,514,514,514
hospitalityforlife,1,514,514,514
top_masters,1,470,470,470
city_explore,1,470,470,470
ic_thecity,1,470,470,470
citypicz,1,470,470,470
teamcanon,1,470,470,470
canon_photos,1,470,470,470
ig_captures_city,1,470,470,470
canon_camera,1,470,470,470
reflection_shotz,2,470,859,429
insta_sky_reflection,2,470,859,429
igersmass,2,470,859,429
splendid_reflections,2,470,859,429
puddlegram,2,470,859,429
bostonusa,2,470,859,429
icu_usa,2,470,859,429
bostondotcom,2,470,859,429
igersusa,2,470,859,429
ig_northamerica,2,470,859,429
visitma,2,470,859,429
reflecting_perfection,2,470,859,429
allshots_,2,470,859,429
scenesofnewengland,2,470,859,429
thepuddlegames,2,470,859,429
loves_reflections,2,470,859,429
