wordlist,countlist,maxlike,totallike,avelike
simplylici,1,134,134,134
ootn,1,134,134,134
allineed,1,119,119,119
myelworld,1,119,119,119
bonnie,1,119,119,119
proudmomof2,1,119,119,119
jaiden,1,119,119,119
iceland,1,79,79,79
haifoss,1,79,79,79
waterfall,1,79,79,79
rhodeisland,1,67,67,67
scenesofri,1,67,67,67
narrowriver,1,67,67,67
ig_great_pics,1,67,67,67
ig_rhodeisland,1,67,67,67
ipa_purple,1,67,67,67
southcounty,1,67,67,67
scenesofnewengland,1,67,67,67
visitrhodeisland,1,67,67,67
igersnewengland,1,67,67,67
notamorningperson,1,67,67,67
namaste,2,79,130,65
businessman,2,79,130,65
tourist,2,79,130,65
business,2,79,130,65
mompreneur,2,79,130,65
instalove,2,79,130,65
entrepreneur,2,79,130,65
instatravel,2,79,130,65
poolside,2,79,130,65
