wordlist,countlist,maxlike,totallike,avelike
leftyadventures,1,5,5,5
summer,5,80,147,29
beautifulworld,1,4,4,4
mrrogersneighbourhood,1,4,4,4
lefties4lyfe,3,15,33,11
toaster,1,3,3,3
837,1,3,3,3
leftybff,1,3,3,3
classic,1,3,3,3
whpmonochromatic,3,15,37,12
wereontopoftheworld,1,15,15,15
stepping,1,15,15,15
leftyclub,2,15,30,15
areweoutofthewoods,1,15,15,15
ivelostcountonhowmanycremeesivealreadyhad,1,15,15,15
btv,15,67,318,21
alsfrenchfrys,1,33,33,33
ilovermont,6,25,82,13
vermont,26,264,859,33
noaddedsuggar,1,5,5,5
natural,1,5,5,5
glutenfree,2,15,20,10
cider,1,5,5,5
adultjuice,2,15,20,10
nosulfate,1,5,5,5
drinklocal,1,5,5,5
yum,3,17,37,12
citizencider,1,5,5,5
supportlocal,1,5,5,5
hardcider,1,5,5,5
spartanpride,1,13,13,13
athleticbanquet,1,13,13,13
gay20,1,19,19,19
instahomo,1,19,19,19
gay,2,80,99,49
instagay,1,19,19,19
gayteen,1,19,19,19
gaylife,1,19,19,19
gaysfs,1,19,19,19
gaytan,1,19,19,19
gaystud,1,19,19,19
gaybum,1,19,19,19
gaypeace,1,19,19,19
bff,1,25,25,25
hiking,1,25,25,25
vt,15,264,622,41
homeland,1,25,25,25
vscocam,2,150,175,87
mtphilo,1,25,25,25
cute,5,129,502,100
weeklyfluff,3,129,366,122
dailypup,3,129,366,122
corgipuppy,3,129,366,122
dailypuppy,3,129,366,122
buzzfeedanimals,4,129,454,113
dog_features,4,264,630,157
pembrokewelshcorgi,3,129,366,122
happy_pet,3,129,366,122
corgicommunity,3,129,366,122
petboxpetoftheweek,3,129,366,122
corgination,3,129,366,122
corgilove,3,129,366,122
corgisinstagram,3,129,366,122
instadog,3,129,366,122
doglover,3,129,366,122
ilovemydog,4,264,630,157
instagramcorgis,3,129,366,122
showcasing_pets,3,129,366,122
corgisarelove,3,129,366,122
f4f,4,264,630,157
corgi,3,129,366,122
puppy,5,264,718,143
corgiaddict,3,129,366,122
pwc,3,129,366,122
breathe,1,28,28,28
acrovinyasa,2,34,62,31
namaste,2,75,103,51
yogachallenge,3,75,137,45
exhale,1,28,28,28
goldendoodle,1,88,88,88
barkbox,1,88,88,88
dogsofinstagram,2,264,352,176
norfolkterrier,1,88,88,88
dogsofig,1,88,88,88
goldendoodlepuppy,1,88,88,88
goldendoodlesofinstagram,1,88,88,88
dog,1,88,88,88
dogs,2,88,129,64
minigoldendoodle,1,88,88,88
mydogiscutest,1,88,88,88
pupstagram,1,88,88,88
puppiesofinstagram,2,264,352,176
puppies,1,88,88,88
