wordlist,countlist,maxlike,totallike,avelike
theymakemehappy,1,160,160,160
ighomiesstrong,1,160,160,160
thekeytomyheart,1,160,160,160
thankyou,1,84,84,84
mynext30years,1,84,84,84
states,1,83,83,83
grindteam,1,83,83,83
charliewest,1,68,68,68
bestvirginia,1,68,68,68
crw,1,68,68,68
wvphotographer,1,68,68,68
westvirginiawedding,1,68,68,68
nikond750,1,68,68,68
herecomethesmiths,1,68,68,68
nikon,1,68,68,68
wvwedding,2,68,134,67
blessed,2,84,134,67
destinationweddingphotographer,1,66,66,66
weddingphotographer,1,66,66,66
beauty,1,66,66,66
couple,1,66,66,66
meettheburks,1,66,66,66
benedicthaidfarm,1,66,66,66
groom,1,66,66,66
inlove,1,66,66,66
southernwedding,1,66,66,66
wedding,1,66,66,66
charlotteweddings,1,66,66,66
farm,1,66,66,66
weddingdress,1,66,66,66
