wordlist,countlist,maxlike,totallike,avelike
forever,1,7,7,7
love,11,58,285,25
funny,1,9,9,9
iwonder,1,9,9,9
true,1,9,9,9
lol,1,9,9,9
cantstoplaughing,1,9,9,9
hair,1,37,37,37
eyes,1,37,37,37
picofthenight,1,37,37,37
smile,2,45,82,41
selfie,4,46,139,34
instapic,2,46,83,41
instadaily,6,58,249,41
sweet,3,18,45,15
cookies,1,16,16,16
oldchicago,1,16,16,16
gaming,1,7,7,7
squareenix,1,7,7,7
ps4,1,7,7,7
lifeisstrange,1,7,7,7
pomeranian,2,17,33,16
atticusfinch,1,16,16,16
poofiepoopie,1,16,16,16
gardenlove,1,16,16,16
selfiesunday,1,5,5,5
itiswhatitis,1,5,5,5
quote,1,5,5,5
instagood,1,5,5,5
lies,1,5,5,5
game,1,5,5,5
gamer,1,5,5,5
kermit,1,5,5,5
inspiration,2,30,35,17
dinnertime,1,5,5,5
livinginawe,1,11,11,11
dragonfly,1,11,11,11
sweetboy,1,11,11,11
nature,4,51,94,23
gentleman,1,11,11,11
beautiful,3,51,85,28
lovehim,4,45,78,19
thismagicmoment,1,11,11,11
superman,1,11,11,11
sparklers,1,74,74,74
funtimes,1,74,74,74
graduation,9,178,676,75
wedding,2,74,120,60
cute,4,18,47,11
ladies,1,18,18,18
smiles,4,31,75,18
ohhey,1,18,18,18
selfies,1,18,18,18
learn,1,18,18,18
fun,2,18,34,17
teach,1,18,18,18
pierce,1,10,10,10
art,4,51,97,24
color,1,10,10,10
ihave2,1,10,10,10
permanent,1,10,10,10
black,1,10,10,10
white,1,10,10,10
tats,1,10,10,10
lostallrespect,1,29,29,29
dubnation,1,29,29,29
happybirthday,1,16,16,16
brady,2,16,27,13
family,9,137,253,28
favorite,3,60,121,40
lucky,1,16,16,16
blessed,4,38,71,17
bonding,1,16,16,16
birthday,2,16,24,12
celebrate,1,16,16,16
familymatters,1,16,16,16
important,1,16,16,16
prepdaysuccess,4,5,14,3
beastmode,3,5,11,3
21dfx,4,5,14,3
twisternation,1,157,157,157
lovemyteam,1,157,157,157
21dfxapproved,1,4,4,4
vanbuddies4lyfe,1,5,5,5
s,1,5,5,5
baes4lyfe,1,5,5,5
happysunday,1,16,16,16
truth,1,16,16,16
colorado,3,10,27,9
camel,1,9,9,9
greatplains,1,9,9,9
explore,5,21,74,14
getoutside,4,58,170,42
dafuq,1,9,9,9
desert,1,9,9,9
wildlife,1,9,9,9
animals,1,9,9,9
getlost,1,9,9,9
travel,7,50,143,20
wyoming,39,42,475,12
denver,3,43,61,20
roadtrip,6,21,77,12
cheyenne,31,33,275,8
outdoors,1,9,9,9
idojulep,1,3,3,3
julepdanielle,3,7,17,5
julepfireworks,2,7,10,5
starsandstripes,1,3,3,3
julyfourthbox,1,3,3,3
sundaymani,1,3,3,3
julepshawn,2,7,10,5
sparkle,1,3,3,3
stickers,1,3,3,3
julepmaven,4,7,24,6
heehaw,4,21,65,16
wanderlust,7,58,226,32
foreverwest,5,415,480,96
vacation,5,21,75,15
buffalo,1,21,21,21
fgl,1,43,43,43
lukebryan,2,43,52,26
beer,1,6,6,6
idrinkgoodbeer,1,6,6,6
beerstagram,1,6,6,6
craftbeer,3,21,38,12
rainbow,1,12,12,12
missionaccomplished,1,12,12,12
rideemcowboy,1,12,12,12
grouppic,1,4,4,4
friends,2,16,20,10
bbq,1,4,4,4
wyomingwhynot,2,21,32,16
drinklocal,2,21,32,16
itssoshort,1,28,28,28
doublepost,1,28,28,28
tbh,3,20,50,16
gainlikes,3,20,50,16
accountrate,3,20,50,16
gainpost,2,20,36,18
avocadolove,1,13,13,13
letsavocuddle,1,13,13,13
holyguacamole,1,13,13,13
backthathassup,1,13,13,13
sundaypunday,1,13,13,13
theperfectfood,1,13,13,13
rootbeer,1,21,21,21
localbrewery,1,21,21,21
beers,1,21,21,21
juliedamsel,1,7,7,7
ipsy,1,7,7,7
polishparty,1,7,7,7
julepmax,2,7,14,7
niece,1,7,7,7
julepqueenanne,1,7,7,7
julepyuki,1,7,7,7
realtor,2,33,54,27
1properties,3,33,84,28
modern,1,21,21,21
luxurious,1,21,21,21
homestyle,2,33,54,27
design,3,33,84,28
fireplace,1,21,21,21
instadesign,3,33,84,28
style,2,33,54,27
familyroom,1,21,21,21
interiordesign,1,21,21,21
custom,1,21,21,21
dreamhome,2,33,54,27
clean,1,21,21,21
interior,1,21,21,21
forsale,2,30,51,25
gasfireplace,1,21,21,21
takeusback,1,9,9,9
kickthedustup,1,9,9,9
happy,2,15,20,10
thaitea,1,42,42,42
sundayvibes,1,42,42,42
enoughhashtags,1,42,42,42
vape,1,42,42,42
sundayfunday,2,42,47,23
homebody,1,42,42,42
vapepen,1,42,42,42
amazing,2,51,93,46
imgoingtoeatallofthisnow,1,42,42,42
thaifood,1,42,42,42
chickenpadthai,1,42,42,42
anongs,1,42,42,42
local,1,42,42,42
insidejokes,1,20,20,20
bonutbites,1,20,20,20
protipdonotwearflipflops,1,24,24,24
mrstealyogurl,1,24,24,24
strongindependentasianwomantakestheworld🌎,1,24,24,24
watchout,1,24,24,24
tbtv,1,5,5,5
memories,2,16,21,10
churchinaschool,1,5,5,5
bigboots,1,1,1,1
scavengerhunt,1,1,1,1
cowboyboots,1,1,1,1
esprotations,2,8,9,4
neighbors,1,5,5,5
sunshine,1,5,5,5
relax,2,30,35,17
hammocklife,1,5,5,5
summertime,4,30,48,12
cousins,3,113,180,60
playtime,1,5,5,5
cake,1,28,28,28
shield,1,28,28,28
captainamerica,1,28,28,28
1,2,137,153,76
thebest,1,137,137,137
gmc,1,7,7,7
crusin,1,7,7,7
gmcsierra,1,7,7,7
classof2025,1,3,3,3
bouncehouse,1,3,3,3
missilefieldlife,1,11,11,11
tripoutday,1,11,11,11
juleplilou,1,7,7,7
julepchatoya,1,7,7,7
julepbrigitte,1,7,7,7
appliances,1,33,33,33
cooktop,1,33,33,33
homedesign,1,33,33,33
kitchen,1,33,33,33
granite,1,33,33,33
gasrange,1,33,33,33
realestate,3,33,69,23
luxury,1,33,33,33
photography,1,16,16,16
silly,1,16,16,16
laughter,1,16,16,16
weekend,1,16,16,16
steamboatsteakandsmokehouse,1,26,26,26
ribs,1,26,26,26
sillyboy,2,26,37,18
issuesismyfave,1,56,56,56
2k15,3,66,144,48
gladitsover,1,56,56,56
tofindsomelightskins,1,56,56,56
fiyahhh,1,56,56,56
andnowimonamission,1,56,56,56
pip,1,24,24,24
lighting,1,24,24,24
clouds,1,24,24,24
suchagoodmodel,1,24,24,24
nightstalker,1,24,24,24
megandeangelis,5,33,116,23
megedits,5,33,116,23
boom,2,61,97,48
roasted,1,61,61,61
tbird,1,22,22,22
bestfriend,1,22,22,22
ehs,1,22,22,22
stephens,1,22,22,22
uw,1,22,22,22
easthigh,1,22,22,22
blackandgold,1,22,22,22
bae,2,45,67,33
bison,1,22,22,22
classof2015,2,24,46,23
blackandblue,1,22,22,22
shs,1,22,22,22
deerhuntin,1,15,15,15
beerdrankin,1,15,15,15
awesomeness,1,15,15,15
country,1,15,15,15
countrylife,1,15,15,15
obamahatin,1,15,15,15
countryass,1,15,15,15
fuckinlovemyguns,1,15,15,15
rebel,1,15,15,15
america,3,15,33,11
guns,1,15,15,15
wyowritersconference2015,15,11,56,3
dreambig,5,11,28,5
