wordlist,countlist,maxlike,totallike,avelike
surprise,1,130,130,130
gradparty,1,130,130,130
skateboarding,1,59,59,59
happybirthday,1,54,54,54
mackenzieziegler,1,54,54,54
thegroens,1,52,52,52
sweetcaroline,1,52,52,52
allgroenup,1,52,52,52
kingfelix,1,48,48,48
wow,1,48,48,48
mariners,1,48,48,48
nnnooooooiwasntready,1,46,46,46
alwaysmybaby,1,46,46,46
ml_2015,2,44,88,44
promo_ml,2,44,88,44
minilineaoficial,2,44,88,44
fernandezpromo,1,44,44,44
minilinea2015,2,44,88,44
yodetisere,1,44,44,44
navimusicgroup,1,44,44,44
gerardomercado,1,44,44,44
canon,2,59,87,43
recording,1,41,41,41
bars,1,41,41,41
freestyle,1,41,41,41
rappers,1,41,41,41
rapper,1,41,41,41
newartist,1,41,41,41
instamusic,1,41,41,41
hiphop,1,41,41,41
