wordlist,countlist,maxlike,totallike,avelike
immawinoneday,1,221,221,221
monopoly,1,221,221,221
classiccar,1,154,154,154
carsandcoffeecolumbus,1,154,154,154
carinstagram,1,154,154,154
columbuscarsandcoffee,1,154,154,154
blacklist,1,154,154,154
cars247,1,154,154,154
l4p,1,154,154,154
ohiocars,1,154,154,154
carsandcoffee,1,154,154,154
cccseason7,1,154,154,154
thereisnosubstitute,1,154,154,154
amazingcars247,1,154,154,154
rs,1,154,154,154
byersimports,1,154,154,154
porsche,1,154,154,154
columbuscars,1,154,154,154
carswithoutlimits,1,154,154,154
2,1,154,154,154
carrera,1,154,154,154
911,1,154,154,154
pencilportrait,1,120,120,120
pencil,1,120,120,120
sketch,1,120,120,120
artnerd,1,120,120,120
nawden,1,120,120,120
coloredpencils,1,120,120,120
prismacoloredpencils,1,120,120,120
sketchpad,1,120,120,120
