wordlist,countlist,maxlike,totallike,avelike
alexgrey,1,419,419,419
grassrootscalifornia,1,419,419,419
cannabacchus,1,419,419,419
gsprout,1,419,419,419
hularoots,1,419,419,419
strapback,1,419,419,419
umphreysmcgee,1,419,419,419
cosms,1,419,419,419
hairy,1,229,229,229
blackwall,1,229,229,229
scruffy,1,229,229,229
thebeardedhomo,1,229,229,229
boyswithbeards,1,229,229,229
beardstagram,1,229,229,229
me,1,229,229,229
man,1,229,229,229
gayselfie,1,229,229,229
greeneyes,1,229,229,229
mensfashion,1,229,229,229
scruff,1,229,229,229
looking,1,229,229,229
americanboy,1,229,229,229
gaymexican,1,229,229,229
gayboys,1,229,229,229
instabeard,1,229,229,229
beard,1,229,229,229
slackcountry,1,208,208,208
albritton,1,208,208,208
noaccess,1,208,208,208
albrittonskis,1,208,208,208
