wordlist,countlist,maxlike,totallike,avelike
samking,2,4,4,2
crowd,1,0,0,0
sk4mc,2,4,4,2
awesome,1,0,0,0
snakeandbat,2,4,4,2
strangemusic,2,4,4,2
bkg,2,4,4,2
potluck,2,4,4,2
blackpegasus,2,4,4,2
emceetv,2,4,4,2
prevail,2,4,4,2
brassknuckle,2,4,4,2
prehangovertour,1,0,0,0
flobama,2,4,4,2
tour,2,4,4,2
swollenmembers,2,4,4,2
irvdaphenom,2,4,4,2
wrekonize,2,4,4,2
mayday,2,4,4,2
subnoize,2,4,4,2
ottumwa,1,0,0,0
likeforlikes,5,58,185,37
trocolikes,5,58,185,37
love,7,58,220,31
likeforlikealways,5,58,185,37
selfie,5,58,185,37
recentforrece6nt,5,58,185,37
likeforfollow,5,58,185,37
likesforlikes,5,58,185,37
recent4recent,5,58,185,37
likes,5,58,185,37
follow4follow,5,58,185,37
follow,5,58,185,37
followback,5,58,185,37
instagood,5,58,185,37
like4follow,5,58,185,37
likeforlikeback,5,58,185,37
r4r,5,58,185,37
like4like,5,58,185,37
spamforspam,5,58,185,37
likes4likes,5,58,185,37
followforfollow,5,58,185,37
likeback,5,58,185,37
like4likes,5,58,185,37
tagsforlikes,5,58,185,37
likeforlike,5,58,185,37
f4f,5,58,185,37
recentforrecent,5,58,185,37
spam4spam,5,58,185,37
followme,5,58,185,37
l4l,5,58,185,37
knowledge,1,4,4,4
people,1,4,4,4
pfgclassic,2,13,21,10
vip,1,13,13,13
principalcharityclassic,2,38,41,20
merica,1,38,38,38
golf,1,38,38,38
beastmode,1,10,10,10
grind,1,10,10,10
frogdog,1,14,14,14
scoutvonwallace,1,14,14,14
spoiled,1,14,14,14
bunnypig,1,14,14,14
batpig,1,14,14,14
scout,1,14,14,14
crazysleeper,1,14,14,14
frenchiesofinstagram,1,14,14,14
homeiswherethepetsare,1,14,14,14
sunday,1,14,14,14
frenchbullsofig,1,14,14,14
pets,1,14,14,14
sleeper,1,14,14,14
frenchbulldog,1,14,14,14
scouttheterror,1,14,14,14
dogs,1,14,14,14
frenchie,1,14,14,14
building429,1,8,8,8
iowa,8,117,254,31
worship,1,8,8,8
freedomforyouth,2,6,10,5
safehaven,2,6,10,5
kayak,1,14,14,14
desmoines,12,117,365,30
dsm,5,40,68,13
grayslake,2,14,14,7
fifthharmony,1,99,99,99
allybrooke,1,99,99,99
percyjackson,1,35,35,35
insurgent,1,35,35,35
mortalinstruments,1,35,35,35
percabeth,1,35,35,35
alligiant,1,35,35,35
pjo,1,35,35,35
percyjacksonfandom,1,35,35,35
loganlermanpics,1,35,35,35
books,1,35,35,35
percyjacksonandtheolympians,1,35,35,35
thefaultinourstars,1,35,35,35
loganlerman,1,35,35,35
fandoms,1,35,35,35
fourtris,1,35,35,35
divergent,1,35,35,35
uartsreunion,1,18,18,18
missmygirls,1,18,18,18
cornfed,1,12,12,12
summer,3,67,79,26
prairieprince,1,12,12,12
lovethisboy,1,12,12,12
prairieprincess,1,12,12,12
nature,3,72,93,31
soulbrothers,1,12,12,12
summer2015,1,12,12,12
twinning,1,81,81,81
poolparty,1,81,81,81
myheart💚,1,8,8,8
mylovie,1,8,8,8
myeverything,1,8,8,8
dsmladysquad,1,43,43,43
vsco,5,72,214,42
downtown,1,43,43,43
liveauthentic,2,72,115,57
gaze,1,43,43,43
makefriends,2,72,115,57
wip,3,72,182,60
dsmgirlgang,1,43,43,43
vscocam,5,72,214,42
515,3,117,232,77
sunnies,1,43,43,43
makeportraits,2,72,115,57
peenyweenymonkey,1,13,13,13
freehim,1,13,13,13
sundayfunday,1,3,3,3
iguess,1,3,3,3
livemusic,1,6,6,6
leftys,1,6,6,6
supportlocalmusic,1,6,6,6
calumhood,1,64,64,64
michaelclifford,1,64,64,64
lukehemmings,1,64,64,64
5sos,1,64,64,64
ashtonirwin,1,64,64,64
dancemoms,1,13,13,13
dancemoms1,1,13,13,13
abbyleedancecompany,1,13,13,13
andweawussett,5,19,61,12
andrearussett,5,19,61,12
couponing,1,7,7,7
meow,1,7,7,7
makeup,1,7,7,7
toddlerfun,1,7,7,7
kidcat,1,7,7,7
cat,1,7,7,7
blackandwhite,2,34,49,24
karliann,1,3,3,3
taidertot,1,3,3,3
kaidenmichael,3,8,16,5
babies,1,3,3,3
myboys,2,8,13,6
mybabies,1,8,8,8
braydenandrew,3,8,15,5
brothers,1,8,8,8
forfree,1,4,4,4
