wordlist,countlist,maxlike,totallike,avelike
uber,1,10,10,10
taxi,1,10,10,10
lyft,1,10,10,10
playoffs,1,10,10,10
deal,1,10,10,10
lyftfreerides,1,10,10,10
coupon,1,10,10,10
nhl,1,10,10,10
cheap,1,10,10,10
tbt,2,47,57,28
freetaxi,1,10,10,10
uberpromocode,1,10,10,10
free,1,10,10,10
uberfreerides,1,10,10,10
freeuberride,1,10,10,10
nba,1,10,10,10
uberride,1,10,10,10
freeuber,1,10,10,10
cool,1,10,10,10
mlb,1,10,10,10
great,2,30,40,20
freelyftride,1,10,10,10
ubercode,1,10,10,10
uberfree,1,10,10,10
deals,1,10,10,10
uberfreeride,1,10,10,10
sweet,1,10,10,10
taxiride,1,10,10,10
lyftfreeride,1,10,10,10
lyftride,1,10,10,10
pizzasisters4lyfe,2,9,17,8
rant,1,8,8,8
teamsog,4,3,10,2
nbcagt,2,3,5,2
season10,1,2,2,2
americasgottalent,1,2,2,2
agt10,1,2,2,2
selectedofgod,2,3,5,2
agt,1,2,2,2
nbcagt10,1,2,2,2
weekendevent,1,2,2,2
smiletwins,1,3,3,3
christinlee,1,639,639,639
chongleedidit,1,639,639,639
regram,1,8,8,8
realtalk,1,8,8,8
jacob,1,5,5,5
proudaunty,1,5,5,5
planlife,1,27,27,27
nolife,1,27,27,27
work,1,27,27,27
trap,1,27,27,27
jnap,1,27,27,27
funnytumblr,2,158,222,111
oktweet,2,158,222,111
hoeposts,2,158,222,111
tumblr,2,158,222,111
sexualising,2,158,222,111
funnytextpost,2,158,222,111
perfectsayings,2,158,222,111
hoesnt,2,158,222,111
ughly,2,158,222,111
textpost,2,158,222,111
cohmedy,2,158,222,111
twurkology,2,158,222,111
idjdetroit,2,22,39,19
instagood,2,22,39,19
dj,2,22,39,19
djlife,2,22,39,19
bookcoolbreeze,2,22,39,19
eso,1,12,12,12
elderscrollsonline,1,12,12,12
elderscrolls,1,12,12,12
ripgianathin,1,8,8,8
gratiotave,1,8,8,8
familia,1,8,8,8
pause,1,8,8,8
blowincommas,1,8,8,8
pardonthemoney,1,8,8,8
detroit,17,47,207,12
nobodytotalkto,1,20,20,20
goodnight,1,20,20,20
sleepy,1,20,20,20
solo,1,20,20,20
lilhippie,1,1,1,1
wetsealmodel15,1,1,1,1
slappin,1,6,6,6
salad,1,6,6,6
delicious,1,6,6,6
nodaysoff,1,10,10,10
grindmode,1,10,10,10
lookingruff,1,10,10,10
indigoblack,2,28,56,28
puremichigan,1,28,28,28
734,1,28,28,28
313,1,28,28,28
269,1,28,28,28
westside,1,28,28,28
detroitartist,1,3,3,3
detroitrappers,1,3,3,3
thesocialnetwork,9,5,21,2
motorclub16,1,3,3,3
detroitmusic,1,3,3,3
detroitvseverybody,1,3,3,3
borderlinepersonalitydisorder,1,9,9,9
mentalillness,1,9,9,9
mentalhealth,1,9,9,9
mymood,1,5,5,5
teamgemin♊️,1,5,5,5
606🎂🎂🎂🎂🎉🎉🎉🎉🎁🎁🎁🎉🎉🎉🎉🎁🎁🎁🎊🎊🎊🎂🎂🎂🎂🎊🎊🎊😒🎉🎉🎉🎉😍😍😍😍😍😍😍😍😍😍😍🎂🎂🎂🎂🎂,1,5,5,5
birthdaybehavior,1,5,5,5
culture,1,28,28,28
goodvibes,1,28,28,28
pikapika,1,21,21,21
shagme,1,21,21,21
luvthewayulie,1,21,21,21
yeahbaby,1,21,21,21
summer,1,47,47,47
bffs,1,47,47,47
blackandwhite,2,47,54,27
friends,1,47,47,47
smalls,1,16,16,16
redlightspecial,1,16,16,16
hamtramck,1,16,16,16
tired,1,16,16,16
lastcall,1,16,16,16
nightoff,1,16,16,16
ladiesnight,1,16,16,16
repostwhiz,1,15,15,15
iswear,1,15,15,15
virgo,1,7,7,7
and,1,7,7,7
cancer,1,7,7,7
us,1,7,7,7
relationships,13,15,112,8
worldwide,13,15,112,8
tagafriend,13,15,112,8
eblockradio,13,15,112,8
florida,13,15,112,8
gifts,13,15,112,8
tag,13,15,112,8
hottopics,13,15,112,8
radiopersonality,13,15,112,8
internetradio,13,15,112,8
radioshowhost,13,15,112,8
steak,1,30,30,30
foodporn,1,30,30,30
potato,1,30,30,30
scampi,1,30,30,30
shrimp,1,30,30,30
viceteam,8,5,18,2
yachtclubfamilia,7,5,17,2
socialnetwork,7,5,17,2
levelup,7,5,17,2
takeyourpick😛,1,2,2,2
stillworking,1,2,2,2
beautifulday,1,7,7,7
1black,1,7,7,7
thatlifestyle,1,7,7,7
idgaf,1,7,7,7
children,1,7,7,7
best,1,7,7,7
care,1,7,7,7
enemy,1,7,7,7
chicago,1,7,7,7
beautifuldestinations,1,7,7,7
hagtag,1,7,7,7
damn,1,7,7,7
547,1,7,7,7
lovely,1,7,7,7
method,1,7,7,7
idk,1,7,7,7
flickadawrist,1,21,21,21
ohshit,1,21,21,21
foolboymix,1,21,21,21
ted2,2,8,15,7
sethmacfarlane,2,8,15,7
ted,2,8,15,7
familyguy,2,8,15,7
2,2,8,15,7
markwahlberg,2,8,15,7
comedy,2,8,15,7
trailer,2,8,15,7
film,2,8,15,7
doctormanhattan,1,5,5,5
theeatchmen,1,5,5,5
instasize,1,18,18,18
youmakemehappy,1,18,18,18
thesheddetroit,1,3,3,3
momcdetroit,1,3,3,3
midnightoil,1,3,3,3
momc,1,3,3,3
customteesdetroit,1,3,3,3
theshed,1,3,3,3
customtees,1,3,3,3
gator,1,24,24,24
green,1,24,24,24
