wordlist,countlist,maxlike,totallike,avelike
blurryface,4,18,33,8
joshdun,4,25,40,10
tylerjoseph,6,25,78,13
tumblr,3,9,21,7
regionalatbest,1,6,6,6
vessel,1,6,6,6
tøp,6,25,78,13
twentyonepilots,5,25,60,12
sweetcat,1,5,5,5
ขนน,1,5,5,5
นอร,1,5,5,5
cat,3,30,43,14
goodnight,1,5,5,5
ท,1,5,5,5
fargo,24,47,272,11
ฟ,1,5,5,5
fitfam,1,14,14,14
cheatday,1,14,14,14
bodybuilding,2,141,155,77
eatbigtogetbig,1,14,14,14
fit,1,14,14,14
hardwork,1,14,14,14
binge,1,14,14,14
kidsfood,1,14,14,14
abs,1,14,14,14
neveragain,1,14,14,14
eatclean,1,14,14,14
ifeellikedeath,1,14,14,14
strengthtraining,1,14,14,14
fatday,1,14,14,14
fitchicks,1,14,14,14
beast,1,14,14,14
sugarfix,1,14,14,14
cereal,1,14,14,14
badchoices,1,14,14,14
blech,1,14,14,14
beastmode,1,14,14,14
offthewagon,1,14,14,14
bloated,1,14,14,14
strongnotskinny,1,14,14,14
noabs,1,14,14,14
honest,1,14,14,14
babybeast,1,14,14,14
choices,1,14,14,14
bodybuildingcom,1,14,14,14
truth,2,27,41,20
fitness,2,34,48,24
muscle,1,14,14,14
backontrack,1,14,14,14
lookgood,1,14,14,14
beautiful,3,7,12,4
art,5,22,52,10
door,3,7,12,4
photo,3,7,12,4
photography,5,20,49,9
doorknob,3,7,12,4
perspective,3,7,12,4
ornate,3,7,12,4
love,15,35,200,13
old,3,7,12,4
latergram,7,7,32,4
cool,7,7,32,4
perfect,3,7,12,4
wooden,3,7,12,4
vintage,3,7,12,4
wow,7,7,32,4
detail,3,7,12,4
mirrored,3,7,12,4
stunning,3,7,12,4
wood,3,7,12,4
summer,6,18,47,7
win,4,6,20,5
fireworks,4,6,20,5
crackle,4,6,20,5
game,4,6,20,5
baseball,6,28,50,8
redhawks,8,28,70,8
boom,4,6,20,5
night,4,6,20,5
fun,4,6,20,5
loud,3,6,14,4
nd,3,9,24,8
featuremefog,1,20,20,20
picture,1,20,20,20
expofilm,1,20,20,20
portbox,1,20,20,20
bleachmyfilm,1,20,20,20
pentax,1,20,20,20
lotsabraids,1,20,20,20
featuresonny,1,20,20,20
pentaxk50,1,20,20,20
featuremeinstagood,2,44,64,32
ftmeval,1,20,20,20
unboxyourspirit,1,20,20,20
photograph,1,20,20,20
photographer,1,20,20,20
featuremeofh,1,20,20,20
ftwotww,1,20,20,20
ricoh,1,20,20,20
under3kyo,1,20,20,20
model,1,20,20,20
snapso,1,20,20,20
recital,1,8,8,8
hiphoptroupe,1,8,8,8
dillybar,1,4,4,4
butterscotchduh,1,4,4,4
gym,1,19,19,19
sunday,1,19,19,19
vf39,1,18,18,18
turbo,1,18,18,18
mn,1,18,18,18
stancenation,1,18,18,18
boosted,1,18,18,18
subielove,1,18,18,18
sti,1,18,18,18
subaru,1,18,18,18
nasioc,1,18,18,18
ethanol,1,18,18,18
japan,1,18,18,18
flat4whores,1,18,18,18
awd,1,18,18,18
flat4,1,18,18,18
carporn,1,18,18,18
subieflow,1,18,18,18
subarunation,1,18,18,18
e85,1,18,18,18
subie001,1,18,18,18
dtune,1,18,18,18
racecar,1,18,18,18
minnesota,1,18,18,18
carswithoutlimits,1,18,18,18
blobeye,1,18,18,18
mnsubaru,1,18,18,18
rallycar,1,18,18,18
boost,1,18,18,18
wrx,1,18,18,18
comment,2,16,27,13
like,2,16,27,13
frozen,2,16,27,13
elsa,2,16,27,13
disney,2,16,27,13
jackxelsa,2,16,27,13
perfection,3,16,36,12
follow,2,16,27,13
ship,2,16,27,13
jackfrost,2,16,27,13
jelsa,2,16,27,13
rotg,2,16,27,13
dreamworks,2,16,27,13
socality,2,44,75,37
socalitymidwest,1,31,31,31
livefolk,2,47,78,39
makersmovement,1,31,31,31
americanmade,1,31,31,31
makeithappen,1,31,31,31
liveauthentic,4,47,157,39
partofthestory,1,31,31,31
artists,1,31,31,31
themidwestival,2,35,66,33
makers,1,31,31,31
artiststudy,1,31,31,31
greatdanesofinstagram,1,14,14,14
northofnormal,1,14,14,14
greatdane,1,14,14,14
dogsofinstagram,1,14,14,14
blue,1,5,5,5
lipstick,1,5,5,5
