wordlist,countlist,maxlike,totallike,avelike
got,1,0,0,0
pennydreadful,1,0,0,0
siliconevalley,1,0,0,0
happyish,1,0,0,0
sundaynightritual,1,0,0,0
noobentertainment,4,12,12,3
wadeandlee,4,12,12,3
nba2k15,1,0,0,0
madden,1,0,0,0
nba,1,0,0,0
snipe,1,0,0,0
madden15,1,0,0,0
sellingmt,1,0,0,0
mut,1,0,0,0
snipecity,1,0,0,0
snipeking,1,0,0,0
mm,1,0,0,0
nfl,1,0,0,0
2ksports,1,0,0,0
maddenmobile,1,0,0,0
maddenmobileguy,1,0,0,0
mt,1,0,0,0
snipes,1,0,0,0
knunites,3,56,65,21
kathniel,3,56,65,21
kathrynbernardo,3,56,65,21
danielpadilla,3,56,65,21
swim,1,8,8,8
life,1,8,8,8
sunburn,1,8,8,8
fitgirl,1,8,8,8
sweet,1,8,8,8
sundayfunday,1,8,8,8
sunny,3,112,142,47
water,1,8,8,8
warm,1,8,8,8
beachday,3,65,131,43
sea,5,65,208,41
sand,1,8,8,8
mermaidlife,1,8,8,8
beachlife,1,8,8,8
ocean,4,65,136,34
tanlines,1,8,8,8
vacay,1,8,8,8
sunnysunday,1,8,8,8
fit,4,77,142,35
sun,1,8,8,8
girls,2,48,56,28
vacation,6,216,284,47
hot,2,48,56,28
closetpsycho,1,8,8,8
bikini,2,48,56,28
beachbunny,1,8,8,8
jetsetter,1,8,8,8
beach,9,65,321,35
mermaid,1,8,8,8
happy,5,48,90,18
stayoutcheea,1,6,6,6
kahanalunokaoi,1,6,6,6
shesfeelin22,1,2,2,2
birthdayadventure,1,2,2,2
wahoo,1,2,2,2
ono,1,2,2,2
catchwhatyoueat,1,2,2,2
hawaiian,3,83,92,30
spearfishing,1,2,2,2
summer,4,48,105,26
summerishere,1,2,2,2
skyporn,1,2,2,2
windward,1,2,2,2
hawaii,57,147,1679,29
bestbeach,1,2,2,2
bluehawaii,1,2,2,2
lanikai,2,147,149,74
kailua,1,2,2,2
lanikaibeach,1,2,2,2
luckywelivehawaii,9,91,466,51
hawaiisunset,1,2,2,2
waikiki,15,69,454,30
aloha,8,87,319,39
luckywelivehi,3,147,165,55
808,5,83,192,38
fullsail,1,5,5,5
boat,1,5,5,5
honolulu,9,65,242,26
sunday,1,5,5,5
dolphins,1,5,5,5
udon,2,42,43,21
wantmore,1,1,1,1
relationshipgoals,1,7,7,7
adventuresofjackieandtui,1,7,7,7
tvd,1,10,10,10
thevampirediaries,1,10,10,10
day156,1,10,10,10
project365,1,10,10,10
netflix,1,10,10,10
readlocation,1,32,32,32
homealoneaintfun,1,32,32,32
kikisthesameasmyigname,1,32,32,32
hawaii2015,1,3,3,3
waikikibeach,1,3,3,3
oahu,12,65,277,23
삼겹살,1,1,1,1
스테이크,1,1,1,1
icecream,2,51,52,26
calirockinsushi,1,1,1,1
myfavehello,1,1,1,1
mysaddestbye,1,1,1,1
favoriteperson,1,1,1,1
deepfried,1,1,1,1
honolulupride,3,21,21,7
hulas,1,0,0,0
tidepools,1,4,4,4
hawaiiparadise,1,4,4,4
alohasunday,1,4,4,4
beautiful,3,25,59,19
wedding,1,12,12,12
namaste,2,38,54,27
yogadaily,2,77,93,46
healthylifestyle,2,77,93,46
yogagram,2,77,93,46
childspose,1,16,16,16
inversion,1,16,16,16
strength,1,16,16,16
yoga,2,77,93,46
loveyourpractice,2,77,93,46
yogalove,3,77,167,55
yogapower,1,16,16,16
handstand365,1,16,16,16
igyogi,3,77,167,55
asana,2,77,93,46
instayoga,2,77,93,46
yogabeyond,2,77,93,46
om,1,16,16,16
igyoga,2,77,93,46
handstand,1,16,16,16
balasana,1,16,16,16
noms,1,7,7,7
repost,2,28,35,17
tantalus,1,7,7,7
parrot,1,7,7,7
forest,1,7,7,7
flex,1,41,41,41
motivation,1,41,41,41
aesthetics,1,41,41,41
train,1,41,41,41
gym,2,43,84,42
aesthetic,1,41,41,41
teambergerfitnesswarrior,1,41,41,41
cleaneating,1,41,41,41
teammaxmusclehawaii,1,41,41,41
contestprep,1,41,41,41
pecs,1,41,41,41
weightlifting,1,41,41,41
npc,1,41,41,41
bodybuilding,1,41,41,41
mealprep,1,41,41,41
inspiration,2,41,66,33
bikinicompetitor,1,41,41,41
squat,1,41,41,41
6pack,1,41,41,41
onlinecoaching,1,41,41,41
cardio,1,41,41,41
physique,1,41,41,41
shesquats,1,41,41,41
fitnessfreak,1,41,41,41
abs,1,41,41,41
fitnessamazon,1,41,41,41
muscle,1,41,41,41
workout,1,41,41,41
instafit,1,41,41,41
하와이,2,12,13,6
바베큐,1,1,1,1
散歩,2,7,13,6
可愛い,1,6,6,6
セラピードッグ,1,6,6,6
talesofalab,1,6,6,6
アロハ,1,6,6,6
dog_of_instagram,1,6,6,6
写真,1,6,6,6
dailylab,1,6,6,6
保護犬,1,6,6,6
labradorable,1,6,6,6
instalab,1,6,6,6
ハワイ,7,1305,2609,372
ハッピー,1,6,6,6
癒し,1,6,6,6
instadogs,1,6,6,6
doglover,1,6,6,6
petscorner,1,6,6,6
ペット,1,6,6,6
犬,1,6,6,6
犬部,1,6,6,6
dogsoftheworld,1,6,6,6
lovedogs,1,6,6,6
topdogphoto,1,6,6,6
海,2,27,33,16
南国,1,6,6,6
webstagram,1,6,6,6
イルカ,1,6,6,6
photooftheday,1,6,6,6
gopro,3,18,36,12
nofilter,1,13,13,13
selfiesunday,1,13,13,13
yokohamabay,3,1,3,1
leewardcoast,3,1,3,1
yassssss,1,12,12,12
coffee,1,12,12,12
love,1,12,12,12
baristalife,1,12,12,12
lovelife,1,12,12,12
purealoha,1,12,12,12
sbuxhawaii,1,12,12,12
tobeapartner,1,12,12,12
latepost,1,28,28,28
sistersunday,1,28,28,28
yaaas,1,0,0,0
hbdiry,1,18,18,18
hihero3,1,18,18,18
gin,1,4,4,4
negroniweek,1,4,4,4
campari,1,4,4,4
alcohol,1,4,4,4
vermouth,1,4,4,4
8ヶ月,1,1,1,1
ベビ連れ海外旅行,1,1,1,1
yuma_osaki,1,1,1,1
babyboy,1,1,1,1
ホノルル動物園,1,1,1,1
9月生まれ,1,1,1,1
waikikibeachwalls,1,2,2,2
wallrats,1,2,2,2
perfect,1,25,25,25
healthygainz,1,25,25,25
domoresuckless,1,25,25,25
doworkbeepic,1,25,25,25
bulkingnatural,1,25,25,25
onemembershipfivelocations,1,25,25,25
weloveourcrossfitoahufamily,1,25,25,25
since2006,1,25,25,25
yourwelcome,1,25,25,25
🐋🐊💗,1,20,20,20
wellonlysheboughtstuff,1,20,20,20
izzislim,1,20,20,20
brokebitch,1,20,20,20
brilliant,1,7,7,7
genius,1,7,7,7
lightbulb,1,7,7,7
smartypants,1,7,7,7
toomanyhashtags,1,27,27,27
moving,1,27,27,27
embassysuites,1,27,27,27
cruise,1,27,27,27
party,1,27,27,27
saturday,2,27,34,17
toast,1,51,51,51
foodporn,1,51,51,51
honeytoast,1,51,51,51
dessert,2,51,57,28
awesome,1,51,51,51
japanese,1,51,51,51
yum,2,95,146,73
shokudo,1,51,51,51
firsttimer,1,51,51,51
familyfirst,1,51,51,51
100,1,51,51,51
sweetaddiction,1,20,20,20
mochiicecream,1,20,20,20
cococove,1,20,20,20
mochi,1,20,20,20
ilovehawaii,2,216,236,118
alohabeaches,1,20,20,20
sweetfix,1,20,20,20
surf,3,65,161,53
diamondhead,2,38,60,30
freepeople,1,38,38,38
flying,1,38,38,38
gypsy,1,38,38,38
tadasana,1,38,38,38
babyg,1,38,38,38
biggerheart,1,38,38,38
staygold,1,38,38,38
missingmyfam,1,38,38,38
likeit,1,13,13,13
lemonade,1,13,13,13
organic,2,13,20,10
kcc,2,13,20,10
tiger,1,20,20,20
warthunder,1,20,20,20
tank,1,20,20,20
ps4,1,20,20,20
vsco,2,147,175,87
vscocam,3,147,244,81
hawaiiwedding,2,1305,2520,1260
オーダーメイドフォトウエディング,2,1305,2520,1260
thesweetcloset,2,1305,2520,1260
childinthebackground,1,216,216,216
thanks,1,216,216,216
art,2,42,49,24
applestore,1,23,23,23
electronics,1,23,23,23
bamboolpcomingsoon,1,49,49,49
waiwai,1,49,49,49
kahuwaiiki,1,49,49,49
rootsie,1,49,49,49
asantesana,1,49,49,49
manoamemoirs,1,49,49,49
iolanigraduationparking🎓❤️,1,92,92,92
allforkaimukiathletics💚💛🐶🏀🏈🎾⚽️🏆,1,92,92,92
bubbagumpshrimp,1,7,7,7
forestgump,1,7,7,7
roys,1,69,69,69
soooofetnow,1,69,69,69
soba,1,69,69,69
alohaainapoicompany,1,16,16,16
hifinest,1,16,16,16
supporthawaiianbusinesses,1,16,16,16
shoplocal,1,16,16,16
royalty,1,7,7,7
hawaiinei,1,7,7,7
queenkapiolani,1,7,7,7
96815today,1,7,7,7
donquijotekaheka,1,5,5,5
安部姉妹,1,34,34,34
ドライブ,1,34,34,34
最高の休暇,1,34,34,34
hawaiiに住みたい,1,34,34,34
声激似,1,34,34,34
woot,1,119,119,119
atleastmyeyebrowsonfleek,1,119,119,119
grad2k15,1,119,119,119
ejuice,1,28,28,28
