wordlist,countlist,maxlike,totallike,avelike
teamultron,1,0,0,0
gordonhasanswers,2,3,3,1
peppersolvespluzzles,4,3,6,1
clowninchronicles,5,3,8,1
thereisnooffseason,1,0,0,0
bannerbuildsbeats,3,2,3,1
starkleavesclues,6,3,9,1
basedonatruestory,5,3,7,1
repost,1,0,0,0
icouldlayinbedforhours,1,2,2,2
whosstilluponasunday,1,2,2,2
cute,1,29,29,29
instanight,1,29,29,29
babe,1,29,29,29
bed,1,29,29,29
realtalk,1,29,29,29
tired,1,29,29,29
quote,1,29,29,29
blanket,1,29,29,29
night,1,29,29,29
sleeping,1,29,29,29
tumblr,1,29,29,29
goodnight,3,29,46,15
sleep,2,35,64,32
sleepingbeauty,1,29,29,29
follow4follow,1,29,29,29
grunge,1,29,29,29
girl,1,29,29,29
true,1,29,29,29
qotd,1,29,29,29
like4like,1,29,29,29
tflers,1,29,29,29
like,1,29,29,29
lol,1,29,29,29
instagood,1,29,29,29
sweetdreams,1,29,29,29
potd,1,29,29,29
disney,1,29,29,29
l4l,1,29,29,29
lightening,1,6,6,6
slomo,1,6,6,6
fuckher,1,7,7,7
bestfriend,1,7,7,7
lmao,1,7,7,7
pissedoff,1,7,7,7
gn,2,10,17,8
baeless,2,10,17,8
weighday,1,18,18,18
thatsawrap,1,18,18,18
fitbitcharge,3,35,78,26
water,3,35,78,26
weightlossjourney,3,35,78,26
fitbit,3,35,78,26
ketosis,3,35,78,26
keto,3,35,78,26
teamchubbyunicorn,3,35,78,26
challenge,3,35,78,26
sorryaboutthat,1,18,18,18
kickass,1,18,18,18
weightloss,3,35,78,26
1,1,18,18,18
steps,3,35,78,26
livelightclinic,3,35,78,26
trusttheprocess,3,35,78,26
bbq,1,18,18,18
beautyguru,1,160,160,160
boymakeup,1,160,160,160
makeup,1,160,160,160
youtube,1,160,160,160
makeuptutorial,1,160,160,160
lucasoil,1,16,16,16
home,1,16,16,16
indy,2,20,36,18
delta,1,16,16,16
agetubeatin,1,0,0,0
thatcheatin,1,0,0,0
fuckamidoing,1,10,10,10
dm,1,10,10,10
ineedabae,1,10,10,10
baehours,1,10,10,10
blah,2,34,44,22
studsarelife,1,10,10,10
wheresheat,1,10,10,10
imgay,2,34,44,22
bored,2,34,44,22
kikme,1,10,10,10
imfunny,1,10,10,10
life,2,61,96,48
art,2,66,127,63
indie,2,66,127,63
survival,1,61,61,61
inks,1,61,61,61
sketchcard,1,61,61,61
dreadlocks,1,61,61,61
daffy,1,61,61,61
wtf,1,61,61,61
artwork,3,66,162,54
hero,1,61,61,61
acrylicinks,1,61,61,61
dredlok,2,66,127,63
death,1,61,61,61
whitegelpen,1,61,61,61
greytones,1,61,61,61
dred,1,61,61,61
storenvy,1,61,61,61
comicbooks,2,66,127,63
indiainks,1,61,61,61
scifi,1,61,61,61
protagonist,1,61,61,61
artsauce,2,66,127,63
dreadlife,1,61,61,61
toocute,1,0,0,0
catalina,1,0,0,0
gastroschisissurvivor,1,0,0,0
babydiva,1,0,0,0
poolside,1,0,0,0
shakeitoff,1,5,5,5
sorrynotsorry,1,5,5,5
familytime,1,13,13,13
outing,1,13,13,13
ramirezfamily,1,13,13,13
wifeyanddaughter,1,13,13,13
liveindy,2,14,25,12
workin,1,14,14,14
itswhatever,1,34,34,34
girlswholikegirls,1,34,34,34
wholikegirls,1,34,34,34
doubletap,1,34,34,34
dtifyourgay,1,34,34,34
latenight,1,34,34,34
lgbt,1,34,34,34
whoup,1,34,34,34
dt,1,34,34,34
ineedfriends,1,34,34,34
slappin,1,11,11,11
clace,4,35,114,28
shadowhunters,6,35,168,28
jacewayland,2,31,57,28
claryfray,2,31,57,28
unkstattoos,4,45,119,29
turnup,1,45,45,45
aleclightwood,1,35,35,35
simonlewis,1,19,19,19
summer,1,33,33,33
wlygd,1,33,33,33
love,2,33,48,24
family,3,97,145,48
personal,1,33,33,33
self,1,33,33,33
igboys,1,33,33,33
nofilter,1,33,33,33
beard,1,33,33,33
girlpower,1,66,66,66
sketch,2,66,101,50
bluelead,1,66,66,66
creatorowned,1,66,66,66
draw,1,66,66,66
skarlette,1,66,66,66
bluepencil,1,66,66,66
mechanicalpencil,1,66,66,66
blue,1,66,66,66
warmup,1,66,66,66
mayoandbread,1,66,66,66
sketching,1,66,66,66
drawing,1,66,66,66
mayonnaiseandbread,1,66,66,66
sequentialart,1,66,66,66
nature,2,37,72,36
photo,1,37,37,37
photography,1,37,37,37
whatever,1,37,37,37
roughday,1,37,37,37
outside,1,37,37,37
backyard,1,37,37,37
brick,1,37,37,37
flowers,1,37,37,37
saturday,1,37,37,37
petstagram,1,35,35,35
catstagram,1,35,35,35
animal,1,35,35,35
sweet,1,35,35,35
kitty,1,35,35,35
catlover,1,35,35,35
instacat,1,35,35,35
catlovers,1,35,35,35
kittens,1,35,35,35
petsagram,1,35,35,35
kitten,1,35,35,35
picpets,1,35,35,35
ilovemycat,1,35,35,35
pet,1,35,35,35
instapets,1,35,35,35
catsofinstagram,1,35,35,35
cat,1,35,35,35
ilovemypet,1,35,35,35
meow,1,35,35,35
cats,1,35,35,35
pets,1,35,35,35
cutie,1,35,35,35
followme,1,35,35,35
rooftopthursdays,1,20,20,20
indyybp,1,20,20,20
21guns,1,0,0,0
greenday,1,0,0,0
coolin,1,22,22,22
bruh,1,22,22,22
trb_ipoft_signs,1,66,66,66
igersindiana,2,66,103,51
igersindy,2,66,103,51
keepindyindie,1,66,66,66
rous_roadsigns,1,66,66,66
signgeeks,1,66,66,66
indy_bnw,1,66,66,66
thedistrict,1,15,15,15
foe,1,15,15,15
metro,1,15,15,15
vscogood,3,46,98,32
vscocam,3,46,98,32
adopt,1,97,97,97
adoption,2,101,198,99
brotherlylove,2,101,198,99
netcarbs,2,35,60,30
onpoint,1,35,35,35
disappointed,1,35,35,35
hookie,1,35,35,35
carbs,2,35,60,30
success,2,35,60,30
screenshots,2,35,60,30
calories,2,35,60,30
brothers,1,101,101,101
stanleycupfinal,1,8,8,8
onegoal,1,8,8,8
blackhawks,1,8,8,8
afterlight,2,46,83,41
vsco,2,46,83,41
justwaitonit,1,46,46,46
tbt,1,46,46,46
goldengatebridge,1,46,46,46
sunset,2,46,83,41
tripcomingsoon,1,46,46,46
flashback,1,46,46,46
landscape,2,46,83,41
dekuleaf,4,27,92,23
dungeons,3,23,65,21
gamecube,6,27,129,21
ww,6,27,129,21
game,6,27,129,21
gc,6,27,129,21
key,1,21,21,21
nintendo,7,35,164,23
earthtemple,4,27,92,23
zeldaww,6,27,129,21
zeldatricks,5,27,111,22
dungeon,3,23,65,21
smallkey,1,21,21,21
timesavers,5,27,111,22
leaf,4,27,92,23
tricks,5,27,111,22
zelda,6,27,129,21
gcn,6,27,129,21
games,6,27,129,21
tww,6,27,129,21
boomerang,1,21,21,21
windwaker,6,27,129,21
bomb,1,27,27,27
miniboss,1,27,27,27
explosives,1,27,27,27
mirrorshield,1,27,27,27
damage,1,27,27,27
stalfo,1,27,27,27
bombs,1,27,27,27
medli,3,23,62,20
chuchus,1,23,23,23
block,1,23,23,23
leafpumping,1,21,21,21
korl,1,18,18,18
zeldaglitches,1,18,18,18
glitched,1,18,18,18
textstorage,1,18,18,18
glitching,1,18,18,18
glitch,1,18,18,18
glitches,1,18,18,18
kingofredlions,1,18,18,18
windwakerdive,1,18,18,18
cameralock,1,18,18,18
zeldaglitch,1,18,18,18
iceringisle,2,19,37,18
storage,1,18,18,18
zeldaglitchs,1,18,18,18
windwakerdiving,1,18,18,18
superswim,1,18,18,18
treasurechest,1,19,19,19
treasure,1,19,19,19
timer,1,19,19,19
chest,1,19,19,19
ironboots,1,19,19,19
wind,1,19,19,19
inkologist,3,32,74,24
inktherapy,3,32,74,24
copicart,1,35,35,35
spyke,1,35,35,35
splatoon,1,35,35,35
doodle,1,35,35,35
smackdoodledoo,1,35,35,35
wiiu,1,35,35,35
kelloggreunion,1,12,12,12
indyvisitors,1,12,12,12
ninjaturtles,3,16,24,8
spacer,2,6,8,4
suicidal,1,16,16,16
tmnt,2,16,22,11
depressed,1,16,16,16
emo,1,16,16,16
scars,1,16,16,16
punk,1,16,16,16
scene,1,16,16,16
sad,1,16,16,16
selfharmmm,1,16,16,16
sceneteen,1,16,16,16
emoteen,1,16,16,16
michelangelo,1,6,6,6
mutant,1,6,6,6
donnie,1,6,6,6
teenage,1,6,6,6
leo,1,6,6,6
donatello,1,6,6,6
raph,1,6,6,6
ninja,1,6,6,6
teenagemutantninjaturtles,1,6,6,6
turtles,1,6,6,6
mikey,1,6,6,6
raphael,1,6,6,6
leonardo,1,6,6,6
instahub,1,37,37,37
igersmidwest,1,37,37,37
contrails,1,37,37,37
igers,1,37,37,37
rickjamesvoice,1,37,37,37
skygram,1,37,37,37
putyourmindtooit,1,37,37,37
skyscape,1,37,37,37
instagramhub,1,37,37,37
epiphone,1,62,62,62
gearpassion,1,62,62,62
strymonengineering,1,62,62,62
sheraton,1,62,62,62
timeline,1,62,62,62
gearwire,1,62,62,62
voxac15,1,62,62,62
tcelectronics,1,62,62,62
gearnerds,1,62,62,62
geartalk,1,62,62,62
blackbeacon,1,62,62,62
ambientnotes,1,62,62,62
dittox2,1,62,62,62
unreleased,1,62,62,62
clublive,2,16,21,10
work,1,16,16,16
foxcanfixit,1,5,5,5
11tvs,1,5,5,5
