wordlist,countlist,maxlike,totallike,avelike
vizionarymusicgroup,1,7,7,7
july2015,1,7,7,7
esodrevo,1,7,7,7
drevo,1,7,7,7
roadtoesodrevo,1,7,7,7
thealbum,1,7,7,7
vmgsoa,1,7,7,7
jokes,1,36,36,36
love,4,342,436,109
bass,1,36,36,36
catchoftheday,1,36,36,36
bassproshop,1,36,36,36
fish,1,36,36,36
closure,2,48,52,26
stormeididit,1,48,48,48
braidless,1,48,48,48
virginhair,7,48,121,17
sewin,3,48,94,31
flipshair,5,48,102,20
peruvianhair,5,48,74,14
quickflips,3,48,62,20
silkbase,1,4,4,4
weaves,4,37,60,15
vinilla,1,9,9,9
chocolate,1,9,9,9
beauty,11,16,140,12
arianagrande,11,16,140,12
arianagrandequote,11,16,140,12
grande,11,16,140,12
mileycyrus,11,16,140,12
whytry,11,16,140,12
moonlightprincess,11,16,140,12
lovatics,11,16,140,12
myeverything,11,16,140,12
dreamer,11,16,140,12
byhrb,11,16,140,12
bestmistake,11,16,140,12
moonlight,11,16,140,12
bemybb,11,16,140,12
directioner,11,16,140,12
arianator,11,16,140,12
butera,11,16,140,12
zaynmalik,11,16,140,12
blurredhighlights,3,3,5,1
redken,1,1,1,1
olaplex,3,3,5,1
colorist,3,3,5,1
awesomestylist,2,3,6,3
pravana,3,3,7,2
cavalierkingcharlesspaniel,1,33,33,33
cavalierkingcharles,1,33,33,33
unicornhair,1,3,3,3
june20,1,0,0,0
weddingbells,1,0,0,0
cheers,1,3,3,3
saltydog,1,3,3,3
vipstatus,1,3,3,3
dogsofinstagram,2,179,189,94
retrieversofinstagram,1,179,179,179
puppygram,1,179,179,179
dog,1,179,179,179
goldenretrievers,1,179,179,179
goldenretrieverpuppies,1,179,179,179
retriever,1,179,179,179
pup,1,179,179,179
golden_retrievers123,1,179,179,179
puppysketch,1,179,179,179
retrieversgram,1,179,179,179
retrievers,1,179,179,179
goldens_ofinstagram,1,179,179,179
goldenretrieversofinstagram,1,179,179,179
petsofinstagram,1,179,179,179
goldensofinstagram,1,179,179,179
goldenretrieverpuppy,1,179,179,179
goldenretriever,1,179,179,179
blondegoldens,1,179,179,179
puppies,1,179,179,179
puppy,1,179,179,179
dogs,1,179,179,179
mydogiscute,1,179,179,179
gloriousgoldens,1,179,179,179
prescriptionwedding2015,1,11,11,11
lookingfancy,1,11,11,11
raw,1,28,28,28
eattherainbow,1,28,28,28
wholesome,1,28,28,28
plantbased,1,28,28,28
vegansofig,1,28,28,28
instakale,1,28,28,28
veganfood,1,28,28,28
plantpowered,1,28,28,28
whatveganseat,1,28,28,28
vegan,1,28,28,28
clean,1,28,28,28
instavegan,1,28,28,28
rez,1,27,27,27
lolz,1,27,27,27
goatisland,1,27,27,27
summer2k15,1,27,27,27
hizandherz💕,1,131,131,131
painkillers,1,131,131,131
hamradioporn,1,46,46,46
antennatuner,1,46,46,46
hamradio,2,46,84,42
kx1,2,46,84,42
