wordlist,countlist,maxlike,totallike,avelike
art,6,25,96,16
staystrong,5,25,75,15
bands,5,25,75,15
themedevider,5,25,75,15
followforfollow,5,25,75,15
theme,5,25,75,15
likeforlike,5,25,75,15
spamforspam,5,25,75,15
proudwife,1,1,1,1
besthusband,1,1,1,1
pogopalooza,4,89,204,51
breakingworldrecordsallday,1,1,1,1
thankful,1,1,1,1
coqauvinriesling,2,12,13,6
turquoise,1,31,31,31
fashion,1,31,31,31
instasmithy,1,31,31,31
nativeamerican,1,31,31,31
nature,1,31,31,31
instalike,2,32,63,31
statementring,1,31,31,31
sterlingsilver,1,31,31,31
gypsy,1,31,31,31
jewelrydesign,1,31,31,31
necklace,1,31,31,31
follow,1,31,31,31
ring,1,31,31,31
etsy,1,31,31,31
gem,1,31,31,31
metalsmith,1,31,31,31
jewelry,1,31,31,31
silversmith,1,31,31,31
shophandmade,1,31,31,31
handmade,2,31,57,28
riojeweler,1,31,31,31
boho,1,31,31,31
royston,1,31,31,31
cuff,1,31,31,31
jotd,1,31,31,31
pretty,1,31,31,31
macdesigns,1,31,31,31
picoftheday,4,91,171,42
pendant,1,31,31,31
crunk,1,2,2,2
moonshine,1,2,2,2
budheavy,1,2,2,2
tincture,1,2,2,2
leo,1,21,21,21
zodiac,1,21,21,21
zodiacsign,1,21,21,21
kingjamesversion,2,18,24,12
youversion,2,18,24,12
bibleinoneyear,2,18,24,12
follow4follow,2,18,24,12
bibleverse,2,18,24,12
bibleapp,2,18,24,12
verseaday2015,2,18,24,12
verseoftheday,2,18,24,12
goodnewsbible,2,18,24,12
basicinstructionbeforeleavingearth,2,18,24,12
browninkus,2,18,24,12
verseaday,2,18,24,12
followme,3,32,56,18
christianity,2,18,24,12
gnb,2,18,24,12
spiritualcoffee,2,18,24,12
wordoftheday,2,18,24,12
kjv,2,18,24,12
f4f,2,18,24,12
bibleplanning,2,18,24,12
bioy,2,18,24,12
scripture,2,18,24,12
piccollage,2,18,24,12
favoriteplayerbelike,1,1,1,1
almosttothegold,1,1,1,1
2015,2,15,21,10
welcometorockville,1,6,6,6
wesurvived,1,6,6,6
musicfestival,1,6,6,6
throwback,1,6,6,6
isurvived,1,6,6,6
firstdance,1,21,21,21
itsofficial,1,21,21,21
married,1,21,21,21
mrandmrsmurphy,1,21,21,21
husbandandwife,1,21,21,21
wedding,1,21,21,21
lovehim,1,21,21,21
themurphywedding6615,1,21,21,21
spotlight,1,21,21,21
weddinggown,1,21,21,21
love,4,26,62,15
clothingline,1,26,26,26
newyork,1,26,26,26
florida,8,29,147,18
weddings,1,26,26,26
wives,1,26,26,26
couples,1,26,26,26
marriedlife,1,26,26,26
tshirts,1,26,26,26
atlanta,1,26,26,26
jacksonville,15,151,484,32
snapbacks,1,26,26,26
relationships,1,26,26,26
husbands,1,26,26,26
georgia,4,26,32,8
grooveinthegarden2015,1,26,26,26
miami,2,36,62,31
duval,4,111,179,44
orlando,1,26,26,26
marriedlifeclothing,1,26,26,26
thatsmybestfriend,1,26,26,26
cali,1,26,26,26
jazzinthegardens2015,1,26,26,26
marriage,1,26,26,26
essencefestival,1,26,26,26
texas,1,26,26,26
supreme,1,17,17,17
developement,1,17,17,17
bold,1,17,17,17
healthylife,1,17,17,17
defined,1,17,17,17
instahealth,1,17,17,17
likeforfollow,1,17,17,17
empowerment,1,17,17,17
malemodel,1,17,17,17
adult,1,17,17,17
wisdom,1,17,17,17
confidence,1,17,17,17
strength,2,21,38,19
bestfriend,1,17,17,17
healthy,1,17,17,17
guidance,1,17,17,17
malephysique,1,17,17,17
health,1,17,17,17
fitness,1,17,17,17
instashot,1,17,17,17
bestoftheday,1,17,17,17
pouletriesling,1,12,12,12
ig_eurasia,1,22,22,22
special_shots,1,22,22,22
i❤️jax,1,22,22,22
ig_mood,1,22,22,22
dazzling_shots,1,22,22,22
memorialpark,2,65,87,43
gopropeople,1,22,22,22
nikontop,1,22,22,22
igworlddreams,1,22,22,22
onlyinduval,5,22,71,14
ig_exquisite,1,22,22,22
trophy,1,22,22,22
ig_worldclub,1,22,22,22
dtjax,11,641,845,76
ig_great_shots,1,22,22,22
instagood,4,63,123,30
splendid_urban,1,22,22,22
gopro,1,22,22,22
p1superstock,1,22,22,22
roamflorida,1,22,22,22
powerboatp1,1,22,22,22
ig_best_shots,1,22,22,22
powerboat,1,22,22,22
igersjax,22,641,1485,67
ig_addicts,1,22,22,22
beautiful,1,21,21,21
picture,1,21,21,21
likesforlikes,1,21,21,21
brave,1,21,21,21
figure,1,21,21,21
bestpicture,1,21,21,21
sanmarco,3,22,56,18
thecommunitysunrise,1,21,21,21
power,1,21,21,21
iphone6,1,21,21,21
pictureoftheday,1,21,21,21
lions,1,21,21,21
landscape,2,22,43,21
animal,1,21,21,21
vscocam,3,63,93,31
fun,3,32,59,19
photoshoot,1,21,21,21
betrayalathouseonthehill,1,1,1,1
tabletop,1,1,1,1
voodoo,3,29,62,20
power1000jamz,1,25,25,25
marina,1,2,2,2
oldestcity,1,2,2,2
bridgeoflions,1,2,2,2
staugustine,1,2,2,2
lovejax,1,13,13,13
visitjax,2,13,21,10
light,1,13,13,13
townieweekend,4,13,29,7
lovefl,3,25,46,15
voidlive,2,37,50,25
riverside,5,13,35,7
edisonbulb,1,13,13,13
dirtysouth,2,33,57,28
iseedeadpeople,1,33,33,33
porchlife,1,33,33,33
historicalhouse,1,33,33,33
deejaycapone,1,36,36,36
djcapone,1,36,36,36
lean,1,36,36,36
305,1,36,36,36
joeycrack,1,36,36,36
fatjon,1,36,36,36
music,2,36,44,22
party,3,36,80,26
nowplaying,2,4,5,2
alone,1,4,4,4
iheartradio,2,4,5,2
gotone,1,4,4,4
riversidenights,1,10,10,10
goodvibes,2,32,42,21
roomies,1,10,10,10
naenae,1,10,10,10
firstcousins,1,24,24,24
cotondetulear,1,50,50,50
coton,1,50,50,50
cantsitwithus,1,249,249,249
styledbyzell,1,249,249,249
gemini,2,58,86,43
birthdaybash,2,58,86,43
pourup,3,58,114,38
happybirthday,1,16,16,16
whatcouch,2,16,32,16
turnmeup,1,28,28,28
bff,1,30,30,30
dirty30,4,30,87,21
cousin,1,151,151,151
happy,2,151,157,78
двоюроднаясестра,1,151,151,151
basketball,1,8,8,8
elitehawks,1,8,8,8
family,12,22,121,10
tourneytime,1,8,8,8
intuition,3,22,57,19
30,3,22,57,19
beer,4,28,85,21
904happyhour,4,37,94,23
drews30th,3,22,57,19
ilovejax,12,641,847,70
celebrate,3,22,57,19
friends,2,22,28,14
jax,3,22,37,12
marks,5,18,36,7
catsofinstagram,1,9,9,9
caturday,1,9,9,9
tabby,1,9,9,9
alleycakes,1,13,13,13
mustache,1,13,13,13
hoodniccas,1,16,16,16
birthday,1,22,22,22
proud,2,16,31,15
likeaboss,1,16,16,16
cloglife,1,16,16,16
bainbridgega,3,3,6,2
ent55,1,56,56,56
presentingthepollards,3,56,114,38
singinginthebackground,1,56,56,56
myoneandonlyfive,1,56,56,56
danceallnight,1,13,13,13
ridingdirty,1,13,13,13
saturday,1,13,13,13
twirl,1,13,13,13
matronofhonor,2,31,58,29
donttellanyone,1,6,6,6
ssshhhhh,1,6,6,6
myprideandjoy,1,21,21,21
putourchildrenfirst,1,21,21,21
nodeadbeatdads,1,21,21,21
deaconanddaddyday,1,21,21,21
prouddaddy,1,21,21,21
mylifemypurpose,1,21,21,21
everythingforhim,1,21,21,21
sadsarinboys,1,21,21,21
mylilgraduate,1,21,21,21
watercolor,1,57,57,57
feelingthis,1,57,57,57
blink182,1,57,57,57
wip,1,57,57,57
tattooflash,1,57,57,57
grimreaper,1,57,57,57
copic,1,57,57,57
theguru,2,5,8,4
fridaynightgroove,2,5,8,4
itsallaboutthemusic,2,5,8,4
theguruexperience,2,5,8,4
acd,2,5,8,4
squadgoals,1,17,17,17
hairflips4dayz,1,17,17,17
whoworeitbetter,1,17,17,17
wacomcintiq,1,91,91,91
touchscreen,1,91,91,91
goodchoice,1,91,91,91
loveit,1,91,91,91
wacom,1,91,91,91
connectandcreate,1,91,91,91
stylus,1,91,91,91
nextlevelshit,1,91,91,91
design,1,91,91,91
cintiq,1,91,91,91
designlife,1,91,91,91
crux904,1,91,91,91
cruxtoys,1,91,91,91
tgif,1,91,91,91
slick,1,91,91,91
lol,3,91,97,32
creative,1,91,91,91
cruxcollective,1,91,91,91
graphictablet,1,91,91,91
graphicdesign,1,91,91,91
cintiqhdtouch,1,91,91,91
smartbuy,1,91,91,91
youbetterbeliveit,1,10,10,10
magic,1,10,10,10
moneyflow,1,10,10,10
concerned,1,8,8,8
water,1,8,8,8
h2o,1,8,8,8
jea,1,8,8,8
needrain,1,8,8,8
watershortage,1,8,8,8
conservation,1,8,8,8
drought,1,8,8,8
coj,1,8,8,8
public,1,8,8,8
toinfinityandbeyond,1,15,15,15
100realclothing,8,18,61,7
hourglasspub,1,28,28,28
girls,1,28,28,28
scaryclown,1,28,28,28
pool,1,28,28,28
hourglassjax,1,28,28,28
galatians,1,18,18,18
shoplocal,2,60,86,43
cocktail,1,26,26,26
mixingcups,1,26,26,26
fathersday,1,26,26,26
gifts,1,26,26,26
glass,1,26,26,26
apothecary,1,26,26,26
craftglass,1,26,26,26
glassblowing,1,26,26,26
hotglass,1,26,26,26
craftcocktails,1,26,26,26
🔥🍹,1,26,26,26
seeingitinperson,1,26,26,26
burntglassworks,1,26,26,26
hemmingpark,1,26,26,26
costumeparty,1,8,8,8
bunny,1,8,8,8
turnt,1,8,8,8
wallstreet,2,22,41,20
showmethemtitties,1,22,22,22
skinnygirldrink,1,22,22,22
randombackgroundguy,1,19,19,19
nofilter,4,25,78,19
broshake,1,19,19,19
comecleantour,1,25,25,25
real,1,25,25,25
gutta,1,25,25,25
rep,1,25,25,25
thecomecleantour,1,25,25,25
beardgang,1,25,25,25
comeclean,1,25,25,25
squad,1,25,25,25
5starcertified,1,25,25,25
new,1,25,25,25
true,1,25,25,25
wakeupflorida,1,25,25,25
nomakeup,2,19,34,17
lips,1,15,15,15
mua,2,19,34,17
noeyelashextensions,1,15,15,15
selfie,2,19,34,17
thecuteness,2,19,34,17
teen,1,19,19,19
nolie,1,8,8,8
clearandbrightasmountainair,1,9,9,9
asrefreshingasitsname,1,9,9,9
clubvoodoo,1,29,29,29
24hourliberty,1,29,29,29
guysnightout,1,29,29,29
clubbing,1,29,29,29
hooyah,1,29,29,29
thelanding,1,29,29,29
navy,1,29,29,29
marines,1,29,29,29
backofcamera,2,8,13,6
concert,2,8,13,6
thecougarbarrel,2,8,13,6
1904musichall,3,14,27,9
food,1,12,12,12
foodie,1,12,12,12
foodporn,1,12,12,12
foodgasm,1,12,12,12
foodpics,1,12,12,12
meemeetvjax,3,13,32,10
tonightwithjim,3,13,32,10
blackout,1,6,6,6
bestfriends,1,89,89,89
vurtego,2,100,189,94
comininhot,1,89,89,89
goonplatoonpodium,1,89,89,89
xpogo,3,100,277,92
blessedlife,2,100,189,94
baby,1,10,10,10
remy,1,10,10,10
sleepinglikeababy,1,10,10,10
babybuddha,1,10,10,10
mshack,1,9,9,9
eyes,1,9,9,9
gooddog,1,9,9,9
dogsofinsta,1,9,9,9
lottielu,1,9,9,9
dogs,1,9,9,9
fridaynight,1,9,9,9
awesome,1,5,5,5
highjump,1,100,100,100
worldrecord,1,100,100,100
firsttry,2,100,188,94
guinnessworldrecord,1,100,100,100
boothang,1,6,6,6
thestatusfaux,1,6,6,6
nsfw,1,12,12,12
sorryboutit,1,12,12,12
yamaha,1,65,65,65
p1aquax,1,65,65,65
rivaracing,1,65,65,65
deansteam,1,65,65,65
rivateam,1,65,65,65
repost,1,65,65,65
flawless,1,16,16,16
wewokeuplikethis,1,16,16,16
jackedbiceps,1,68,68,68
13thsouthboys,1,68,68,68
