wordlist,countlist,maxlike,totallike,avelike
kc,17,42,239,14
pixlr,1,1,1,1
halfmarathon,1,1,1,1
friendsmakeeverythingbetter,1,1,1,1
hospitalhillrun,1,1,1,1
hhr2015,1,1,1,1
mybellylookshuge,1,1,1,1
17w,1,1,1,1
pastels,1,4,4,4
kansascity,34,772,1876,55
artwalk,1,4,4,4
handm,1,4,4,4
firstfridays,6,120,172,28
skyline,2,22,26,13
cheezin,1,4,4,4
cityscape,2,22,26,13
boyfriend,1,4,4,4
beard,2,30,34,17
zoomzoom,1,4,4,4
ba,1,4,4,4
promolife,1,4,4,4
promo,1,4,4,4
plinko,1,4,4,4
brandambassador,1,4,4,4
monument,1,1,1,1
backagain,1,1,1,1
egyptian,1,1,1,1
downtownkc,3,19,49,16
downtown,3,19,49,16
kcartwork,3,19,49,16
art,5,20,83,16
streetart,3,19,49,16
📱🎬🎥,3,19,49,16
kcmo,22,170,671,30
reppinkc,6,32,110,18
iphoto,3,19,49,16
graffiti,4,62,111,27
artwork,3,19,49,16
scribe,2,19,32,16
kcgems,2,1,2,1
hiddenjazzclubs,2,1,2,1
jazzinyourface,2,1,2,1
nofilter,2,46,51,25
westside,2,21,26,13
eyes,2,30,50,25
korea,1,30,30,30
hallyuback,1,30,30,30
metal,1,30,30,30
selfie,4,71,170,42
coffee,1,30,30,30
jesus,1,30,30,30
hair,2,30,50,25
ulzzang,1,30,30,30
커피,1,30,30,30
셀스타그램,1,30,30,30
blonde,1,30,30,30
barista,1,30,30,30
eatyourkimchi,1,30,30,30
jesusisking,1,30,30,30
selca,1,30,30,30
followforfollow,2,30,53,26
toms,1,30,30,30
espresso,1,30,30,30
blueeyes,1,30,30,30
cat,1,30,30,30
metalhead,1,30,30,30
instacool,2,71,101,50
likeforlike,3,30,77,25
longhair,2,30,37,18
nosering,1,30,30,30
theoffspring,2,13,16,8
buts2,4,13,19,4
boyswillbeboys,1,2,2,2
awesome,2,17,19,9
2015fordmustang,1,2,2,2
radkey,1,0,0,0
buzzunderthestars,1,0,0,0
thebuzz,1,0,0,0
965thebuzz,1,0,0,0
kclive,2,5,8,4
listenlonger,1,3,3,3
lawn,1,25,25,25
blackandwhite,2,25,35,17
insta_kc,1,25,25,25
nelsonatkins,1,25,25,25
museum,1,25,25,25
wideangle,1,25,25,25
instakc,8,170,318,39
bw,1,25,25,25
shuttlecock,1,25,25,25
architecture,2,170,195,97
missouri,7,25,106,15
missouriphoto,1,25,25,25
igkc,4,170,236,59
hdr,1,25,25,25
mustangs,2,4,4,2
mustangcoupe,1,0,0,0
negroniweek,2,29,42,21
negroniweekkansascity,2,29,42,21
allme,1,38,38,38
mixedhairdontcare,1,38,38,38
summertime,1,38,38,38
freeyourself,1,38,38,38
love,9,174,414,46
snapchat,3,44,80,26
goodnight,4,42,90,22
naturalhair,1,25,25,25
andscene,1,25,25,25
curlyhair,1,25,25,25
naturalchicks,1,25,25,25
alllivesmatter,1,25,25,25
but,1,25,25,25
trustgod,1,25,25,25
blacklivestendtohavelessvalue,1,25,25,25
justice,1,25,25,25
shrinkage,1,25,25,25
latepost,1,25,25,25
peace,2,71,96,48
curls,2,25,40,20
naturalista,1,25,25,25
curlygirls,1,25,25,25
naturalgirls,1,25,25,25
latergram,3,25,53,17
allnaturalqueens,1,25,25,25
mckinney,1,25,25,25
blacklivesmatter,1,25,25,25
ffkc,6,120,258,43
kccrossroads,4,41,108,27
