wordlist,countlist,maxlike,totallike,avelike
vegasneverbeen,1,290,290,290
thanks,1,290,290,290
fashiontrends,1,238,238,238
lashes,1,238,238,238
girlboss,1,238,238,238
muas,1,238,238,238
dreambig,1,238,238,238
lovemylife,1,238,238,238
inspiration,1,238,238,238
bossbabe,1,238,238,238
nusocietygirl,1,238,238,238
makeithappen,1,238,238,238
nubounsom,1,238,238,238
mua,1,238,238,238
inspirational,1,238,238,238
annawintor,1,238,238,238
quoteoftheday,1,238,238,238
karllagerfeld,1,238,238,238
photooftheday,1,238,238,238
bepositive,1,165,165,165
😏,1,165,165,165
wetatnight,1,156,156,156
heartsofomnia,1,156,156,156
trapqueen,1,151,151,151
lol,1,151,151,151
foodbeast,1,150,150,150
cheese,1,150,150,150
spicy,1,150,150,150
gordonramsay,1,150,150,150
sausage,1,150,150,150
