wordlist,countlist,maxlike,totallike,avelike
foreignxlife,1,0,0,0
talkcash,1,0,0,0
soundcloud,1,0,0,0
eyes,1,5,5,5
love,4,40,78,19
lovewasnotsupposetoendthiseay,1,5,5,5
blackandwhite,2,14,19,9
icarusaccount,1,5,5,5
lips,1,5,5,5
bighair,1,5,5,5
lovely,1,5,5,5
walkaway,1,5,5,5
dubsmash,1,20,20,20
stepbrothers,1,20,20,20
boatsandhoes,1,20,20,20
blackchick,1,18,18,18
dm,4,34,92,23
flipagram,1,18,18,18
tbn,1,18,18,18
sfs,2,18,35,17
kik,2,18,35,17
kikparty,2,18,35,17
rate,2,18,35,17
darkskin,2,18,35,17
dt,2,18,35,17
ebony,2,18,35,17
tbf,2,18,35,17
fwm,1,18,18,18
r4r,2,18,35,17
brownskin,2,18,35,17
tbh,2,18,35,17
grouprate,1,18,18,18
lightskin,2,18,35,17
tbr,2,18,35,17
rates,2,18,35,17
bbw,2,18,35,17
bored,1,18,18,18
shoutout,2,18,35,17
girlsonly,2,18,35,17
snapchat,1,17,17,17
thick,1,17,17,17
be,2,14,24,12
great,2,14,24,12
is,2,14,24,12
work,2,14,24,12
it,2,14,24,12
worth,2,14,24,12
go,2,14,24,12
the,2,14,24,12
csacheercamp,2,14,24,12
shamelessselfie,1,19,19,19
instaselfie,1,19,19,19
fashion,2,25,44,22
fineniggaeveryday,1,19,19,19
color,1,19,19,19
appbreeze,3,25,58,19
selfie,3,52,77,25
instahair,2,19,33,16
fun,1,19,19,19
photography,1,19,19,19
face,1,19,19,19
handsome,1,19,19,19
me,4,34,93,23
hair,2,25,44,22
photooftheweek,1,19,19,19
instagood,2,19,33,16
saucedup,1,19,19,19
selfienation,1,19,19,19
igdaily,2,19,33,16
barber,2,25,44,22
model,1,19,19,19
nofilter,2,34,53,26
followme,2,25,44,22
photooftheday,3,25,58,19
tatuados,3,191,426,142
instattoo,3,191,426,142
inkedlife,3,191,426,142
tattoodlifestyle,3,191,426,142
bodymod,3,191,426,142
inkeup,3,191,426,142
tattoist,3,191,426,142
lovetattoos,3,191,426,142
tattoofamily,3,191,426,142
amotatuajes,3,191,426,142
inkfamily,3,191,426,142
ink,3,191,426,142
inkedandproud,3,191,426,142
vanityhype,3,191,426,142
skinart,3,191,426,142
inkandfit,3,191,426,142
inkededwin,2,191,264,132
boywithtatts,3,191,426,142
tatuajesdecolores,3,191,426,142
tattooedandsexi,3,191,426,142
inked,3,191,426,142
tattlife,3,191,426,142
bodyart,3,191,426,142
inkedd,3,191,426,142
hotinkedboy,3,191,426,142
tatuajes,3,191,426,142
inkcolors,3,191,426,142
inkselfie,3,191,426,142
tattooedcolor,3,191,426,142
tattfit,3,191,426,142
prestigeautodetail,11,8,52,4
littlerock,15,28,122,8
prestigeautobrokersinc,11,8,52,4
bestinthecity,11,8,52,4
1419westparkdrsuita,11,8,52,4
comeseeme,11,8,52,4
theprofessionalautodetail,11,8,52,4
friends,2,21,30,15
goodtimes,1,9,9,9
مكارم_الاخلاق,1,5,5,5
ﷺ,1,5,5,5
صلوا_عليه,1,5,5,5
beforetheywerecool,1,6,6,6
rp,2,34,57,28
ackerman,2,34,57,28
dmme,2,34,57,28
redscarf,2,34,57,28
attackontitan,2,34,57,28
jaegar,2,34,57,28
aot,2,34,57,28
shingekinokyojin,2,34,57,28
