wordlist,countlist,maxlike,totallike,avelike
ua2015,1,442,442,442
workdaysaturday,1,442,442,442
fail,1,311,311,311
rtirampfail,1,311,311,311
4x4barbie,1,244,244,244
drivedirty,1,244,244,244
southerncrush,1,244,244,244
offroadexpo,1,244,244,244
beprettyplaydirty,1,244,244,244
barbienotincluded,1,244,244,244
dirtroadlifestyle,1,244,244,244
urcrush,1,244,244,244
repost,1,244,244,244
uorexpo,2,244,264,132
uorexpo15,2,244,264,132
teacher,1,84,84,84
business,1,84,84,84
airport,1,82,82,82
crewlove,1,82,82,82
avgeek,1,82,82,82
instakid,1,82,82,82
firstofficer,1,82,82,82
plane,1,82,82,82
stewardess,1,82,82,82
airhostess,1,82,82,82
aviation,1,82,82,82
airlinecrew,1,82,82,82
captain,1,82,82,82
kid,1,82,82,82
nevergrowup,1,82,82,82
