wordlist,countlist,maxlike,totallike,avelike
rough,1,239,239,239
myidol,1,101,101,101
redheadsofinstagram,1,101,101,101
redheadsdoitbetter,1,101,101,101
honorflight,1,99,99,99
american,1,99,99,99
vets,1,99,99,99
redwhiteblue,1,99,99,99
country,1,99,99,99
whenaretheymakingthemovie,2,101,191,95
wonderwoman,2,101,191,95
sixflags,2,101,191,95
relationshipsneedcultivating,1,94,94,94
healthyrelationships,1,94,94,94
gopro,1,92,92,92
gopronation,1,92,92,92
wonderwomanrules,1,90,90,90
instastyle,1,87,87,87
pocketsquare,1,87,87,87
goodtimes,1,87,87,87
outfit,1,87,87,87
stylegram,1,87,87,87
design,1,87,87,87
ootd,1,87,87,87
glam,1,87,87,87
floral,1,87,87,87
igfashion,1,87,87,87
instafashion,1,87,87,87
style,1,87,87,87
plaid,1,87,87,87
