wordlist,countlist,maxlike,totallike,avelike
tkd,1,176,176,176
boy,1,176,176,176
couples,1,176,176,176
goals,1,176,176,176
cutecouple,1,176,176,176
girlfriend,1,176,176,176
follow,1,176,176,176
girl,1,176,176,176
boyfriend,1,176,176,176
taekwondo,1,176,176,176
omg,1,176,176,176
like,1,176,176,176
athletes,1,176,176,176
picoftheday,1,176,176,176
igcouples,1,176,176,176
adorable,1,176,176,176
excited,1,176,176,176
notbigger,1,159,159,159
stronger,1,159,159,159
faster,1,159,159,159
ootd,6,176,749,124
blkvis,5,156,573,114
shoes,5,156,573,114
streetfashion,5,156,573,114
streetstyle,5,156,573,114
streetwearcentral,5,156,573,114
snobshots,5,156,573,114
mrporter,5,156,573,114
teamcozy,5,156,573,114
blckfashion,5,156,573,114
