wordlist,countlist,maxlike,totallike,avelike
made,1,74,74,74
like,1,74,74,74
miami,1,74,74,74
in,1,74,74,74
when,1,74,74,74
tbt,1,74,74,74
this,1,74,74,74
california,1,74,74,74
night,1,74,74,74
hollywood,1,74,74,74
beach,1,74,74,74
me,1,66,66,66
cute,1,66,66,66
style,1,66,66,66
fashion,1,66,66,66
thickalicious,1,66,66,66
appbreeze,1,66,66,66
stylish,1,66,66,66
photogrid,1,66,66,66
nolagraffiti,1,62,62,62
urbextreme,1,62,62,62
504,1,62,62,62
authenticla,1,62,62,62
photographer,2,74,103,51
thisbihdead,1,51,51,51
gnig💛💓💛💓💛💓💋💋💋💋💋💋💋,1,51,51,51
spinnakers,1,49,49,49
instasailing,1,42,42,42
sunset,3,49,120,40
sailing,2,49,78,39
