wordlist,countlist,maxlike,totallike,avelike
thecutlife,1,386,386,386
caligal,1,354,354,354
tbt,4,386,911,227
knockout,2,177,296,148
eachandeverythursday,2,177,296,148
prettyent,2,177,296,148
jerseycity,2,177,296,148
meow,1,141,141,141
afro,1,141,141,141
majinbuu,1,141,141,141
purplehair,1,141,141,141
cousins,1,130,130,130
bleachedbrows,1,130,130,130
madusa,1,130,130,130
imissthem,1,130,130,130
repostwhiz,1,119,119,119
riolounge,3,177,350,116
regram,1,95,95,95
triplook,1,95,95,95
exploremycity,1,95,95,95
backpacking,1,95,95,95
wanderlust,1,95,95,95
visitmycity,1,95,95,95
triplookers,1,95,95,95
vacation,1,95,95,95
barcelona,1,95,95,95
igtravel,1,95,95,95
travelgram,1,95,95,95
travelingram,1,95,95,95
spain,1,95,95,95
