wordlist,countlist,maxlike,totallike,avelike
teamofficial,1,412,412,412
pacinossignatureline,1,405,405,405
pressplay,1,405,405,405
officialcuts,2,412,446,223
smokey,1,158,158,158
craig,1,158,158,158
friday,1,158,158,158
collab,1,158,158,158
hairartist,1,158,158,158
btcpics,1,158,158,158
hairart,1,158,158,158
eleganceshavegel,1,158,158,158
teamelegance,2,158,252,126
barber,2,158,252,126
barbershopconnect,2,158,192,96
elegance,1,94,94,94
barberseye,3,158,278,92
jimandcourtney,1,91,91,91
mifamilia,1,91,91,91
weddingweekend,1,91,91,91
socality,1,80,80,80
vsco_best,1,80,80,80
alifeexploring,1,80,80,80
shotaward,1,80,80,80
letsgosomewhere,1,80,80,80
vscobest,1,80,80,80
neverstopexploring,1,80,80,80
visualsgang,1,80,80,80
vsco_hub,1,80,80,80
getoutdoors,1,80,80,80
