wordlist,countlist,maxlike,totallike,avelike
comment,1,366,366,366
comment4comment,1,366,366,366
followback,1,366,366,366
lfl,1,366,366,366
likeforfollow,1,366,366,366
sfs,1,366,366,366
cashfollowtrain,1,366,366,366
tagforlikes,1,366,366,366
recent4follow,1,366,366,366
r4r,1,366,366,366
fff,1,366,366,366
gainpost,1,366,366,366
rfr,1,366,366,366
spamforspam,1,366,366,366
followparty,1,366,366,366
tagafriend,1,366,366,366
followforfollow,1,366,366,366
tjsfollowtrain,1,366,366,366
tjsinstantfollowtrain,1,366,366,366
shoutout,1,366,366,366
followtrain,1,366,366,366
recentforrecent,1,366,366,366
kenfollowtrain,1,366,366,366
tjsinstantfollowtrain😌,1,366,366,366
likeforlike,2,366,390,195
followme,2,366,390,195
s4s,2,366,378,189
repost,2,366,369,184
beauty,1,139,139,139
staytuned,1,139,139,139
